,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
49,Central Connecticut State,29,4,25,.138,-22.35,-9.24,,3,15,,3,11,,1,14,,65.1,78.2,,40.5,23.5,58.8,.400,5.66,16.6,.342,12.4,18.3,.679,11.6,36.1,11.8,4.38,3.69,13.9,17.4
50,Central Florida,30,12,18,.400,0.18,3.01,,6,12,,8,8,,4,9,,68.7,71.6,,40.3,23.8,55.4,.430,6.90,21.7,.318,14.2,20.6,.687,11.0,38.9,12.6,4.57,4.63,14.7,15.6
51,Central Michigan,33,17,16,.515,-0.67,-1.30,,10,8,,13,4,,4,8,,75.6,72.8,,40.2,26.3,59.5,.441,9.82,27.8,.353,13.2,18.4,.719,9.85,34.9,13.4,4.70,2.73,9.18,18.4
52,Charleston Southern,30,9,21,.300,-10.92,-2.59,,5,13,,6,8,,3,12,,71.5,75.1,,40.3,25.8,60.3,.428,9.33,27.0,.346,10.6,17.1,.621,10.3,35.1,12.6,5.10,2.10,12.6,19.2
53,Charlotte,33,14,19,.424,-3.14,-1.72,,9,9,,8,7,,5,8,,78.3,79.7,,40.6,27.9,62.6,.445,8.06,21.1,.382,14.5,20.8,.698,11.3,36.2,14.6,6.18,2.21,12.0,17.8
54,Chattanooga NCAA,35,29,6,.829,3.24,-3.46,,15,3,,13,1,,10,4,,75.8,67.5,,40.3,25.6,56.1,.457,7.49,20.8,.359,17.0,23.2,.735,10.9,35.5,14.4,7.77,4.71,12.5,17.0
55,Chicago State,32,4,28,.125,-17.52,-1.38,,0,14,,4,9,,0,15,,66.9,77.4,,40.0,23.9,62.3,.383,7.13,23.4,.304,12.0,17.9,.670,12.9,36.6,11.7,7.69,3.06,14.3,21.8
56,Cincinnati NCAA,33,22,11,.667,15.19,5.25,,12,6,,14,3,,6,6,,73.3,63.3,,41.1,25.8,60.0,.430,7.64,22.0,.348,14.1,19.9,.705,13.4,39.1,15.4,7.79,5.82,11.0,15.5
57,Citadel,32,10,22,.313,-15.95,-4.75,,3,15,,6,8,,3,13,,86.0,92.6,,40.2,29.3,70.1,.418,11.3,35.0,.324,16.1,22.0,.730,12.6,35.9,15.3,8.78,3.09,13.8,24.1
58,Clemson,31,17,14,.548,12.03,6.87,,10,8,,13,4,,3,8,,69.6,64.5,,40.3,24.3,55.6,.437,7.68,21.9,.351,13.4,18.5,.723,10.3,34.7,13.3,5.77,5.23,10.2,16.5
59,Cleveland State,32,9,23,.281,-9.17,0.09,,4,14,,5,9,,3,10,,60.8,67.8,,40.2,22.0,54.6,.403,5.44,16.8,.324,11.4,16.8,.678,10.6,33.2,10.2,6.13,2.72,14.3,20.9
60,Coastal Carolina,33,21,12,.636,-1.85,-4.22,,12,6,,14,4,,7,5,,73.0,66.5,,40.2,25.9,57.8,.447,7.39,21.7,.341,13.9,20.9,.665,11.4,39.4,12.0,5.91,3.42,12.3,17.2
61,Colgate,30,13,17,.433,-8.61,-6.06,,9,9,,8,4,,5,13,,69.8,71.5,,40.7,24.9,55.8,.447,8.90,23.9,.372,11.1,16.3,.680,9.33,31.7,13.3,6.13,2.40,12.2,19.4
62,College of Charleston,31,17,14,.548,2.37,0.04,,8,10,,10,5,,6,8,,65.4,62.0,,40.3,23.3,55.4,.420,6.65,19.2,.346,12.2,18.3,.667,10.8,35.2,11.6,7.16,2.42,12.7,20.0
63,Colorado State,34,18,16,.529,2.31,1.53,,8,10,,12,5,,3,8,,79.4,77.2,,41.2,25.8,60.8,.425,9.59,26.4,.364,18.2,25.3,.718,13.0,40.0,13.4,3.85,2.26,11.6,19.3
64,Colorado NCAA,34,22,12,.647,12.04,7.64,,10,8,,16,1,,4,7,,75.8,70.8,,40.3,25.4,59.7,.426,7.41,19.0,.389,17.5,23.8,.735,13.1,42.2,13.6,5.21,4.91,13.4,18.8
65,Columbia,35,25,10,.714,3.45,-2.55,,10,4,,18,4,,7,6,,76.3,68.5,,40.4,25.7,56.7,.453,9.60,25.5,.376,15.3,21.3,.719,10.5,35.4,14.8,6.29,3.46,10.8,18.5
66,Connecticut NCAA,36,25,11,.694,15.89,6.28,,11,7,,14,3,,6,4,,73.1,63.5,,40.6,26.2,57.7,.454,7.08,19.4,.365,13.6,17.1,.793,9.39,36.1,13.6,5.83,5.06,10.7,18.3
67,Coppin State,31,9,22,.290,-15.75,-6.06,,6,10,,5,7,,3,14,,72.3,80.5,,41.3,23.9,62.4,.383,7.68,23.1,.333,16.8,23.8,.706,13.1,36.9,11.2,5.61,2.94,13.2,21.5
68,Cornell,28,10,18,.357,-9.55,-1.04,,3,11,,5,8,,5,10,,71.1,78.3,,40.4,25.1,59.8,.420,8.32,24.4,.342,12.6,19.4,.651,8.71,32.5,10.8,7.75,3.82,13.3,20.1
69,Creighton,35,20,15,.571,13.69,6.44,,9,9,,14,5,,4,9,,79.6,72.4,,40.0,28.0,59.5,.470,8.09,23.0,.352,15.6,22.3,.700,9.54,37.1,15.3,6.03,3.09,11.6,18.9
70,Dartmouth,28,10,18,.357,-5.58,-3.29,,4,10,,8,6,,2,12,,71.1,71.0,,40.4,25.0,57.4,.436,5.57,16.4,.341,15.6,21.5,.723,12.0,35.9,13.1,6.86,1.71,14.3,20.3
71,Davidson,33,20,13,.606,5.74,5.14,,10,8,,15,1,,3,10,,79.0,78.1,,40.2,27.1,61.3,.442,9.61,27.0,.355,15.2,20.0,.761,9.45,35.0,15.1,4.67,3.09,10.2,17.2
72,Dayton NCAA,33,25,8,.758,11.34,4.76,,14,4,,14,3,,8,2,,72.5,65.9,,40.5,25.3,55.6,.455,6.70,19.5,.344,15.2,22.7,.668,9.91,38.3,14.5,5.94,4.39,12.9,19.0
73,Delaware State,32,7,25,.219,-20.88,-6.85,,5,11,,6,7,,1,17,,61.9,73.0,,40.3,22.2,56.7,.391,7.19,21.8,.330,10.3,16.8,.616,10.6,33.3,11.5,5.41,2.91,13.9,19.8
74,Delaware,30,7,23,.233,-8.62,0.85,,2,16,,5,7,,2,15,,66.2,75.7,,40.2,22.3,55.4,.402,5.60,17.2,.325,16.0,23.4,.685,11.0,37.7,10.6,3.60,2.90,12.0,17.8
75,Denver,31,16,15,.516,-3.34,-3.24,,7,9,,8,7,,6,6,,65.2,65.3,,40.0,22.2,46.7,.476,7.58,19.8,.383,13.2,17.1,.770,5.42,25.2,14.3,6.39,2.29,13.0,19.1
76,DePaul,31,9,22,.290,0.83,8.34,,3,15,,5,9,,3,10,,67.5,75.0,,40.2,24.3,54.5,.445,5.42,15.8,.343,13.5,19.9,.680,10.2,34.2,11.8,4.84,3.06,14.8,22.2
77,Detroit Mercy,31,16,15,.516,-2.44,-0.82,,9,9,,11,4,,4,10,,83.7,82.8,,40.2,29.0,62.2,.466,7.87,21.0,.375,17.9,25.6,.698,12.0,37.7,13.2,6.87,4.29,13.6,22.8
78,Drake,31,7,24,.226,-5.15,0.92,,2,16,,5,9,,0,12,,67.5,71.9,,40.5,23.7,52.9,.449,6.94,18.0,.385,13.1,18.1,.722,8.16,33.6,12.2,3.74,2.10,13.6,18.0
79,Drexel,31,6,25,.194,-5.42,1.88,,3,15,,3,9,,2,12,,63.2,70.4,,40.2,21.8,55.5,.393,5.48,16.7,.329,14.0,20.5,.685,10.5,33.0,12.4,4.55,3.48,11.1,21.8
80,Duke NCAA,36,25,11,.694,19.23,10.59,,11,7,,15,3,,5,4,,81.1,72.5,,40.3,27.3,59.3,.460,9.11,23.6,.385,17.4,24.1,.723,11.8,36.0,13.3,6.28,4.28,9.83,16.8
81,Duquesne,34,17,17,.500,1.41,1.35,,6,12,,10,6,,4,8,,79.5,78.7,,40.3,27.9,60.5,.462,9.47,26.0,.365,14.2,20.5,.691,10.2,39.2,15.6,4.68,3.76,13.9,20.3
82,East Carolina,32,12,20,.375,-0.38,3.22,,4,14,,8,8,,3,10,,68.3,71.9,,40.8,23.8,55.9,.425,7.25,21.3,.340,13.5,19.4,.697,10.0,34.2,15.2,5.72,2.00,13.3,16.8
83,East Tennessee State,36,24,12,.667,-1.49,-2.29,,14,4,,13,2,,8,8,,78.1,74.6,,40.4,27.3,59.3,.461,8.19,21.6,.379,15.3,21.5,.711,10.4,36.1,12.4,6.67,3.78,12.8,20.1
84,Eastern Illinois,30,13,17,.433,-8.35,-3.52,,9,7,,9,5,,4,9,,71.5,73.8,,40.7,25.5,57.9,.440,7.73,22.1,.349,12.8,19.6,.656,9.97,33.4,13.9,5.90,2.27,12.1,19.4
85,Eastern Kentucky,31,15,16,.484,-3.53,-3.86,,6,10,,10,6,,5,10,,80.5,79.1,,40.0,27.9,56.8,.491,8.32,21.1,.395,16.5,22.6,.730,8.84,32.4,16.0,7.03,3.06,14.7,21.5
86,Eastern Michigan,33,18,15,.545,-0.14,1.24,,9,9,,14,3,,4,11,,77.4,74.5,,40.3,26.5,59.4,.446,5.67,18.2,.311,18.7,25.9,.721,11.7,36.2,11.5,9.45,3.70,12.9,20.4
87,Eastern Washington,34,18,16,.529,-4.47,-6.03,,10,8,,11,2,,5,12,,81.4,77.0,,40.0,28.3,58.5,.483,10.5,27.2,.385,14.4,21.1,.683,9.38,33.3,13.2,5.94,3.79,11.2,19.4
88,Elon,32,16,16,.500,-0.67,0.66,,7,11,,8,8,,8,7,,75.9,75.4,,40.2,27.0,60.7,.445,9.47,27.7,.342,12.4,18.7,.661,10.5,37.0,15.3,5.50,2.25,12.8,19.0
89,Evansville,34,25,9,.735,8.10,-0.39,,12,6,,13,3,,8,4,,74.3,65.3,,40.3,25.9,52.8,.490,4.65,13.2,.353,17.9,24.8,.724,7.65,35.4,17.5,5.24,4.32,12.5,17.7
90,Fairfield,33,19,14,.576,-3.84,-3.14,,12,8,,11,5,,7,7,,76.4,77.1,,40.8,26.5,60.3,.439,8.88,25.1,.354,14.5,19.7,.737,9.03,34.7,15.2,6.45,4.09,12.9,19.2
91,Fairleigh Dickinson NCAA,33,18,15,.545,-10.90,-8.31,,11,7,,9,6,,9,8,,77.5,78.8,,40.5,28.2,61.5,.458,7.21,19.9,.362,14.0,20.1,.697,10.5,33.6,14.3,7.58,2.64,12.8,21.8
92,Florida A&M,29,8,21,.276,-21.74,-10.67,,4,12,,6,6,,1,14,,64.2,73.4,,41.0,22.2,55.4,.401,5.79,19.1,.303,14.0,23.8,.589,10.1,34.8,11.0,6.62,2.24,16.1,19.5
93,Florida Atlantic,33,8,25,.242,-10.30,-1.72,,5,13,,5,7,,2,14,,66.3,74.1,,40.2,22.8,56.0,.407,6.94,20.5,.338,13.8,18.9,.731,8.55,32.5,11.7,5.30,4.24,12.2,19.1
94,Florida Gulf Coast NCAA,35,21,14,.600,-0.79,-3.82,,8,6,,16,4,,4,8,,77.2,70.7,,41.0,28.8,60.2,.479,5.31,15.1,.353,14.3,22.2,.644,11.9,40.6,13.8,6.57,4.03,12.5,19.3
95,Florida International,32,13,19,.406,-5.25,-4.81,,7,11,,7,9,,5,8,,71.2,70.1,,40.6,26.1,55.6,.469,5.66,15.6,.363,13.4,20.2,.664,10.3,37.4,12.2,5.06,4.63,12.9,18.7
96,Florida State,34,20,14,.588,12.16,8.16,,8,10,,11,4,,4,8,,78.0,74.0,,40.1,27.9,60.1,.464,6.47,19.0,.341,15.8,22.7,.695,11.4,37.0,13.3,7.15,4.09,13.0,19.3
97,Florida,36,21,15,.583,14.69,9.19,,9,9,,12,4,,6,9,,74.4,68.9,,40.1,25.8,60.7,.425,7.17,22.5,.319,15.5,24.0,.648,13.1,39.9,13.3,6.53,4.22,11.3,19.4
98,Fordham,31,17,14,.548,1.87,-0.09,,8,10,,14,5,,3,7,,71.2,68.6,,40.5,25.2,56.3,.448,7.84,22.6,.346,12.9,18.9,.681,10.3,34.2,15.7,8.48,3.90,14.1,19.7
99,Fresno State NCAA,35,25,10,.714,5.27,2.24,,13,5,,16,2,,6,7,,75.1,70.7,,40.6,26.5,60.7,.436,6.26,18.2,.343,16.0,23.0,.694,11.7,36.9,13.3,8.43,3.94,10.8,21.8
100,Furman,35,19,16,.543,-2.83,-4.20,,11,7,,14,2,,3,12,,71.1,66.7,,40.0,24.2,53.3,.454,7.23,22.4,.322,15.4,22.2,.695,11.1,35.7,12.1,6.20,3.29,13.5,17.8
101,Gardner-Webb,33,17,16,.515,-6.92,-3.96,,10,8,,9,4,,5,11,,75.0,74.3,,40.5,26.4,61.8,.427,8.36,24.5,.342,13.9,21.2,.653,13.2,38.1,13.4,8.03,3.42,13.3,20.2
102,George Mason,32,11,21,.344,-1.79,3.62,,5,13,,7,8,,2,11,,66.9,72.3,,40.3,23.9,59.0,.406,5.38,18.4,.292,13.6,20.3,.671,13.1,42.5,10.3,2.88,3.72,12.7,17.8
103,George Washington,38,28,10,.737,11.43,4.24,,11,7,,16,3,,8,5,,75.7,68.5,,40.3,25.8,57.7,.447,7.08,19.1,.371,17.0,22.6,.753,11.9,37.9,14.1,6.05,3.29,11.2,16.3
104,Georgetown,33,15,18,.455,10.31,8.49,,7,11,,9,8,,4,8,,73.6,71.8,,40.5,24.8,56.3,.441,7.91,23.3,.339,16.0,21.3,.751,9.58,35.8,14.9,5.45,4.42,13.4,22.9
105,Georgia Southern,31,14,17,.452,-5.65,-3.14,,10,10,,10,4,,4,12,,75.9,74.4,,40.3,25.2,61.4,.410,9.10,26.9,.338,16.4,23.5,.699,12.1,36.5,11.1,7.48,2.35,11.6,22.3
106,Georgia State,30,16,14,.533,-2.80,-2.19,,9,11,,12,3,,4,10,,65.7,65.0,,40.7,23.5,53.2,.441,4.97,14.5,.342,13.7,19.9,.689,8.10,30.8,11.7,6.67,3.03,11.7,19.3
107,Georgia Tech,36,21,15,.583,12.51,9.95,,8,10,,14,5,,5,8,,73.3,70.7,,40.1,26.8,59.7,.449,5.92,16.6,.357,13.7,18.9,.722,13.0,38.8,13.5,4.39,4.19,11.2,17.9
108,Georgia,34,20,14,.588,9.41,8.47,,10,8,,15,4,,3,9,,70.6,69.7,,40.3,23.5,55.6,.422,6.47,17.6,.368,17.1,24.2,.708,11.6,38.8,12.5,4.82,5.12,13.2,20.7
109,Gonzaga NCAA,36,28,8,.778,16.92,4.23,,15,3,,11,4,,9,2,,78.9,65.6,,40.1,28.1,57.8,.486,7.81,20.5,.381,14.9,19.7,.758,10.6,39.6,13.9,5.11,3.08,11.6,17.3
110,Grambling,31,7,24,.226,-19.62,-8.48,,4,14,,5,7,,2,15,,62.1,68.1,,40.3,21.2,51.8,.410,4.90,17.9,.273,14.7,22.8,.646,9.13,32.7,9.61,6.77,1.68,14.3,19.8
111,Grand Canyon,34,27,7,.794,1.43,-5.60,,11,3,,18,2,,7,5,,75.9,68.1,,40.1,26.4,58.2,.453,6.18,17.1,.360,17.0,24.6,.693,11.7,38.3,14.8,6.18,2.65,12.0,18.4
112,Green Bay NCAA,36,23,13,.639,1.16,-0.67,,11,7,,11,3,,8,9,,83.7,80.0,,40.4,29.1,65.3,.446,7.08,20.3,.349,18.4,28.0,.657,12.7,38.5,13.9,9.94,4.61,12.3,20.1
113,Hampton NCAA,32,21,11,.656,-8.74,-8.45,,13,3,,9,2,,8,7,,73.8,74.1,,40.8,25.3,61.5,.412,6.44,21.2,.304,16.8,25.5,.659,14.0,41.3,11.9,5.28,3.66,13.8,20.3
114,Hartford,33,10,23,.303,-14.29,-5.69,,4,12,,4,12,,6,11,,70.8,78.4,,40.8,23.5,57.8,.408,9.67,27.3,.354,14.0,18.8,.748,6.97,30.1,12.4,6.70,1.91,11.7,21.3
115,Harvard,30,14,16,.467,-0.96,-0.25,,6,8,,8,5,,4,10,,66.7,66.2,,40.2,24.5,54.9,.445,7.33,19.0,.387,10.4,17.5,.595,10.6,37.3,15.1,5.00,5.00,14.5,17.9
116,Hawaii NCAA,34,28,6,.824,9.03,-1.04,,13,3,,16,3,,7,2,,77.1,66.7,,40.1,26.3,57.2,.459,6.97,21.7,.322,17.6,25.7,.684,10.6,37.4,15.4,7.56,3.65,13.0,20.4
