,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,13,18,.419,-13.93,-7.53,,8,10,,10,5,,2,12,,71.3,73.3,,40.3,24.9,55.0,.452,6.74,18.4,.367,14.8,21.1,.701,8.68,32.0,13.6,7.52,2.52,13.5,22.0
2,Air Force,32,14,18,.438,-5.51,0.66,,5,13,,12,5,,2,13,,68.4,72.8,,40.6,23.5,54.9,.428,6.31,18.6,.339,15.1,22.1,.683,8.91,34.6,13.1,6.13,1.81,13.2,19.3
3,Akron,35,26,9,.743,5.55,-1.24,,13,5,,15,0,,6,8,,76.6,68.0,,40.1,26.0,60.3,.432,11.7,30.5,.383,12.9,18.8,.684,10.7,37.4,14.5,5.43,3.91,10.9,17.7
4,Alabama A&M,29,11,18,.379,-13.47,-10.75,,6,12,,6,5,,4,12,,68.1,70.4,,40.5,23.5,56.3,.417,6.03,20.7,.292,15.1,22.1,.684,11.4,34.5,12.6,5.62,2.10,11.7,19.3
5,Alabama-Birmingham,33,26,7,.788,3.50,-3.07,,16,2,,16,0,,10,4,,79.0,70.4,,40.6,28.5,59.7,.478,7.58,20.3,.373,14.3,19.8,.722,11.1,38.2,18.4,6.45,6.09,12.5,17.5
6,Alabama State,31,14,17,.452,-13.11,-9.35,,9,9,,8,3,,5,12,,71.5,74.5,,40.6,25.4,61.9,.411,6.94,20.9,.332,13.7,20.1,.684,12.6,37.2,12.0,5.84,3.45,12.0,20.8
7,Alabama,33,18,15,.545,7.14,8.62,,8,10,,10,4,,5,8,,66.5,67.9,,40.3,22.4,53.0,.422,7.85,23.1,.339,13.9,21.6,.643,9.91,34.6,10.5,5.82,5.30,13.3,19.1
8,Albany (NY),33,24,9,.727,0.93,-7.57,,13,3,,14,1,,10,8,,75.6,66.1,,40.5,25.7,56.1,.458,5.70,17.8,.320,18.5,24.7,.751,11.7,38.7,12.4,6.55,1.58,12.5,17.6
9,Alcorn State,30,15,15,.500,-16.01,-9.94,,13,5,,9,2,,6,9,,67.1,72.1,,40.8,23.0,56.4,.408,5.80,18.9,.307,15.3,22.5,.678,12.8,35.7,9.07,4.47,3.70,14.3,18.3
10,American,31,12,19,.387,-14.18,-6.08,,9,9,,5,7,,7,12,,57.6,65.7,,40.3,20.4,48.0,.424,6.29,18.5,.341,10.6,15.2,.696,7.03,28.2,11.2,5.68,2.23,13.8,18.3
11,Appalachian State,31,9,22,.290,-7.91,-1.10,,7,13,,6,7,,2,12,,70.5,77.4,,40.0,23.2,57.9,.401,8.26,23.2,.356,15.9,22.6,.703,12.7,36.8,11.5,4.10,3.32,14.9,21.5
12,Arizona State,32,15,17,.469,8.28,8.96,,5,13,,11,6,,3,9,,73.3,74.0,,40.3,24.9,60.0,.415,7.94,23.7,.336,15.6,22.7,.687,12.3,36.8,12.7,5.31,2.69,12.0,20.3
13,Arizona NCAA,34,25,9,.735,18.79,7.23,,12,6,,17,1,,5,5,,80.4,68.9,,40.9,27.8,57.9,.480,6.50,17.1,.381,18.3,25.4,.721,11.6,40.2,14.3,4.82,4.74,13.0,18.3
14,Little Rock NCAA,35,30,5,.857,7.12,-1.76,,17,3,,14,0,,12,4,,71.1,60.8,,40.4,25.3,55.9,.453,7.60,19.8,.384,12.8,17.6,.729,9.26,34.1,12.9,6.57,3.03,10.1,18.3
15,Arkansas-Pine Bluff,33,8,25,.242,-19.31,-5.52,,6,12,,3,6,,4,17,,56.6,70.4,,40.2,20.4,52.2,.391,6.12,20.2,.303,9.61,15.7,.611,9.76,30.4,9.61,7.12,3.73,15.6,21.9
16,Arkansas State,31,11,20,.355,-7.48,-2.37,,7,13,,9,6,,2,14,,73.6,75.9,,40.6,24.8,59.8,.415,5.81,18.4,.316,18.1,24.7,.734,10.8,40.1,12.3,5.06,4.39,12.8,19.8
17,Arkansas,32,16,16,.500,10.23,6.76,,9,9,,13,4,,3,8,,78.2,74.7,,40.8,27.6,62.3,.443,6.75,17.0,.397,16.2,23.4,.694,11.7,37.1,16.2,7.28,5.16,11.2,21.5
18,Army,33,19,14,.576,-7.32,-8.13,,9,9,,7,8,,11,6,,76.9,75.0,,40.9,27.1,63.2,.429,8.91,26.6,.335,13.8,19.9,.694,12.4,40.5,15.2,4.94,3.73,13.6,19.0
19,Auburn,31,11,20,.355,0.15,7.54,,5,13,,8,7,,2,11,,70.7,78.1,,40.2,23.4,58.7,.398,8.77,25.8,.340,15.2,24.1,.633,11.2,36.6,11.4,5.35,4.06,13.8,21.2
20,Austin Peay NCAA,36,18,18,.500,-6.04,-2.98,,7,9,,7,7,,7,9,,76.1,76.8,,40.6,26.3,56.9,.461,6.19,17.9,.346,17.4,26.0,.670,11.7,36.8,13.3,6.94,2.81,13.9,17.6
21,Ball State,35,21,14,.600,0.11,-2.98,,10,8,,13,6,,6,8,,70.8,66.8,,40.9,24.4,54.8,.446,8.71,23.4,.373,13.3,19.1,.693,9.43,36.4,14.6,5.46,3.60,13.3,19.0
22,Baylor NCAA,34,22,12,.647,16.13,9.76,,10,8,,15,5,,6,5,,77.1,69.6,,40.4,27.4,58.9,.466,6.18,16.8,.367,16.0,22.1,.725,13.7,37.3,17.7,7.91,3.97,12.7,19.4
23,Belmont,32,20,12,.625,1.19,-2.10,,12,4,,11,1,,8,10,,82.4,78.4,,40.2,28.6,57.8,.494,10.6,29.1,.363,14.8,20.3,.726,8.47,34.5,17.0,4.53,2.53,14.1,20.0
24,Bethune-Cookman,32,14,18,.438,-14.35,-9.18,,10,6,,9,2,,5,13,,70.6,72.8,,40.5,25.0,60.4,.414,7.78,24.6,.316,12.8,18.7,.688,12.7,37.1,11.6,6.16,5.97,13.0,18.8
25,Binghamton,30,8,22,.267,-14.08,-6.35,,5,11,,5,9,,3,13,,60.9,68.6,,40.2,21.0,53.8,.390,5.70,20.0,.285,13.3,19.5,.682,9.10,34.1,11.1,5.37,2.27,14.0,18.6
26,Boise State,32,20,12,.625,7.23,3.13,,11,7,,14,2,,5,7,,77.5,70.2,,40.3,26.3,58.1,.453,8.16,24.6,.331,16.7,23.6,.709,9.84,34.7,13.4,6.53,2.00,11.6,19.4
27,Boston College,32,7,25,.219,-1.61,7.67,,0,18,,6,11,,0,10,,61.2,70.5,,40.2,22.4,54.7,.409,7.22,22.3,.324,9.19,14.1,.650,7.59,31.0,12.8,5.66,2.91,13.5,18.1
28,Boston University,34,19,15,.559,-6.79,-6.37,,11,7,,9,6,,10,9,,73.0,72.5,,40.4,25.3,55.7,.454,8.00,22.0,.364,14.5,20.2,.717,9.15,35.8,13.4,6.00,3.79,13.8,18.9
29,Bowling Green State,34,16,18,.471,-5.88,-1.85,,5,13,,7,8,,7,8,,70.6,72.3,,40.0,25.0,56.3,.444,5.97,16.6,.361,14.7,22.4,.656,10.1,36.4,11.7,6.15,3.32,12.6,19.3
30,Bradley,32,5,27,.156,-10.91,3.70,,3,15,,4,11,,1,12,,56.0,69.9,,40.3,18.9,49.9,.380,5.16,18.4,.280,13.0,19.6,.662,8.63,33.8,9.13,4.44,2.72,17.1,23.3
31,Brigham Young,37,26,11,.703,12.36,2.36,,13,5,,17,2,,6,6,,83.6,72.8,,40.1,29.6,64.0,.463,8.92,23.3,.382,15.4,22.4,.690,11.9,40.9,16.5,6.92,4.35,11.7,18.6
32,Brown,28,8,20,.286,-8.05,-2.82,,3,11,,7,6,,1,13,,72.9,77.0,,40.7,24.9,58.0,.429,8.04,22.8,.352,15.0,21.4,.702,9.71,36.4,14.8,5.36,4.07,13.4,19.4
33,Bryant,31,8,23,.258,-18.58,-6.71,,5,13,,4,10,,4,13,,65.1,76.2,,40.3,24.4,58.0,.420,6.39,19.8,.322,10.0,15.5,.643,9.68,33.8,13.4,5.68,2.68,13.5,19.1
34,Bucknell,31,17,14,.548,-2.09,-5.89,,14,4,,8,7,,9,7,,79.0,73.8,,40.8,26.8,57.7,.465,7.52,20.6,.365,17.8,25.0,.714,10.2,36.7,15.8,6.58,3.23,13.6,21.2
35,Buffalo NCAA,35,20,15,.571,1.34,0.90,,10,8,,10,5,,5,9,,77.4,75.3,,40.3,26.1,59.9,.437,7.51,22.2,.339,17.6,24.8,.710,12.1,38.9,12.6,6.86,3.54,13.6,21.4
36,Butler NCAA,33,22,11,.667,16.46,7.55,,10,8,,13,3,,5,5,,79.9,71.0,,40.2,27.8,59.7,.466,7.15,18.2,.393,17.2,23.5,.731,11.1,36.0,14.2,6.88,3.24,10.2,19.6
37,Cal Poly,30,10,20,.333,-3.49,0.90,,4,12,,5,7,,3,12,,72.4,75.2,,40.7,25.2,60.4,.417,7.93,22.7,.349,14.1,20.9,.676,11.7,36.5,14.2,5.43,3.20,10.3,20.1
38,Cal State Bakersfield NCAA,33,24,9,.727,2.58,-5.15,,11,3,,14,1,,7,7,,72.9,63.8,,40.3,26.5,58.8,.451,5.42,15.9,.342,14.4,22.0,.656,12.5,38.3,15.6,7.97,5.00,12.3,21.4
39,Cal State Fullerton,30,10,20,.333,-7.12,-0.76,,3,13,,5,8,,5,9,,70.1,74.2,,40.2,23.3,56.8,.410,6.43,19.4,.332,17.2,24.8,.693,11.2,37.2,10.1,4.90,1.60,13.1,20.3
40,Cal State Northridge,30,10,20,.333,-6.85,-0.85,,5,11,,5,7,,4,12,,71.4,75.4,,40.8,24.8,57.4,.432,4.20,14.2,.296,17.6,24.5,.717,10.1,36.2,14.1,6.77,3.20,14.0,20.1
41,UC-Davis,30,11,19,.367,-5.58,-1.26,,6,10,,8,7,,3,11,,63.8,66.0,,40.8,23.2,53.6,.433,5.47,15.4,.354,11.9,18.6,.639,8.53,34.4,11.4,6.20,1.63,14.2,17.7
42,UC-Irvine,38,28,10,.737,5.33,0.77,,13,3,,11,2,,13,5,,71.2,66.1,,40.4,25.7,56.0,.459,6.34,17.2,.370,13.4,19.8,.680,9.74,37.3,14.9,5.71,5.21,12.4,18.6
43,UC-Riverside,33,14,19,.424,-5.66,-3.08,,5,11,,7,9,,7,9,,69.7,69.7,,40.0,23.9,55.7,.428,7.64,21.7,.352,14.3,20.3,.703,9.94,35.3,12.4,5.15,3.06,13.1,19.8
44,UC-Santa Barbara,33,19,14,.576,3.79,1.44,,11,5,,6,5,,10,6,,70.8,67.2,,40.2,26.0,58.9,.442,7.61,21.1,.360,11.1,15.8,.701,10.5,37.4,15.0,5.91,2.97,12.7,19.6
45,University of California NCAA,34,23,11,.676,15.39,7.87,,12,6,,18,0,,4,7,,74.9,67.3,,40.4,26.2,56.8,.461,6.94,19.1,.363,15.6,23.7,.656,11.4,39.7,12.6,4.09,4.68,12.3,20.8
46,Campbell,30,12,18,.400,-11.07,-6.67,,5,13,,7,9,,5,8,,73.6,73.4,,40.2,24.8,55.7,.445,7.47,22.5,.332,16.5,23.0,.717,8.07,32.2,11.5,7.13,2.40,11.8,19.4
47,Canisius,33,14,19,.424,-5.62,-3.77,,8,12,,7,7,,4,11,,76.5,78.4,,41.1,25.6,61.0,.420,8.64,25.3,.341,16.7,22.5,.741,11.9,33.8,14.1,6.03,2.67,11.2,19.4
48,Central Arkansas,28,7,21,.250,-15.17,-6.81,,6,12,,4,6,,2,14,,75.4,83.7,,40.0,26.2,59.1,.443,6.61,17.8,.372,16.3,24.8,.659,11.8,37.3,13.2,5.43,3.71,14.5,20.5
