,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,11,20,.355,-19.60,-4.12,,2,12,,9,5,,0,14,,71.4,71.9,,40.5,23.8,53.7,.443,7.77,19.3,.402,16.1,21.5,.749,9.87,32.6,13.0,7.13,2.32,14.6,20.7
2,Air Force,30,12,18,.400,-4.08,1.71,,6,12,,8,9,,3,8,,66.0,69.1,,40.3,22.6,52.0,.435,7.20,21.8,.331,13.5,19.6,.690,8.77,32.3,14.0,5.47,3.13,13.3,18.8
3,Akron,34,21,13,.618,1.16,-0.48,,12,6,,13,2,,6,8,,68.6,66.9,,40.4,23.9,54.6,.438,7.03,20.3,.346,13.7,22.1,.623,12.1,34.6,11.4,6.62,4.18,13.1,17.8
4,Alabama A&M,30,14,16,.467,-13.86,-10.58,,10,8,,7,4,,5,11,,64.5,67.0,,40.5,21.9,53.4,.410,6.07,18.7,.324,14.7,22.5,.656,10.0,33.8,12.7,6.23,4.17,13.2,21.4
5,UAB,31,18,13,.581,0.78,-0.77,,7,9,,12,5,,5,5,,73.1,70.3,,40.5,25.8,61.9,.417,5.10,16.9,.301,16.4,24.9,.658,16.4,44.5,12.6,5.45,4.13,13.0,17.5
6,Alabama State,32,19,13,.594,-12.84,-11.40,,12,6,,13,1,,5,10,,70.8,69.5,,40.6,24.8,59.1,.419,5.47,19.1,.286,15.8,23.4,.676,12.7,36.2,13.0,6.78,3.59,11.8,18.1
7,Alabama,32,13,19,.406,8.34,8.88,,7,11,,13,4,,0,11,,67.8,67.2,,40.5,23.2,52.2,.444,5.72,17.1,.334,15.8,23.0,.685,10.0,32.8,11.0,6.81,4.28,11.9,19.0
8,Albany (NY) NCAA,34,19,15,.559,-3.31,-5.22,,9,7,,10,3,,7,11,,65.9,63.9,,40.4,22.5,51.0,.441,4.79,13.3,.360,16.1,21.4,.750,10.1,34.6,11.1,5.41,2.97,12.6,17.1
9,Alcorn State,31,12,19,.387,-15.95,-9.27,,9,9,,9,3,,2,13,,64.0,67.8,,40.8,22.4,53.5,.418,4.39,14.5,.303,14.9,22.8,.654,9.74,30.9,9.13,5.97,3.74,11.5,18.6
