,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,33,23,10,.697,2.72,-2.04,,11,7,,14,3,,6,6,,76.3,66.4,,40.6,26.3,60.4,.436,6.73,21.5,.312,16.9,22.6,.749,10.6,32.1,14.9,11.0,1.85,12.5,22.2
2,Air Force,29,11,18,.379,-5.13,1.87,,4,13,,7,6,,2,10,,59.0,66.0,,40.0,21.6,49.6,.436,7.17,21.6,.333,8.62,13.3,.649,5.93,26.6,12.5,5.45,3.03,13.6,18.0
3,Akron,33,24,9,.727,0.84,-4.29,,14,6,,12,3,,8,4,,71.2,62.8,,40.2,24.4,52.9,.462,7.91,22.2,.357,14.4,21.0,.687,9.88,35.0,11.9,5.85,3.27,11.5,15.8
4,Alabama A&M,30,12,18,.400,-14.23,-8.66,,10,8,,7,3,,4,14,,61.4,67.0,,40.7,21.9,57.7,.379,3.90,14.4,.271,13.8,19.4,.713,11.1,37.8,9.50,7.03,3.20,13.6,16.1
5,UAB,34,27,7,.794,11.14,-0.67,,14,4,,16,2,,7,4,,80.7,66.3,,40.4,29.7,63.4,.468,7.97,21.0,.379,13.4,18.1,.738,12.2,38.4,13.0,9.65,4.26,11.5,16.6
6,Alabama State,31,10,21,.323,-11.86,-5.26,,8,10,,7,6,,3,15,,69.7,75.2,,40.3,24.2,56.8,.426,6.23,18.7,.332,15.0,21.5,.698,10.5,34.3,12.0,7.55,3.58,15.4,18.1
7,Alabama,32,19,13,.594,15.53,11.97,,9,9,,13,3,,3,7,,80.0,76.4,,40.2,27.7,62.8,.441,9.28,30.1,.308,15.4,21.1,.730,13.5,39.9,14.6,7.00,4.72,14.6,18.6
8,Albany (NY),31,13,18,.419,-9.70,-5.67,,9,9,,4,8,,8,9,,61.8,65.9,,40.2,23.0,56.2,.410,5.87,18.2,.323,9.90,14.1,.704,9.06,32.0,9.42,6.74,2.45,12.4,18.0
9,Alcorn State,33,17,16,.515,-8.77,-4.43,,14,4,,6,3,,9,12,,66.7,71.0,,40.3,24.0,58.1,.413,5.39,17.1,.315,13.3,19.2,.694,11.5,35.8,10.2,7.48,2.73,14.0,17.7
10,American,32,10,22,.313,-15.28,-7.81,,5,13,,6,5,,4,16,,63.5,70.9,,40.3,24.4,54.3,.450,5.03,15.2,.331,9.63,13.9,.694,6.97,30.7,12.2,6.53,3.06,13.3,14.9
11,Appalachian State,33,19,14,.576,-0.95,-1.15,,12,6,,11,4,,6,7,,66.9,62.6,,40.2,24.2,58.1,.417,8.24,24.8,.333,10.2,15.5,.659,10.0,35.3,12.5,5.61,2.33,10.1,12.9
12,Arizona State,31,14,17,.452,8.18,10.02,,10,10,,9,6,,5,7,,65.4,67.2,,40.6,25.0,60.4,.414,6.90,22.5,.307,8.48,12.8,.661,9.42,35.5,13.4,6.68,4.23,11.9,18.1
13,Arizona,34,31,3,.912,24.00,6.97,,18,2,,17,0,,9,3,,84.6,67.5,,40.1,30.4,61.4,.496,7.76,21.9,.354,15.9,21.6,.738,11.4,41.4,19.9,6.71,5.71,13.2,16.5
14,Little Rock,28,9,19,.321,-11.70,-0.38,,3,11,,6,7,,1,10,,66.7,73.1,,40.7,23.3,55.1,.422,7.04,20.9,.337,13.2,17.9,.735,8.32,31.5,13.0,6.93,2.14,13.8,16.7
15,Arkansas-Pine Bluff,31,7,24,.226,-18.73,-4.35,,5,13,,5,7,,2,17,,66.3,78.3,,40.2,22.8,55.9,.409,6.84,22.7,.301,13.8,19.3,.715,8.77,29.5,11.5,7.16,2.58,13.1,17.4
16,Arkansas State,29,18,11,.621,-2.99,-3.22,,8,7,,11,3,,6,7,,70.9,68.1,,40.2,25.7,57.0,.451,5.41,17.4,.311,14.1,18.9,.745,10.1,36.0,15.6,7.90,3.31,13.9,16.6
17,Arkansas,33,25,8,.758,16.54,8.14,,13,5,,17,1,,5,4,,76.9,68.5,,40.3,26.6,60.6,.440,6.36,20.8,.307,17.3,23.0,.753,11.2,38.2,14.1,7.73,4.18,12.6,16.8
18,Army,31,15,16,.484,-10.45,-7.45,,9,9,,10,4,,4,12,,70.4,70.4,,40.3,25.9,59.3,.437,6.74,21.0,.321,11.8,18.7,.630,11.1,37.2,12.5,7.84,1.87,13.2,14.8
19,Auburn,32,27,5,.844,20.42,8.74,,15,3,,16,0,,8,3,,78.7,67.0,,40.6,27.9,63.6,.440,8.13,25.4,.320,14.7,20.1,.733,12.5,39.9,14.6,8.78,7.94,12.1,18.5
20,Austin Peay,29,12,17,.414,-9.70,-3.07,,8,10,,6,5,,6,11,,64.7,69.1,,40.5,23.1,56.5,.408,7.90,25.0,.315,10.6,15.0,.706,10.6,32.8,13.5,6.41,2.03,14.0,16.7
21,Ball State,31,14,17,.452,-7.58,-4.15,,9,10,,9,5,,4,9,,74.3,76.8,,40.2,25.4,57.5,.442,8.55,23.7,.361,14.9,21.5,.694,9.71,35.6,13.2,6.06,2.42,14.0,17.9
22,Baylor,32,26,6,.813,21.90,9.02,,14,4,,15,2,,8,3,,76.5,63.6,,40.2,28.2,60.9,.464,7.94,23.0,.346,12.1,17.4,.698,12.8,37.1,15.8,8.81,3.41,12.5,15.8
23,Bellarmine,33,20,13,.606,-3.42,-0.94,,11,5,,11,4,,8,8,,70.1,67.2,,40.2,26.6,56.0,.475,7.79,22.9,.340,9.12,12.1,.753,7.27,30.3,14.5,5.61,1.67,9.45,14.3
24,Belmont,32,25,7,.781,7.04,-2.67,,15,3,,13,1,,10,4,,78.5,68.2,,40.3,29.1,59.4,.489,8.56,25.8,.332,11.8,16.0,.740,7.84,33.6,18.1,9.19,3.88,11.9,13.5
25,Bethune-Cookman,30,9,21,.300,-14.52,-6.52,,7,11,,4,6,,4,13,,63.4,69.5,,40.3,23.7,56.8,.416,4.80,14.3,.336,11.2,16.3,.689,10.0,32.6,10.7,7.93,2.43,13.4,17.1
26,Binghamton,29,12,17,.414,-10.29,-6.06,,8,10,,5,8,,7,9,,67.7,68.4,,40.2,25.7,58.3,.441,7.34,20.8,.354,8.86,13.4,.661,9.52,36.0,11.5,5.66,3.66,12.6,16.7
27,Boise State,34,27,7,.794,12.71,5.47,,15,3,,13,3,,9,3,,68.7,60.8,,40.4,24.5,54.6,.448,7.38,21.2,.348,12.4,19.1,.649,10.2,35.0,11.5,5.91,3.50,12.1,15.1
28,Boston College,33,13,20,.394,3.68,4.87,,6,14,,9,7,,2,10,,66.9,68.1,,40.6,24.6,57.5,.428,5.76,18.6,.309,12.0,17.0,.704,10.7,34.2,12.4,7.18,2.94,11.9,15.6
29,Boston University,33,21,12,.636,-4.54,-7.79,,11,7,,11,4,,8,8,,71.3,67.4,,40.5,25.8,56.4,.459,7.58,21.2,.358,12.0,16.4,.732,10.2,34.9,11.1,5.79,2.55,12.2,15.7
30,Bowling Green State,31,13,18,.419,-8.47,-4.09,,6,14,,9,7,,3,10,,80.3,80.5,,40.3,28.4,65.3,.435,8.23,24.2,.340,15.2,20.5,.739,12.1,38.8,12.6,7.32,3.42,12.3,17.7
31,Bradley,31,17,14,.548,6.25,1.65,,11,7,,12,2,,3,8,,70.5,65.2,,40.2,25.8,58.1,.444,7.77,23.0,.338,11.2,16.2,.689,11.2,38.8,13.5,6.35,4.58,13.5,17.0
32,Brigham Young,32,22,10,.688,10.24,5.64,,9,6,,12,2,,6,5,,73.7,67.9,,40.3,27.0,59.7,.453,7.84,22.1,.355,11.8,16.3,.725,10.8,39.2,14.1,4.94,3.16,12.8,17.7
33,Brown,29,13,16,.448,-3.24,-1.83,,5,9,,6,7,,6,7,,71.0,69.5,,40.0,25.5,58.6,.435,7.21,23.0,.313,12.8,18.0,.709,10.5,35.5,12.2,6.69,3.86,13.1,17.9
34,Bryant,31,22,9,.710,-4.39,-7.46,,15,2,,14,1,,7,7,,77.9,72.7,,40.3,27.4,62.6,.437,8.39,27.2,.308,14.8,20.2,.733,12.6,41.5,14.1,6.32,4.45,13.9,16.8
35,Bucknell,32,9,23,.281,-14.56,-6.31,,5,13,,7,6,,2,15,,71.2,79.4,,40.9,25.6,55.9,.457,7.91,21.0,.376,12.1,15.8,.765,6.81,31.7,14.7,4.63,3.13,13.5,15.3
36,Buffalo,30,19,11,.633,2.22,-2.89,,13,6,,9,3,,9,6,,79.9,72.3,,40.0,29.7,65.2,.455,8.50,24.9,.342,12.0,17.0,.709,14.2,42.4,15.0,7.13,4.57,13.2,17.1
37,Butler,33,14,19,.424,4.76,9.47,,6,14,,9,7,,3,8,,63.8,66.9,,40.5,22.7,54.5,.416,6.94,22.8,.305,11.5,16.5,.696,9.03,32.8,11.0,5.18,2.42,12.0,16.7
38,Cal Poly,28,7,21,.250,-10.12,-2.83,,4,12,,4,7,,2,12,,61.5,67.3,,40.5,21.2,51.8,.409,5.25,18.1,.290,13.9,19.0,.728,9.25,35.0,10.5,4.71,2.43,14.7,19.4
39,Cal State Bakersfield,28,9,19,.321,-7.04,-1.48,,2,14,,6,7,,2,11,,64.9,66.3,,40.0,24.4,57.6,.423,3.82,13.3,.288,12.3,17.5,.706,11.9,35.0,9.96,6.18,2.39,11.7,20.6
40,Cal State Fullerton,31,21,10,.677,0.39,-2.51,,12,5,,11,2,,7,7,,70.3,66.2,,40.0,24.0,53.8,.445,5.16,16.1,.321,14.8,19.4,.765,9.68,33.0,10.8,7.00,2.00,11.8,15.5
41,Cal State Northridge,30,7,23,.233,-11.56,-0.95,,3,15,,4,11,,3,11,,61.6,71.2,,40.5,22.6,56.1,.403,5.13,16.9,.303,11.2,16.5,.682,9.83,31.7,9.17,7.20,2.53,12.3,18.7
42,California Baptist,33,18,15,.545,-3.19,-3.19,,7,11,,14,5,,3,9,,71.0,67.3,,40.2,24.6,55.8,.441,8.00,24.0,.333,13.9,20.7,.671,9.91,37.2,16.0,5.12,2.79,14.0,18.4
43,UC Davis,24,13,11,.542,-3.21,-3.80,,6,6,,7,5,,5,4,,67.8,66.4,,40.2,25.0,56.9,.440,6.08,18.3,.333,11.7,16.5,.705,8.88,34.3,11.3,6.00,2.88,12.5,18.5
44,UC Irvine,25,15,10,.600,2.08,-0.45,,10,5,,9,1,,6,7,,66.2,60.3,,40.0,24.4,55.1,.442,5.04,15.5,.325,12.5,16.3,.765,10.0,36.3,10.9,6.00,3.56,13.5,18.0
45,UC Riverside,28,16,12,.571,-0.46,-1.43,,10,7,,10,4,,6,7,,66.6,63.7,,40.5,24.4,55.1,.442,7.18,22.4,.320,10.6,14.8,.720,7.89,35.5,13.3,5.25,1.32,12.3,16.0
