,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
46,UC San Diego,29,13,16,.448,-6.56,-3.31,,7,11,,9,4,,4,11,,70.2,70.6,,40.2,24.0,54.2,.444,9.14,24.7,.370,13.0,17.4,.748,5.93,30.6,13.6,5.76,1.83,12.6,14.6
47,UC Santa Barbara,28,17,11,.607,1.82,-3.95,,9,6,,11,3,,5,7,,73.8,65.8,,40.9,27.0,54.5,.494,5.43,16.4,.332,14.4,20.4,.708,9.07,34.9,15.6,6.25,2.93,13.3,17.3
48,California,32,12,20,.375,4.50,7.50,,5,15,,10,8,,2,9,,63.1,66.1,,40.3,23.6,56.2,.420,5.47,17.8,.308,10.3,14.2,.727,8.72,35.0,10.7,4.88,2.59,11.2,16.5
49,Campbell,29,16,13,.552,-4.89,-5.81,,8,8,,9,4,,5,8,,66.2,62.0,,40.3,24.9,54.0,.460,6.34,19.9,.318,10.1,14.9,.680,6.93,31.9,13.9,6.21,2.28,10.4,13.8
50,Canisius,32,11,21,.344,-7.84,-2.62,,7,13,,10,5,,1,15,,68.5,71.5,,40.3,24.3,60.7,.400,7.38,24.1,.306,12.6,18.1,.693,11.1,35.4,13.0,6.03,2.59,11.8,17.2
51,Central Arkansas,31,11,20,.355,-13.56,-1.42,,7,9,,8,4,,3,14,,73.2,81.1,,40.3,27.8,63.2,.440,6.68,22.2,.300,10.9,14.3,.761,10.1,35.5,14.3,6.81,3.19,13.7,16.7
52,Central Connecticut State,32,8,24,.250,-17.28,-6.94,,4,13,,4,7,,4,15,,61.8,72.1,,40.5,21.6,54.8,.393,7.34,21.5,.342,11.3,16.0,.708,9.25,31.9,10.6,6.22,2.19,13.8,16.1
53,Central Florida,30,18,12,.600,6.35,4.75,,9,9,,13,3,,4,8,,69.8,68.2,,40.2,24.7,58.3,.423,8.80,25.1,.350,11.7,16.6,.703,11.1,35.2,14.5,7.00,3.67,13.0,15.7
54,Central Michigan,30,7,23,.233,-12.07,-1.04,,6,12,,2,9,,5,11,,65.9,77.0,,40.2,23.1,56.5,.409,7.73,22.7,.341,11.9,17.2,.692,9.20,33.2,11.5,6.27,3.03,13.6,19.9
55,Charleston Southern,31,6,25,.194,-17.67,-4.31,,1,15,,4,9,,1,13,,68.5,76.0,,40.2,24.0,59.0,.408,8.26,26.8,.308,12.1,17.9,.676,10.5,36.2,12.0,6.55,3.00,14.6,16.2
56,Charlotte,31,17,14,.548,-1.47,-0.28,,10,8,,11,4,,6,6,,70.0,71.2,,40.0,25.2,54.8,.460,7.52,21.8,.345,12.1,15.3,.792,7.10,31.3,14.0,4.81,2.90,11.5,14.1
57,Chattanooga,34,27,7,.794,5.94,-1.37,,14,4,,12,3,,12,4,,74.8,64.7,,40.3,27.5,58.6,.469,8.00,23.1,.346,11.8,15.7,.752,10.6,35.9,13.0,7.18,2.21,11.0,15.5
58,Chicago State,32,7,25,.219,-13.87,-1.59,,3,15,,5,9,,2,15,,62.1,74.4,,40.0,21.9,56.0,.391,7.59,24.5,.310,10.8,16.4,.654,11.5,33.3,9.47,5.47,2.25,14.8,19.7
59,Cincinnati,33,18,15,.545,7.60,4.45,,7,11,,12,6,,4,7,,69.4,65.9,,40.0,24.6,61.0,.404,8.15,25.8,.315,12.1,18.0,.669,11.5,37.2,13.1,6.30,3.85,10.5,17.5
60,The Citadel,31,13,18,.419,-6.73,-1.91,,6,12,,7,8,,5,9,,76.8,76.8,,40.8,27.0,60.8,.445,10.7,30.3,.354,12.0,17.9,.672,9.32,37.3,16.1,4.71,3.58,12.2,15.3
61,Clemson,33,17,16,.515,9.32,6.05,,8,12,,11,5,,3,8,,71.7,68.5,,40.3,25.8,56.6,.456,7.76,21.4,.363,12.4,16.8,.736,8.52,34.6,14.2,5.91,2.33,11.0,15.8
62,Cleveland State,30,20,10,.667,-1.95,-6.10,,15,6,,15,3,,5,6,,75.6,69.9,,40.8,27.5,57.4,.479,6.53,19.7,.332,14.0,20.9,.671,11.1,35.0,16.7,8.63,3.37,13.4,18.1
63,Coastal Carolina,29,16,13,.552,0.06,-2.30,,8,8,,11,6,,4,5,,72.8,65.3,,40.3,26.2,58.2,.451,7.41,20.6,.361,12.9,18.6,.695,12.4,39.9,13.4,6.62,3.69,13.1,14.5
64,Colgate,34,23,11,.676,0.86,-6.93,,16,2,,15,1,,8,10,,76.1,67.1,,40.1,27.7,58.1,.476,9.91,24.6,.403,10.7,15.4,.695,8.76,36.2,17.2,6.24,3.68,11.3,14.5
65,College of Charleston,32,17,15,.531,0.23,-1.52,,8,10,,9,6,,7,8,,78.2,76.4,,40.3,28.0,63.7,.439,8.13,23.9,.339,14.1,19.3,.730,13.8,40.3,13.2,7.97,2.75,15.6,20.6
66,Colorado State,30,25,5,.833,12.37,4.99,,14,4,,14,1,,6,3,,73.7,65.7,,40.3,26.6,54.8,.485,7.63,21.3,.358,12.9,16.7,.774,6.63,31.9,14.2,6.27,3.17,10.1,14.9
67,Colorado,32,21,11,.656,10.64,6.60,,12,8,,12,5,,6,4,,71.2,67.1,,40.3,24.8,55.9,.443,6.88,18.6,.370,14.8,19.6,.753,10.0,37.3,13.3,5.56,3.22,13.6,15.8
68,Columbia,26,4,22,.154,-17.41,-4.53,,1,13,,3,10,,1,12,,67.4,78.8,,40.2,25.0,58.8,.425,7.62,21.4,.356,9.69,15.5,.627,10.2,35.3,12.0,5.92,2.04,15.2,16.7
69,Connecticut,32,23,9,.719,17.28,7.25,,13,6,,14,2,,5,5,,75.2,65.2,,40.8,26.8,61.6,.436,7.44,21.1,.353,14.1,18.8,.750,14.0,40.9,14.0,5.97,6.50,11.9,16.8
70,Coppin State,32,9,23,.281,-12.58,-4.83,,6,8,,3,6,,4,16,,66.9,74.7,,40.0,22.3,57.8,.386,8.56,28.9,.297,13.7,20.0,.684,7.81,34.2,11.0,8.06,3.00,14.4,16.8
71,Cornell,26,15,11,.577,-3.30,-3.34,,7,7,,10,2,,5,8,,79.2,74.7,,40.2,28.3,60.6,.467,9.65,27.7,.348,13.0,18.4,.707,9.92,37.9,17.3,7.92,2.92,14.2,18.7
72,Creighton,33,22,11,.667,11.49,8.40,,12,7,,11,4,,6,5,,69.0,65.9,,40.3,25.8,57.2,.450,6.70,21.8,.307,10.8,14.8,.729,9.64,38.3,13.2,5.36,4.42,14.1,13.4
73,Dartmouth,25,9,16,.360,-3.94,-2.44,,6,8,,5,5,,4,11,,68.4,68.2,,40.6,24.3,58.4,.417,8.88,26.2,.339,10.8,14.0,.772,8.40,33.1,10.4,6.64,3.36,11.5,16.1
74,Davidson,32,27,5,.844,10.67,1.51,,15,3,,13,1,,9,3,,76.0,65.8,,40.2,26.9,55.6,.484,8.81,22.7,.388,13.4,17.8,.754,7.47,34.4,14.8,4.69,2.59,9.88,14.7
75,Dayton,33,23,10,.697,10.14,2.17,,14,4,,13,4,,6,5,,69.1,61.2,,40.0,25.5,53.5,.477,6.67,18.2,.365,11.4,16.8,.682,9.36,35.0,14.4,5.67,3.85,12.5,14.0
76,Delaware State,28,2,26,.071,-22.45,-7.21,,0,14,,2,11,,0,13,,62.8,73.5,,40.2,22.6,56.0,.404,6.04,18.6,.325,11.5,17.1,.672,9.93,35.3,9.68,7.25,4.00,17.5,18.0
77,Delaware,34,22,12,.647,0.15,-2.67,,10,8,,9,5,,8,5,,73.8,69.9,,40.3,26.1,55.6,.469,7.59,21.5,.352,14.0,18.9,.743,8.56,32.8,12.7,6.62,3.74,12.6,15.6
78,Denver,32,11,21,.344,-9.58,-5.41,,7,11,,6,7,,4,12,,70.5,74.4,,40.5,25.5,55.4,.460,7.25,19.7,.368,12.3,17.6,.697,7.53,32.3,12.3,5.22,3.34,12.9,17.4
79,DePaul,31,15,16,.484,8.21,7.12,,6,14,,11,7,,4,8,,73.3,72.2,,40.2,26.3,60.7,.433,6.58,20.8,.317,14.1,20.3,.693,11.8,38.5,11.4,6.23,5.00,12.3,15.7
80,Detroit Mercy,29,14,15,.483,-5.65,-4.87,,10,7,,9,1,,5,14,,70.4,69.7,,40.0,24.9,56.9,.437,10.4,28.0,.373,10.3,13.1,.782,9.24,31.6,12.1,5.90,1.93,11.7,15.4
81,Dixie State,31,13,18,.419,-8.19,-0.19,,6,12,,10,6,,3,11,,72.5,74.1,,40.2,25.6,60.2,.426,7.06,22.5,.314,14.1,20.8,.679,10.7,38.5,15.5,6.71,2.42,15.0,18.8
82,Drake,34,24,10,.706,7.83,1.79,,13,5,,14,3,,8,2,,73.5,66.2,,40.9,26.8,59.1,.454,6.91,20.5,.338,12.9,17.1,.753,10.1,34.9,11.6,7.06,3.24,10.8,16.9
83,Drexel,29,15,14,.517,-0.45,-2.06,,10,8,,8,4,,6,7,,72.8,70.3,,40.3,27.4,59.2,.463,7.28,21.0,.346,10.7,15.0,.710,8.52,34.2,12.5,4.76,3.00,10.9,15.2
84,Duke,34,28,6,.824,19.17,6.14,,16,4,,15,3,,9,2,,80.2,67.1,,40.1,29.7,60.7,.489,8.18,22.2,.368,12.6,17.4,.729,10.7,38.3,16.9,6.47,5.53,10.2,13.6
85,Duquesne,30,6,24,.200,-6.22,1.99,,1,16,,3,11,,1,10,,65.2,73.4,,40.7,24.7,61.4,.403,6.23,20.5,.305,9.50,13.4,.707,11.4,34.1,10.0,6.63,4.37,11.5,13.9
86,East Carolina,30,15,15,.500,0.62,2.78,,6,11,,12,4,,2,7,,68.8,70.9,,40.3,23.3,57.5,.406,7.50,22.5,.333,14.5,19.3,.754,9.97,35.2,14.7,6.77,3.07,13.0,16.2
87,East Tennessee State,32,15,17,.469,-2.58,-0.18,,7,11,,8,6,,4,10,,72.1,73.0,,40.2,26.7,60.0,.444,8.78,25.1,.350,9.97,13.8,.725,10.9,34.8,13.1,6.75,2.78,11.3,14.8
88,Eastern Illinois,31,5,26,.161,-20.64,-3.53,,3,15,,4,9,,1,16,,56.3,71.1,,40.0,20.1,50.5,.398,5.97,18.3,.326,10.2,15.9,.638,7.10,29.4,11.8,6.32,3.00,16.0,14.5
89,Eastern Kentucky,31,13,18,.419,-6.53,-5.16,,5,11,,12,5,,1,13,,79.3,75.1,,40.8,28.6,68.5,.417,11.7,33.2,.353,10.3,14.6,.706,12.5,36.2,15.6,10.2,3.65,11.6,16.5
90,Eastern Michigan,31,10,21,.323,-10.43,-2.60,,5,15,,8,7,,2,14,,69.1,76.0,,41.0,25.2,58.6,.431,6.32,20.5,.308,12.4,17.8,.695,8.32,34.8,10.1,5.84,3.19,13.8,17.5
91,Eastern Washington,33,18,15,.545,-5.01,-5.23,,11,9,,9,3,,8,10,,76.9,74.3,,40.3,26.6,58.9,.452,8.73,25.1,.348,14.9,19.8,.752,9.15,36.8,15.8,5.52,2.79,13.2,18.5
92,Elon,32,10,22,.313,-6.42,1.12,,7,11,,7,7,,3,11,,67.1,72.2,,40.0,23.9,56.3,.426,8.53,24.9,.342,10.7,14.5,.737,8.88,33.2,12.5,4.84,2.44,13.0,20.3
93,Evansville,30,6,24,.200,-10.53,1.81,,2,16,,4,9,,2,11,,59.2,70.7,,40.8,21.0,52.7,.398,8.17,24.8,.330,9.07,12.8,.708,4.80,27.2,10.5,5.93,2.03,11.2,14.7
94,Fairfield,33,15,18,.455,-4.29,-4.51,,8,12,,6,9,,8,8,,67.8,66.0,,40.5,24.8,57.3,.434,7.61,22.4,.340,10.5,15.0,.704,9.48,34.6,11.9,5.42,3.06,11.0,15.9
95,Fairleigh Dickinson,26,4,22,.154,-17.97,-6.05,,4,11,,3,6,,1,16,,67.2,79.2,,40.4,24.3,59.8,.406,6.85,21.2,.324,11.8,16.6,.708,10.3,33.1,11.8,6.46,2.96,13.7,18.3
96,Florida A&M,30,13,17,.433,-11.97,-6.54,,11,7,,8,4,,5,12,,65.0,68.8,,40.3,24.4,57.0,.428,4.57,15.1,.302,11.6,16.5,.705,8.97,32.6,12.0,6.27,3.07,12.5,17.7
97,Florida Atlantic,33,19,14,.576,3.08,-1.63,,11,7,,14,5,,4,8,,74.2,67.9,,40.2,26.6,58.6,.454,8.82,25.2,.349,12.2,17.1,.711,10.9,36.3,13.5,7.36,2.85,13.0,16.9
98,Florida Gulf Coast,32,21,11,.656,-2.84,-4.81,,10,6,,15,3,,6,8,,77.4,73.2,,40.9,27.6,61.2,.451,10.1,28.9,.349,12.2,17.9,.678,11.3,39.0,15.8,6.69,5.00,13.4,14.7
99,Florida International,32,15,17,.469,-6.29,-3.09,,5,13,,11,5,,1,11,,70.8,71.1,,40.8,25.4,59.1,.430,9.63,27.5,.350,10.3,14.7,.702,9.59,35.0,13.8,6.41,4.00,14.0,15.4
100,Florida State,31,17,14,.548,6.20,7.13,,10,10,,11,4,,4,8,,71.0,71.9,,40.3,25.8,59.4,.434,6.71,20.3,.331,12.7,18.0,.708,11.4,34.9,14.4,8.52,4.87,12.5,16.3
101,Florida,32,19,13,.594,12.77,8.08,,9,9,,12,5,,4,6,,70.8,66.1,,40.3,24.2,56.4,.429,8.00,25.9,.308,14.4,19.6,.735,11.0,33.5,12.8,8.09,5.19,12.3,16.0
102,Fordham,32,16,16,.500,-0.80,-0.11,,8,10,,10,4,,3,9,,66.1,66.8,,40.6,23.0,58.4,.394,7.41,25.0,.297,12.6,17.4,.727,10.2,36.8,11.8,7.31,3.72,13.2,17.7
103,Fresno State,32,19,13,.594,8.88,3.17,,8,9,,11,4,,5,8,,64.7,58.5,,40.8,23.2,52.8,.439,6.59,20.2,.326,11.7,16.1,.725,8.88,33.9,11.6,5.88,2.63,11.3,15.4
104,Furman,34,22,12,.647,6.24,-1.40,,12,6,,12,3,,8,8,,77.6,68.7,,40.9,27.8,59.9,.464,11.8,31.0,.380,10.3,13.6,.757,9.29,33.1,17.4,8.26,3.50,10.5,14.6
105,Gardner-Webb,31,18,13,.581,-2.38,-4.45,,11,5,,11,3,,6,9,,69.5,64.2,,40.0,25.3,57.0,.444,7.42,22.5,.329,11.5,16.4,.701,8.81,36.9,13.2,7.26,4.74,13.4,18.3
106,George Mason,30,14,16,.467,4.32,2.12,,7,9,,10,4,,4,8,,70.7,68.5,,40.8,25.0,56.2,.446,9.33,26.1,.358,11.3,16.3,.694,8.27,34.7,14.1,5.07,3.17,12.2,16.0
107,George Washington,30,12,18,.400,-3.89,0.58,,8,9,,8,5,,3,10,,68.4,72.8,,40.5,25.3,59.0,.428,7.13,21.1,.338,10.7,15.3,.698,8.30,33.3,12.3,6.90,4.17,12.6,17.1
108,Georgetown,31,6,25,.194,2.02,8.35,,0,19,,6,11,,0,11,,70.7,77.0,,40.0,24.8,62.1,.400,7.65,22.4,.342,13.4,18.0,.744,12.7,37.3,11.8,7.16,3.84,13.4,16.2
109,Georgia Southern,29,13,16,.448,-6.85,-2.85,,5,11,,7,5,,4,10,,66.4,65.6,,40.3,24.6,55.1,.447,5.86,19.3,.304,11.3,16.7,.680,9.76,34.7,12.0,7.45,3.45,14.3,17.6
110,Georgia State,28,18,10,.643,-1.12,-2.20,,9,5,,8,4,,6,5,,70.6,64.8,,40.5,25.0,62.0,.403,7.68,23.4,.329,13.0,18.1,.717,13.3,37.3,13.5,8.93,4.46,11.9,15.8
111,Georgia Tech,32,12,20,.375,1.93,5.77,,5,15,,8,10,,3,8,,68.6,70.8,,40.6,25.7,58.3,.441,7.13,20.2,.353,10.0,14.4,.698,8.88,34.0,13.7,7.78,2.56,13.1,18.0
112,Georgia,32,6,26,.188,-0.33,8.36,,1,17,,6,13,,0,10,,69.8,78.5,,40.0,23.8,53.9,.442,6.41,19.9,.321,15.7,21.0,.747,8.41,32.7,13.9,5.22,2.16,14.4,15.0
113,Gonzaga,29,26,3,.897,26.78,4.30,,13,1,,16,0,,5,1,,87.8,65.3,,40.0,32.9,62.4,.527,8.38,22.1,.379,13.6,18.6,.730,9.38,41.5,18.2,6.66,5.86,11.8,15.4
114,Grambling,32,12,20,.375,-12.16,-4.89,,8,9,,6,4,,4,14,,65.4,71.0,,40.0,23.4,57.6,.407,5.09,16.2,.315,13.5,19.0,.710,10.4,35.8,10.9,6.59,3.34,14.2,18.3
115,Grand Canyon,31,23,8,.742,6.14,-2.24,,12,5,,15,2,,6,5,,71.1,61.2,,40.0,25.3,58.8,.430,8.16,23.2,.351,12.4,18.2,.679,12.7,40.3,12.8,6.65,2.19,13.0,17.7
116,Green Bay,30,5,25,.167,-13.63,-5.18,,4,16,,4,9,,1,13,,61.7,68.9,,40.0,22.3,53.1,.419,5.20,18.4,.282,12.0,16.8,.714,8.93,30.0,10.7,4.97,2.77,12.9,15.4
