,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,10,21,.323,-17.20,-6.34,,4,14,,7,6,,1,14,,63.7,70.5,,40.0,22.4,54.3,.413,7.48,19.7,.380,11.4,15.7,.727,8.84,28.9,12.7,6.55,1.23,12.9,21.3
2,Air Force,31,14,17,.452,-1.85,-0.71,,6,12,,11,5,,1,11,,65.7,65.1,,40.2,23.9,50.5,.474,7.48,20.2,.371,10.4,15.7,.659,8.55,30.0,15.6,6.29,2.10,11.8,17.8
3,Akron,35,21,14,.600,3.65,-0.47,,9,9,,15,3,,2,9,,68.1,62.9,,40.2,23.5,56.6,.416,9.37,26.8,.350,11.6,17.6,.658,12.0,35.7,12.4,6.57,4.43,12.1,18.7
4,Alabama A&M,29,9,20,.310,-17.15,-9.62,,8,10,,4,7,,5,12,,62.0,68.6,,40.2,21.0,52.9,.397,5.72,19.9,.288,14.3,22.2,.645,12.7,34.4,12.2,5.69,2.34,14.2,19.8
5,UAB NCAA,36,20,16,.556,1.94,1.62,,12,6,,13,4,,3,8,,68.8,68.1,,41.1,24.3,56.7,.428,5.61,16.9,.333,14.7,19.9,.738,12.1,36.7,14.3,6.58,5.11,13.4,17.5
6,Alabama State,29,19,10,.655,-8.97,-12.71,,14,4,,9,3,,8,5,,72.1,66.8,,40.2,26.2,59.9,.438,5.93,16.6,.358,13.7,21.0,.650,13.4,39.7,13.6,6.34,4.21,13.7,17.9
7,Alabama,34,19,15,.559,10.52,8.09,,8,10,,14,5,,4,8,,67.1,64.1,,40.3,22.4,50.7,.441,6.50,20.5,.317,15.9,22.1,.717,9.56,33.0,10.3,6.44,3.68,12.0,19.2
8,Albany (NY) NCAA,33,24,9,.727,-0.34,-5.18,,15,1,,12,3,,12,5,,65.3,60.5,,40.2,22.1,50.5,.438,6.21,17.3,.358,14.9,19.7,.758,10.1,33.7,10.6,5.67,1.61,11.5,16.5
9,Alcorn State,32,6,26,.188,-20.75,-9.95,,4,14,,4,7,,1,15,,64.6,74.3,,40.0,22.6,58.3,.388,4.84,17.3,.280,14.5,22.0,.658,11.8,32.4,8.91,5.97,2.69,11.5,17.8
