,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,.500,-9.14,-6.82,,8,10,,9,6,,6,9,,73.7,71.2,,40.3,27.2,58.6,.464,6.66,20.5,.325,12.7,18.1,.701,9.66,34.2,15.1,8.13,4.00,14.4,21.0
2,Air Force,31,12,19,.387,-4.31,1.72,,6,12,,9,7,,3,10,,68.5,72.4,,40.2,23.6,56.5,.419,8.06,24.4,.331,13.2,17.9,.734,9.74,32.7,14.4,6.48,2.52,12.6,18.0
3,Akron,32,14,18,.438,-6.82,-1.92,,6,12,,12,4,,2,10,,71.8,75.3,,40.5,24.8,57.0,.435,9.53,26.6,.358,12.7,18.2,.696,9.56,33.5,13.1,5.91,2.53,13.8,19.9
4,Alabama A&M,31,3,28,.097,-23.97,-8.04,,3,15,,2,9,,1,18,,60.4,76.4,,40.2,21.7,54.7,.397,5.87,19.4,.303,11.1,17.2,.647,10.8,33.7,11.0,3.97,1.58,16.6,16.3
5,Alabama-Birmingham,33,20,13,.606,4.90,-0.65,,10,8,,14,3,,5,6,,76.8,69.8,,40.3,28.6,58.7,.488,6.76,19.6,.345,12.8,17.1,.750,10.1,38.0,17.0,5.39,3.85,13.2,14.8
6,Alabama State,31,8,23,.258,-18.55,-8.62,,8,10,,4,8,,4,13,,68.7,78.6,,40.2,24.2,59.3,.408,6.74,20.6,.328,13.5,20.9,.646,12.7,36.5,10.1,5.45,4.19,14.1,20.9
7,Alabama NCAA,36,20,16,.556,12.34,10.64,,8,10,,12,4,,2,8,,72.3,70.6,,40.0,25.3,54.9,.461,6.36,19.5,.326,15.4,23.0,.670,10.0,35.8,12.7,6.33,5.33,14.3,18.8
8,Albany (NY),32,22,10,.688,0.01,-5.41,,10,6,,14,3,,8,7,,74.2,68.2,,40.0,26.2,57.4,.457,5.75,15.7,.367,16.0,21.3,.754,11.8,37.2,12.7,4.69,2.84,11.6,16.5
9,Alcorn State,32,11,21,.344,-18.07,-8.60,,7,11,,9,5,,2,16,,70.1,74.6,,40.2,24.7,57.0,.434,7.47,21.8,.343,13.2,18.7,.707,9.53,34.5,13.1,6.25,2.66,14.3,19.2
10,American,30,6,24,.200,-14.63,-6.17,,3,15,,4,8,,2,16,,65.4,73.8,,40.2,23.3,53.8,.432,7.97,23.6,.337,10.9,16.4,.664,8.07,29.0,12.2,7.23,3.27,13.8,18.3
11,Appalachian State,33,15,18,.455,-4.81,-2.65,,9,9,,9,4,,4,11,,76.4,74.2,,40.6,26.2,60.1,.436,8.85,26.0,.340,15.2,22.7,.668,11.8,39.2,12.5,6.00,3.55,13.8,19.0
12,Arizona State NCAA,32,20,12,.625,14.37,6.56,,8,10,,13,4,,4,6,,82.7,74.8,,40.3,27.8,60.0,.463,9.00,24.8,.363,18.2,24.8,.733,9.84,35.2,14.3,6.53,3.56,10.7,18.9
13,Arizona NCAA,35,27,8,.771,15.67,6.84,,14,4,,15,1,,8,3,,80.5,71.7,,40.6,28.8,57.2,.504,6.77,18.3,.369,16.1,21.2,.760,10.1,36.5,15.2,4.94,4.51,12.2,17.2
14,Little Rock,32,7,25,.219,-10.44,-2.21,,4,14,,5,10,,2,14,,63.7,70.1,,40.6,23.4,54.9,.427,6.25,19.5,.321,10.6,17.3,.610,10.1,34.0,12.2,4.97,2.91,14.3,19.1
15,Arkansas-Pine Bluff,35,14,21,.400,-14.84,-9.36,,12,6,,7,3,,6,13,,65.9,71.4,,40.3,23.3,53.2,.437,6.20,18.9,.329,13.1,19.5,.675,7.97,29.3,12.2,7.86,4.11,14.3,19.5
16,Arkansas State,32,11,21,.344,-9.65,-3.02,,6,12,,7,7,,4,13,,74.0,78.8,,40.3,26.3,59.7,.440,7.38,21.7,.340,14.1,19.6,.718,11.2,33.5,10.8,6.72,2.97,13.1,18.4
17,Arkansas NCAA,35,23,12,.657,14.76,9.85,,10,8,,15,2,,3,7,,80.5,75.6,,40.4,28.7,60.5,.474,7.69,19.5,.395,15.4,22.7,.681,10.0,34.5,14.3,6.23,4.66,10.9,20.0
18,Army,30,13,17,.433,-8.62,-7.17,,6,12,,6,5,,4,12,,74.3,74.1,,40.2,27.3,61.5,.444,9.83,25.7,.383,9.83,14.9,.658,10.1,35.8,16.7,5.67,2.77,13.4,19.8
19,Auburn NCAA,34,26,8,.765,15.97,7.29,,13,5,,15,1,,7,4,,81.9,73.2,,40.0,26.6,61.8,.431,9.53,26.7,.357,19.0,24.6,.774,12.0,37.9,14.1,7.41,5.29,12.1,19.8
20,Austin Peay,34,19,15,.559,-3.28,-2.49,,12,6,,13,5,,5,9,,73.9,71.9,,40.3,26.9,59.2,.455,5.94,17.4,.341,14.1,21.7,.651,13.1,35.6,13.3,6.62,3.03,14.1,19.7
21,Ball State,32,19,13,.594,-1.22,-1.99,,10,8,,14,2,,5,10,,75.3,73.8,,40.5,26.8,59.2,.452,7.66,22.7,.337,14.2,20.1,.705,10.0,37.8,14.2,5.31,3.50,13.2,17.1
22,Baylor,34,19,15,.559,14.59,9.17,,8,10,,15,5,,2,9,,75.6,69.7,,40.4,27.7,59.0,.469,6.38,17.9,.357,13.8,18.8,.734,11.8,38.0,15.2,5.44,4.47,13.6,17.9
23,Belmont,33,24,9,.727,5.54,-2.88,,15,3,,14,2,,9,6,,77.6,69.2,,40.0,27.3,56.2,.486,11.5,30.5,.376,11.6,15.7,.739,7.82,34.3,16.0,4.88,2.48,12.4,16.1
24,Bethune-Cookman,32,18,14,.563,-12.21,-12.48,,12,4,,10,3,,8,10,,81.9,79.5,,40.3,28.2,63.7,.443,7.53,23.7,.318,18.0,25.6,.701,13.3,42.1,15.7,6.31,3.84,15.8,20.9
25,Binghamton,31,11,20,.355,-10.29,-6.36,,2,14,,7,7,,3,12,,69.3,70.4,,40.2,25.4,57.3,.443,7.58,21.6,.350,10.9,17.0,.640,9.13,34.4,12.1,5.48,4.23,12.3,16.8
26,Boise State,32,23,9,.719,11.21,3.05,,13,5,,15,1,,6,6,,78.2,69.1,,40.6,27.4,59.5,.461,9.59,25.3,.379,13.7,18.6,.738,10.0,38.5,13.3,5.72,2.19,13.5,17.9
27,Boston College,35,19,16,.543,9.00,7.20,,7,11,,14,3,,2,11,,76.4,74.6,,40.4,27.1,60.1,.450,8.51,23.7,.359,13.7,18.5,.741,10.5,36.9,14.1,5.00,3.14,12.6,16.3
28,Boston University,31,15,16,.484,-8.34,-5.84,,10,8,,6,7,,9,9,,70.5,71.8,,40.0,25.8,55.8,.462,7.39,19.8,.373,11.5,18.0,.639,9.71,33.7,13.5,7.39,3.32,13.8,17.1
29,Bowling Green State,32,16,16,.500,-6.38,-2.88,,7,11,,9,6,,6,9,,75.9,77.8,,40.8,25.8,61.3,.421,7.53,21.6,.349,16.7,22.8,.732,11.6,38.3,13.3,5.91,2.56,12.8,17.8
30,Bradley,33,20,13,.606,2.08,0.36,,9,9,,13,2,,4,9,,67.4,64.7,,40.0,23.3,54.2,.430,6.58,18.6,.354,14.2,20.2,.707,10.9,35.7,13.5,6.48,4.03,13.4,19.0
31,Brigham Young,35,24,11,.686,8.04,1.53,,11,7,,13,3,,7,6,,74.3,67.8,,40.4,26.3,54.4,.482,6.43,18.5,.347,15.3,20.5,.750,6.91,32.7,15.2,6.40,3.80,11.5,17.0
32,Brown,27,11,16,.407,-7.78,-4.67,,4,10,,8,5,,3,11,,77.0,79.0,,40.7,25.7,60.4,.426,6.89,21.8,.316,18.7,24.7,.756,11.5,36.6,12.5,6.44,3.00,13.5,20.9
33,Bryant,31,3,28,.097,-18.75,-5.43,,2,16,,1,11,,2,17,,70.0,83.3,,40.2,24.9,60.7,.410,8.35,24.4,.343,11.9,16.8,.705,10.1,32.3,13.5,6.13,1.39,12.9,19.4
34,Bucknell NCAA,35,25,10,.714,4.48,-3.46,,16,2,,15,1,,10,8,,81.1,73.1,,40.6,27.6,58.6,.471,8.00,23.0,.348,17.9,24.9,.719,9.29,36.6,14.4,5.54,4.34,12.5,18.7
