,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
35,Buffalo NCAA,36,27,9,.750,7.99,0.25,,15,3,,14,1,,8,5,,84.6,76.2,,40.4,30.7,64.8,.473,9.75,26.3,.370,13.5,19.3,.699,11.9,38.6,16.6,6.25,4.06,12.4,21.0
36,Butler NCAA,35,21,14,.600,16.92,10.55,,9,9,,14,3,,3,7,,78.9,72.6,,40.9,29.1,61.6,.473,8.20,23.0,.357,12.5,16.1,.776,9.26,34.2,14.0,6.63,2.86,11.2,18.3
37,Cal Poly,31,9,22,.290,-11.55,-1.83,,4,12,,7,6,,1,13,,67.2,74.3,,41.0,23.3,58.6,.397,8.61,24.1,.358,12.0,15.4,.780,9.39,33.4,12.0,4.97,3.94,11.8,18.2
38,Cal State Bakersfield,30,12,18,.400,-6.58,-0.73,,5,9,,8,4,,3,12,,66.0,68.9,,40.0,23.2,55.7,.417,6.17,20.4,.302,13.4,19.3,.696,11.4,35.6,12.9,6.07,2.90,13.9,19.9
39,Cal State Fullerton NCAA,32,20,12,.625,-0.92,-1.02,,10,6,,9,4,,7,7,,72.4,70.2,,40.3,25.1,53.8,.467,5.22,15.6,.334,17.0,23.3,.729,8.75,35.1,12.6,6.28,3.31,14.2,18.1
40,Cal State Northridge,30,6,24,.200,-13.51,-3.55,,3,13,,4,9,,2,13,,66.1,73.5,,40.5,24.4,56.3,.433,6.20,17.1,.362,11.2,15.8,.708,8.23,31.3,12.2,4.97,2.47,12.2,17.8
41,UC-Davis,33,22,11,.667,0.94,-1.84,,12,4,,10,2,,9,7,,72.4,67.9,,41.2,25.3,54.3,.465,6.45,17.3,.372,15.3,21.4,.716,8.09,32.2,12.4,7.06,2.33,12.9,19.5
42,UC-Irvine,35,18,17,.514,-0.21,-0.33,,11,5,,7,5,,7,10,,69.7,67.1,,40.3,25.7,58.9,.437,6.29,18.8,.335,12.0,16.9,.708,12.0,41.2,12.3,5.09,4.00,13.9,20.5
43,UC-Riverside,31,9,22,.290,-8.50,-1.53,,4,12,,6,8,,3,13,,65.3,69.8,,40.2,23.1,57.4,.402,5.97,19.3,.310,13.1,18.7,.702,10.0,35.1,12.5,6.13,3.06,13.8,19.9
44,UC-Santa Barbara,32,23,9,.719,2.10,-3.36,,11,5,,12,2,,9,6,,75.8,69.1,,40.2,27.4,59.1,.464,8.03,21.1,.381,12.9,18.6,.697,10.2,36.8,15.0,4.81,3.69,10.5,16.8
45,University of California,32,8,24,.250,-3.40,6.06,,2,16,,5,12,,3,8,,67.7,77.6,,40.2,24.0,59.0,.406,4.63,16.2,.286,15.1,22.4,.675,13.3,35.6,9.78,6.88,4.81,14.7,20.3
46,Campbell,34,18,16,.529,-5.68,-6.68,,10,8,,14,4,,4,11,,75.9,70.9,,40.3,26.2,54.9,.477,9.21,23.7,.388,14.3,19.1,.750,6.79,31.9,14.2,6.71,4.03,11.9,17.0
47,Canisius,33,21,12,.636,0.44,-4.80,,15,3,,11,3,,8,8,,76.3,71.1,,40.2,27.3,58.8,.464,9.21,26.5,.348,12.5,17.6,.711,10.2,33.4,16.8,7.03,2.88,13.0,18.9
48,Central Arkansas,35,18,17,.514,-5.83,-5.97,,10,8,,9,5,,8,11,,80.5,79.0,,40.7,28.0,61.8,.453,8.17,23.0,.356,16.4,22.3,.735,10.3,36.3,16.2,6.66,5.14,13.7,19.7
49,Central Connecticut State,32,14,18,.438,-11.62,-7.59,,7,11,,8,4,,6,14,,67.8,71.9,,40.8,24.6,54.4,.453,6.19,18.8,.329,12.4,17.8,.699,10.0,35.3,12.4,5.03,3.34,14.8,17.2
50,Central Florida,32,19,13,.594,4.75,3.75,,9,9,,12,4,,5,6,,62.7,61.7,,40.2,21.6,50.8,.424,5.53,16.8,.329,14.1,21.9,.641,9.53,34.6,10.6,5.28,3.47,13.5,15.3
51,Central Michigan,36,21,15,.583,-1.39,-3.24,,7,11,,12,5,,6,9,,78.8,73.9,,40.7,26.5,60.8,.436,9.89,28.8,.343,15.9,19.8,.806,11.3,36.3,13.7,6.33,3.31,11.6,15.9
52,Charleston Southern,31,15,16,.484,-8.15,-6.15,,9,9,,9,6,,6,10,,72.0,68.8,,40.6,25.9,57.8,.447,6.71,20.4,.330,13.5,18.7,.723,11.1,34.5,11.9,7.23,3.42,13.2,16.7
53,Charlotte,29,6,23,.207,-10.13,0.27,,2,16,,4,11,,2,12,,71.2,79.9,,40.2,24.3,56.3,.432,6.83,19.4,.352,15.7,22.0,.716,9.31,34.1,11.0,5.69,2.24,14.8,18.1
54,Chattanooga,33,10,23,.303,-11.09,-4.05,,3,15,,8,8,,1,14,,69.4,73.5,,40.8,23.8,54.7,.435,8.36,23.5,.356,13.5,19.0,.711,9.30,32.5,12.8,5.03,2.09,13.9,15.4
55,Chicago State,32,3,29,.094,-21.53,1.17,,1,13,,3,8,,0,19,,67.8,86.1,,40.0,24.2,59.3,.408,5.28,17.2,.308,14.2,19.6,.724,10.1,32.6,11.5,7.25,2.53,15.1,21.8
56,Cincinnati NCAA,36,31,5,.861,20.25,3.53,,16,2,,15,1,,9,2,,74.3,57.5,,40.0,26.2,58.3,.450,7.28,20.6,.353,14.5,21.0,.692,13.3,39.3,15.8,7.11,5.39,11.2,15.6
57,Citadel,32,11,21,.344,-13.63,-2.94,,5,13,,7,8,,3,12,,82.5,88.1,,40.3,27.8,67.1,.414,12.1,35.4,.341,14.8,21.0,.706,11.8,37.0,16.5,9.41,3.09,14.9,18.3
58,Clemson NCAA,35,25,10,.714,17.17,9.25,,11,7,,15,1,,4,6,,73.8,65.9,,40.3,25.7,56.3,.456,8.23,22.5,.366,14.2,18.9,.755,8.94,35.9,13.2,5.66,4.83,11.8,16.1
59,Cleveland State,35,12,23,.343,-10.82,-3.64,,6,12,,7,7,,2,15,,68.6,74.7,,40.3,24.4,56.1,.434,8.40,24.7,.341,11.5,16.3,.703,7.71,30.4,13.0,6.60,2.57,13.1,17.0
60,Coastal Carolina,32,14,18,.438,-3.91,-2.40,,8,10,,7,9,,5,7,,71.8,70.0,,40.3,24.6,56.7,.434,6.81,20.6,.330,15.8,21.9,.721,12.1,38.9,13.1,5.34,3.63,15.0,19.0
61,Colgate,33,19,14,.576,-4.86,-5.73,,12,6,,13,3,,6,11,,72.5,70.2,,40.0,25.1,57.5,.437,9.36,25.9,.361,12.9,16.7,.774,9.06,32.8,12.9,6.09,3.33,11.0,16.4
62,College of Charleston NCAA,34,26,8,.765,1.83,-3.29,,14,4,,14,0,,7,6,,74.6,68.6,,40.7,25.7,56.0,.459,7.62,21.2,.360,15.5,20.6,.754,8.41,33.2,11.4,5.21,3.50,9.97,16.6
63,Colorado State,32,11,21,.344,-3.86,3.79,,4,14,,8,8,,3,10,,72.3,79.3,,40.5,25.3,60.7,.418,7.03,21.4,.329,14.6,20.3,.717,11.7,37.5,12.8,5.94,3.19,13.3,19.5
64,Colorado,32,17,15,.531,6.07,7.00,,8,10,,12,3,,1,10,,72.1,73.0,,40.5,25.3,57.5,.440,7.53,21.0,.359,13.9,19.1,.729,10.1,37.5,12.8,4.38,3.81,14.1,19.3
65,Columbia,27,8,19,.296,-5.64,-3.02,,5,9,,7,5,,1,14,,76.4,77.2,,40.4,27.6,62.4,.442,9.96,27.1,.367,11.1,15.1,.740,10.3,35.6,14.2,6.56,3.44,12.5,18.7
66,Connecticut,32,14,18,.438,1.08,6.05,,7,11,,11,5,,2,9,,68.2,73.1,,40.6,23.8,57.3,.416,6.72,20.6,.326,13.8,18.5,.745,10.5,34.3,10.4,5.94,3.72,12.6,18.5
67,Coppin State,32,5,27,.156,-20.97,-7.25,,5,11,,4,6,,1,20,,60.8,74.5,,40.8,20.5,57.0,.360,8.28,27.2,.305,11.4,15.5,.736,8.53,33.8,10.6,5.38,2.56,14.4,20.3
68,Cornell,28,12,16,.429,-8.80,-3.24,,6,8,,8,4,,4,11,,75.9,80.4,,41.1,26.6,57.6,.461,7.75,22.8,.340,15.0,20.5,.730,8.29,34.3,16.0,5.14,3.50,13.4,17.8
69,Creighton NCAA,33,21,12,.636,16.35,8.10,,10,8,,16,2,,4,7,,83.5,74.1,,40.3,30.5,62.1,.492,10.4,28.0,.372,12.0,16.1,.748,7.55,36.5,17.8,5.67,2.67,11.2,15.2
70,Dartmouth,27,7,20,.259,-10.31,-4.00,,3,11,,6,6,,1,14,,68.2,73.0,,40.2,24.1,53.9,.448,7.41,20.6,.359,12.6,17.6,.714,7.70,31.4,13.3,5.63,3.19,13.5,15.6
71,Davidson NCAA,33,21,12,.636,11.02,2.57,,13,5,,11,1,,6,8,,76.3,67.9,,40.5,27.2,56.8,.480,10.7,27.5,.389,11.2,14.0,.798,6.94,32.7,16.7,4.70,1.97,9.55,15.2
72,Dayton,31,14,17,.452,1.64,2.70,,8,10,,12,4,,1,10,,72.4,73.5,,40.6,25.9,53.9,.481,8.00,23.7,.337,12.5,17.1,.731,7.74,31.2,15.7,5.23,2.52,13.7,16.5
73,Delaware State,32,4,28,.125,-24.59,-9.32,,2,14,,4,9,,0,18,,63.6,76.8,,40.6,23.2,55.7,.417,6.00,18.5,.325,11.2,16.1,.694,10.6,33.3,10.9,5.91,2.59,15.3,17.5
74,Delaware,33,14,19,.424,-6.93,-2.96,,6,12,,7,8,,4,10,,70.8,73.6,,40.3,26.0,57.0,.457,5.82,17.7,.329,13.0,19.9,.651,9.52,34.8,11.7,4.97,2.27,10.7,16.8
75,Denver,30,15,15,.500,-5.22,-2.54,,8,6,,10,4,,3,9,,73.1,73.0,,40.7,26.8,56.6,.473,7.03,17.6,.400,12.5,18.0,.694,10.4,36.9,15.1,4.30,2.40,15.0,18.7
76,DePaul,31,11,20,.355,6.55,8.45,,4,14,,6,10,,4,7,,71.9,73.8,,40.2,26.4,61.7,.428,6.26,20.2,.310,12.8,18.1,.708,12.4,37.4,15.0,6.45,3.03,13.9,17.8
77,Detroit Mercy,32,8,24,.250,-12.47,-2.07,,4,14,,5,11,,2,11,,78.6,85.7,,40.2,27.6,63.5,.435,8.78,25.5,.345,14.7,19.4,.755,10.5,34.8,13.7,6.63,2.75,13.6,20.3
78,Drake,34,17,17,.500,-0.51,0.59,,10,8,,11,3,,4,11,,73.7,73.4,,40.9,25.4,58.0,.437,8.50,23.4,.364,14.5,18.8,.770,8.21,34.1,14.8,6.00,2.53,12.1,15.6
79,Drexel,33,13,20,.394,-7.20,-2.48,,6,12,,9,5,,2,11,,74.4,78.5,,40.6,26.7,60.4,.441,6.88,21.2,.325,14.2,19.6,.723,11.2,36.3,11.5,5.33,4.18,12.4,17.7
80,Duke NCAA,37,29,8,.784,24.44,9.71,,13,5,,15,1,,6,5,,84.4,69.6,,40.3,30.4,61.8,.492,8.35,22.5,.372,15.2,21.4,.710,13.4,41.1,17.5,7.43,5.00,12.4,15.5
81,Duquesne,32,16,16,.500,-1.08,-3.33,,7,11,,13,6,,2,7,,72.4,70.2,,40.9,25.0,58.6,.427,8.16,23.3,.350,14.2,20.7,.685,12.1,35.9,11.9,5.81,4.38,12.0,18.7
82,East Carolina,30,10,20,.333,-8.72,-0.22,,4,14,,8,11,,2,8,,66.4,74.9,,40.5,24.7,57.4,.430,6.07,19.9,.305,11.0,16.5,.666,9.73,34.0,12.9,4.93,3.10,14.4,17.7
83,East Tennessee State,34,25,9,.735,3.72,-4.09,,14,4,,12,4,,11,4,,75.2,65.9,,40.0,27.2,57.6,.473,7.18,20.9,.343,13.5,19.1,.710,10.4,37.2,14.7,7.79,4.29,13.4,18.0
84,Eastern Illinois,31,12,19,.387,-8.33,-3.40,,7,11,,7,6,,4,12,,66.6,68.4,,40.2,23.6,55.7,.424,7.23,20.2,.357,12.2,17.8,.684,10.7,34.3,12.6,5.87,4.45,13.5,16.4
85,Eastern Kentucky,31,11,20,.355,-10.57,-3.68,,5,13,,6,7,,5,12,,71.9,76.5,,40.2,25.1,57.4,.437,7.29,20.6,.354,14.5,19.4,.747,9.58,33.0,13.1,6.23,3.65,12.9,17.5
86,Eastern Michigan,35,22,13,.629,-0.23,-2.81,,11,7,,14,3,,7,9,,71.7,66.8,,40.4,26.7,57.4,.464,6.69,19.9,.335,11.7,17.1,.683,10.2,35.1,12.9,8.66,6.49,12.8,16.0
87,Eastern Washington,35,20,15,.571,-0.03,-1.55,,13,5,,11,1,,6,12,,74.8,72.0,,40.3,26.7,57.6,.464,8.86,23.7,.374,12.5,16.3,.764,7.37,33.2,12.6,5.29,3.03,11.5,19.1
88,Elon,32,14,18,.438,-6.89,-1.69,,6,12,,8,5,,4,12,,73.3,76.2,,41.3,26.3,59.9,.439,10.5,30.2,.349,10.2,14.3,.711,8.06,35.6,15.8,4.38,2.06,11.7,15.4
89,Evansville,32,17,15,.531,0.69,1.35,,7,11,,15,3,,2,10,,65.4,63.9,,40.2,22.8,51.6,.442,5.75,14.0,.411,14.0,18.1,.775,7.72,33.1,13.0,5.94,2.88,13.5,17.8
90,Fairfield,33,17,16,.515,-4.98,-3.68,,9,9,,10,3,,3,10,,75.9,77.2,,40.8,26.7,60.9,.439,9.18,27.1,.339,13.4,18.8,.710,9.06,35.1,14.8,6.39,2.88,12.8,20.1
91,Fairleigh Dickinson,31,13,18,.419,-10.42,-5.66,,9,9,,8,5,,5,13,,74.6,75.8,,40.0,27.2,60.3,.451,6.87,20.1,.342,13.4,18.5,.726,10.9,34.4,13.4,7.10,3.23,13.7,18.1
92,Florida A&M,34,9,25,.265,-19.22,-8.34,,7,9,,6,4,,2,20,,68.9,78.9,,40.7,24.4,58.3,.419,6.38,18.1,.352,13.6,18.9,.724,10.2,32.2,10.9,5.71,3.06,13.9,18.0
93,Florida Atlantic,31,12,19,.387,-5.36,-0.14,,6,12,,7,7,,4,10,,69.5,70.1,,40.2,25.5,62.2,.410,5.77,17.8,.325,12.8,17.3,.739,11.5,38.5,12.1,5.87,4.00,12.7,18.0
94,Florida Gulf Coast,35,23,12,.657,1.93,-5.44,,12,2,,14,6,,9,6,,81.3,71.9,,40.0,29.9,60.5,.494,7.26,20.0,.363,14.4,19.4,.740,10.5,38.2,15.3,7.31,2.77,14.1,18.7
95,Florida International,32,14,18,.438,-4.30,-1.99,,8,10,,11,7,,3,9,,70.7,71.2,,40.9,25.5,59.8,.426,6.34,19.8,.321,13.4,22.0,.609,9.97,35.9,11.8,7.56,3.19,11.1,18.3
96,Florida State NCAA,35,23,12,.657,15.79,8.50,,9,9,,13,2,,4,7,,80.2,72.9,,40.6,28.4,60.7,.468,7.80,22.3,.350,15.5,22.5,.691,11.4,37.8,14.9,6.89,5.31,13.0,18.6
97,Florida NCAA,34,21,13,.618,16.67,10.08,,11,7,,12,5,,5,4,,75.8,69.2,,40.4,26.3,60.7,.432,9.06,24.5,.370,14.2,19.8,.718,10.8,35.2,13.1,6.97,4.82,9.85,17.4
98,Fordham,31,9,22,.290,-6.74,1.26,,4,14,,8,9,,1,10,,62.3,70.3,,40.3,22.3,54.2,.412,7.32,25.4,.288,10.3,14.6,.708,6.42,28.5,13.5,9.13,2.39,12.5,15.8
99,Fresno State,32,21,11,.656,8.17,1.84,,11,7,,12,5,,8,5,,76.8,68.8,,40.5,27.7,56.4,.490,6.75,17.1,.394,14.8,21.3,.694,9.16,33.8,13.0,6.78,3.25,12.0,19.6
100,Furman,33,23,10,.697,4.43,-3.64,,13,5,,13,3,,7,6,,79.4,68.5,,40.2,28.5,60.8,.470,10.2,28.8,.356,12.0,16.9,.713,9.61,35.1,15.9,8.03,2.18,11.6,16.1
101,Gardner-Webb,32,14,18,.438,-9.68,-3.79,,9,9,,11,2,,3,13,,70.6,72.1,,40.6,25.7,57.8,.444,7.38,21.1,.349,11.8,16.4,.719,9.38,35.7,13.0,6.09,2.88,13.7,17.8
102,George Mason,33,16,17,.485,-2.99,0.83,,9,9,,10,7,,5,7,,71.8,75.7,,40.8,25.5,59.1,.432,6.97,21.4,.326,13.9,18.8,.742,9.97,36.8,11.5,6.06,2.91,12.9,16.4
103,George Washington,33,15,18,.455,-0.72,2.13,,7,11,,13,5,,1,10,,67.4,70.3,,40.0,25.2,56.4,.447,5.45,17.0,.321,11.5,16.3,.709,10.6,33.9,13.3,5.73,4.94,12.7,14.7
104,Georgetown,30,15,15,.500,7.16,5.29,,5,13,,11,8,,4,6,,78.3,76.5,,41.2,26.7,58.8,.454,7.53,20.6,.366,17.5,22.5,.775,10.9,38.4,17.4,5.47,3.67,15.3,17.7
105,Georgia Southern,33,21,12,.636,-0.54,-3.28,,11,7,,10,3,,8,7,,75.9,70.2,,40.2,26.0,60.4,.430,8.09,23.8,.341,15.8,23.9,.663,12.2,37.8,10.1,6.88,3.64,11.3,19.2
106,Georgia State NCAA,35,24,11,.686,3.23,-2.78,,12,6,,11,3,,9,6,,74.7,67.3,,40.4,26.8,58.1,.461,9.23,24.0,.385,11.9,17.6,.678,8.83,33.8,13.0,7.31,4.57,11.3,18.3
107,Georgia Tech,32,13,19,.406,5.25,7.47,,6,12,,12,7,,1,10,,65.7,67.9,,40.2,23.5,55.3,.425,4.88,15.3,.318,13.7,19.3,.713,10.4,33.9,12.8,6.91,5.34,12.8,16.7
108,Georgia,33,18,15,.545,10.24,8.87,,7,11,,11,4,,4,9,,68.1,66.7,,40.6,23.2,55.3,.420,6.09,19.2,.318,15.5,22.2,.699,12.3,39.4,12.2,3.82,4.73,12.7,16.2
109,Gonzaga NCAA,37,32,5,.865,18.43,2.59,,17,1,,15,1,,10,1,,83.5,67.7,,40.5,30.4,61.1,.498,8.86,24.1,.368,13.9,19.6,.708,11.2,39.9,15.2,6.32,3.62,11.4,17.1
110,Grambling,31,17,14,.548,-12.97,-10.30,,13,5,,6,4,,11,10,,72.8,74.9,,40.3,25.1,59.7,.420,4.97,15.2,.328,17.6,24.8,.711,12.2,38.5,11.0,7.71,3.65,15.4,21.7
111,Grand Canyon,34,22,12,.647,3.76,-4.81,,9,5,,16,3,,3,7,,73.9,65.1,,40.3,25.1,58.6,.429,7.38,22.9,.322,16.2,23.1,.702,11.9,38.5,15.9,6.21,3.94,13.2,20.1
112,Green Bay,33,13,20,.394,-8.51,-4.08,,7,11,,10,6,,2,13,,76.3,75.7,,40.3,26.0,61.4,.424,8.94,24.6,.363,15.3,20.3,.752,10.1,37.6,13.9,6.85,3.03,13.7,19.2
113,Hampton,34,18,16,.529,-8.85,-9.57,,11,4,,11,3,,5,11,,79.5,76.6,,40.3,28.5,63.9,.446,5.82,18.4,.316,16.6,21.4,.777,11.3,40.4,15.2,5.38,3.62,12.9,19.8
114,Hartford,33,19,14,.576,-5.54,-5.26,,11,5,,9,7,,9,6,,70.5,70.2,,40.2,25.3,55.8,.454,8.18,23.7,.345,11.7,17.2,.678,8.42,33.3,13.1,6.06,3.73,12.2,18.2
115,Harvard,32,18,14,.563,-0.28,-1.70,,12,2,,10,2,,6,11,,68.2,66.5,,40.8,23.9,55.5,.430,8.03,22.8,.353,12.4,16.0,.775,8.88,34.8,12.7,5.41,3.69,13.9,18.0
116,Hawaii,30,17,13,.567,-2.32,-2.50,,8,8,,13,7,,4,5,,70.1,69.0,,40.5,24.0,54.3,.442,6.73,20.4,.330,15.3,22.3,.687,8.87,33.2,14.3,5.63,1.97,13.4,19.5
