,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
110,Grambling,33,16,17,.485,-17.29,-11.89,,10,8,,11,2,,4,12,,71.5,73.1,,40.6,25.5,58.9,.433,5.58,17.6,.317,15.0,22.6,.663,12.1,33.6,11.2,8.85,2.30,13.6,19.9
111,Grand Canyon,31,22,9,.710,-0.16,-4.22,,11,3,,15,3,,5,6,,73.6,67.8,,40.3,25.5,58.5,.436,6.61,20.0,.331,16.0,24.1,.665,10.8,37.6,13.6,7.52,2.55,12.8,17.4
112,Green Bay,32,18,14,.563,-2.77,-2.83,,12,6,,10,3,,7,9,,80.2,77.5,,40.5,28.5,64.4,.443,6.16,19.1,.322,16.9,24.6,.689,12.1,41.0,13.9,7.72,4.16,14.0,19.8
113,Hampton,31,14,17,.452,-13.23,-9.92,,11,5,,9,4,,5,11,,69.3,71.6,,40.3,24.2,59.5,.407,6.32,20.0,.316,14.5,20.4,.712,12.0,36.9,11.7,4.90,3.65,14.0,20.4
114,Hartford,32,9,23,.281,-15.85,-5.56,,4,12,,6,8,,3,15,,66.8,77.0,,40.5,22.8,56.7,.402,8.22,24.3,.338,12.9,18.5,.699,9.13,32.7,11.5,7.13,3.69,14.4,18.8
115,Harvard,28,18,10,.643,2.30,-2.24,,10,4,,11,3,,7,5,,71.9,65.8,,40.0,25.0,55.9,.447,8.18,23.0,.355,13.8,18.5,.743,10.1,35.9,14.4,6.29,4.75,12.8,19.0
116,Hawaii,30,14,16,.467,-6.19,-4.92,,8,8,,11,8,,3,5,,68.1,68.3,,40.3,23.3,55.0,.423,7.13,21.9,.325,14.4,20.1,.715,9.57,32.2,13.9,5.00,1.90,13.8,19.0
117,High Point,31,15,16,.484,-9.06,-6.28,,9,9,,8,8,,7,7,,68.8,68.9,,40.6,23.6,54.6,.432,6.32,16.8,.377,15.3,20.5,.744,9.90,35.1,12.5,5.94,3.10,13.1,17.4
118,Hofstra,32,15,17,.469,-2.35,-1.90,,7,11,,7,7,,6,7,,77.3,76.7,,40.3,26.4,59.6,.443,9.09,24.8,.367,15.3,22.4,.684,11.6,36.4,13.1,4.44,2.56,10.7,17.0
119,Holy Cross,32,15,17,.469,-5.26,-3.51,,9,9,,9,5,,6,12,,60.4,62.1,,40.2,20.7,48.5,.427,7.38,21.4,.345,11.6,16.7,.693,5.91,25.3,13.3,9.44,2.38,11.0,16.1
120,Houston Baptist,31,17,14,.548,-7.30,-4.44,,12,6,,13,1,,4,12,,78.7,77.4,,40.0,28.1,62.1,.453,6.29,18.5,.340,16.3,23.3,.699,13.7,38.7,14.7,6.29,2.61,13.2,19.3
121,Houston,32,21,11,.656,12.20,3.42,,12,6,,12,4,,6,5,,73.7,64.9,,40.2,26.6,59.4,.447,8.38,21.3,.394,12.2,17.0,.717,11.3,35.6,12.7,5.31,3.53,9.84,18.8
122,Howard,34,10,24,.294,-16.97,-7.97,,5,11,,6,6,,2,16,,63.6,71.6,,40.0,21.3,54.6,.390,5.06,17.4,.291,16.1,24.5,.657,12.4,37.0,9.03,5.26,3.71,14.7,18.7
123,Idaho State,31,5,26,.161,-15.10,-3.37,,3,15,,4,7,,1,16,,69.8,80.2,,40.3,23.9,55.1,.434,7.65,21.3,.359,14.3,20.9,.684,7.52,29.7,10.2,7.23,2.35,12.9,18.6
124,Idaho,33,19,14,.576,-5.34,-5.89,,12,6,,12,3,,6,10,,73.1,71.1,,40.9,24.5,56.7,.433,7.73,21.0,.367,16.3,22.6,.723,11.0,36.8,12.8,4.97,2.45,12.8,21.1
125,Illinois-Chicago,36,17,19,.472,-5.95,-3.63,,7,11,,10,8,,5,9,,76.4,76.5,,40.4,26.1,58.7,.444,7.56,20.7,.365,16.6,23.4,.711,11.7,39.7,14.6,5.47,5.08,16.4,18.8
126,Illinois State,35,28,7,.800,10.30,2.71,,17,1,,16,1,,9,4,,69.1,61.3,,40.1,24.7,56.3,.439,8.40,22.8,.369,11.3,16.9,.664,10.5,36.9,13.8,7.14,4.86,12.2,17.7
127,Illinois,35,20,15,.571,10.54,9.25,,8,10,,14,5,,3,7,,71.7,69.1,,40.1,25.7,57.7,.445,7.71,20.9,.369,12.6,18.4,.687,9.77,34.8,13.5,5.63,2.37,12.4,18.3
128,Incarnate Word,29,12,17,.414,-12.14,-5.62,,7,11,,10,5,,2,12,,76.3,80.0,,40.2,25.4,55.8,.455,8.03,20.7,.388,17.5,25.2,.694,7.90,32.8,12.5,5.79,4.69,13.5,20.1
129,Indiana State,31,11,20,.355,-1.02,3.18,,5,13,,8,6,,3,10,,70.0,72.7,,41.1,24.6,59.1,.416,8.19,23.5,.349,12.6,18.6,.681,8.48,35.8,13.5,6.58,4.06,12.8,21.3
130,Indiana,34,18,16,.529,14.63,8.16,,7,11,,14,4,,2,8,,79.7,73.3,,40.9,28.2,58.9,.479,8.68,22.8,.380,14.6,20.1,.729,12.1,39.1,14.4,6.15,4.62,15.2,20.1
131,Iona NCAA,35,22,13,.629,1.08,-2.47,,12,8,,8,4,,7,7,,80.4,76.8,,40.4,28.0,61.6,.454,9.77,24.6,.397,14.7,19.1,.768,9.63,35.7,15.5,6.83,3.09,12.0,19.1
132,Iowa State NCAA,35,24,11,.686,20.51,11.94,,12,6,,12,3,,5,6,,80.8,72.3,,40.7,29.5,62.5,.472,9.83,24.6,.400,12.1,17.3,.700,9.09,34.8,15.8,7.77,3.54,10.1,15.9
133,Iowa,34,19,15,.559,10.01,7.54,,10,8,,15,5,,3,7,,80.5,78.1,,41.0,28.4,62.4,.455,8.82,23.3,.379,15.0,21.8,.688,12.0,38.4,17.7,7.41,3.82,13.9,17.9
134,Purdue-Fort Wayne,33,20,13,.606,0.38,-3.19,,8,8,,14,3,,6,9,,86.9,78.8,,40.6,32.0,64.5,.496,10.7,26.5,.402,12.3,17.0,.725,10.1,37.7,17.5,7.73,3.91,13.6,17.9
135,IUPUI,32,14,18,.438,-4.29,-1.62,,7,9,,8,4,,5,13,,78.1,78.7,,40.3,27.6,61.2,.451,9.00,23.2,.388,13.9,20.4,.683,10.9,34.5,14.2,6.78,2.72,12.5,20.5
136,Jackson State,32,14,18,.438,-15.42,-11.55,,10,8,,10,4,,4,13,,64.6,66.9,,40.3,22.4,58.1,.385,6.81,22.8,.299,13.0,19.3,.674,13.3,36.3,10.9,6.16,2.59,12.2,20.3
137,Jacksonville State NCAA,35,20,15,.571,-2.85,-3.24,,9,7,,5,5,,10,9,,69.5,67.9,,40.3,24.5,53.4,.459,7.37,19.6,.377,13.2,18.5,.714,10.1,35.5,14.1,4.49,3.83,13.6,17.9
138,Jacksonville,33,17,16,.515,-10.21,-8.45,,5,9,,7,7,,8,9,,77.5,75.1,,40.2,26.6,57.1,.466,9.91,24.6,.403,14.4,19.5,.736,9.15,32.8,13.5,8.03,1.91,12.8,18.8
139,James Madison,33,10,23,.303,-5.64,-1.83,,7,11,,6,9,,3,13,,66.5,69.7,,40.5,23.3,52.5,.444,6.30,19.1,.331,13.5,18.8,.717,9.39,34.3,11.7,5.88,2.70,14.2,20.2
140,Kansas State NCAA,35,21,14,.600,14.80,10.48,,8,10,,11,5,,5,6,,72.1,67.8,,40.1,24.8,53.8,.461,7.06,19.5,.362,15.4,22.1,.694,9.43,32.3,14.9,7.74,3.71,12.9,18.0
141,Kansas NCAA,36,31,5,.861,23.53,12.23,,16,2,,14,1,,10,1,,83.2,71.9,,40.4,29.8,60.9,.488,8.83,21.9,.404,14.9,21.9,.678,11.9,38.7,16.2,6.94,4.50,12.7,17.8
142,Kennesaw State,32,14,18,.438,-8.44,-5.97,,7,7,,8,5,,6,13,,75.0,76.8,,40.0,27.9,60.4,.462,6.44,15.5,.416,12.8,18.6,.691,11.2,35.8,15.8,5.09,2.97,13.5,19.2
143,Kent State NCAA,36,22,14,.611,0.88,-1.63,,10,8,,10,6,,7,5,,77.0,73.0,,40.7,27.4,63.9,.428,7.14,22.3,.320,15.1,21.0,.719,15.0,40.4,12.5,6.39,3.72,12.9,19.0
144,Kentucky NCAA,38,32,6,.842,23.88,10.49,,16,2,,15,2,,7,3,,84.9,71.5,,40.1,29.8,63.1,.473,7.03,19.9,.353,18.2,25.8,.704,12.4,39.8,15.4,6.03,5.26,11.7,18.8
145,La Salle,30,15,15,.500,1.91,2.94,,9,9,,11,4,,4,8,,75.5,76.6,,40.7,25.4,55.5,.457,8.50,23.3,.364,16.3,21.3,.766,8.30,32.4,14.2,6.37,2.13,13.1,18.6
146,Lafayette,30,9,21,.300,-14.68,-3.50,,5,13,,5,10,,4,11,,66.5,76.1,,40.2,23.7,55.2,.430,7.37,22.1,.334,11.7,16.4,.711,6.83,31.9,12.6,4.93,2.83,14.5,17.1
147,Lamar,34,19,15,.559,-7.36,-7.93,,10,8,,12,3,,6,11,,77.1,71.6,,40.4,26.7,58.1,.459,7.79,21.5,.362,16.0,23.9,.669,11.4,35.0,14.1,7.97,2.79,13.4,21.6
148,Lehigh,32,20,12,.625,1.54,-3.30,,12,6,,12,2,,8,10,,76.0,70.7,,40.5,26.8,55.9,.479,8.44,21.5,.392,14.0,18.1,.772,7.25,34.4,14.6,6.72,3.09,14.1,16.8
149,Liberty,35,21,14,.600,-5.51,-6.16,,14,4,,14,5,,7,8,,66.6,63.4,,40.4,22.3,51.1,.436,9.11,25.4,.359,13.0,17.5,.742,4.94,28.3,12.9,6.54,1.86,10.4,19.1
150,Lipscomb,33,20,13,.606,-1.55,-4.45,,11,3,,11,5,,9,6,,85.0,77.6,,40.2,28.5,59.9,.475,10.3,28.1,.366,17.8,24.6,.723,10.3,36.8,18.2,6.61,3.15,15.2,21.3
151,Cal State Long Beach,34,15,19,.441,-5.98,-0.60,,9,7,,10,2,,3,15,,75.0,78.4,,40.7,26.3,59.9,.440,6.35,18.1,.351,16.0,22.1,.724,11.6,35.6,13.1,5.85,2.71,14.4,20.1
152,Long Island University,32,20,12,.625,-7.80,-8.51,,13,5,,8,5,,9,6,,71.2,69.3,,40.5,25.1,57.7,.435,5.75,16.7,.345,15.3,22.2,.687,13.2,38.8,10.9,5.81,3.34,14.4,20.0
153,Longwood,30,6,24,.200,-21.23,-6.16,,3,15,,5,9,,1,15,,67.3,80.3,,40.0,24.6,55.3,.445,6.20,18.9,.327,11.9,16.2,.731,7.27,30.7,10.8,5.83,4.13,15.2,18.0
154,Louisiana,33,21,12,.636,-0.64,-3.28,,10,8,,12,4,,8,7,,81.9,76.3,,40.2,28.6,61.3,.467,7.00,20.4,.343,17.7,25.4,.695,13.4,37.9,14.4,7.06,2.76,13.3,18.8
155,Louisiana-Monroe,33,9,24,.273,-7.88,-2.56,,2,16,,6,8,,2,12,,66.6,69.7,,40.9,24.7,58.1,.425,7.18,21.6,.332,10.1,15.1,.669,10.6,35.6,13.4,4.67,2.21,13.1,17.5
156,Louisiana State,31,10,21,.323,0.53,8.69,,2,16,,8,8,,1,10,,74.8,83.0,,40.0,27.5,61.1,.451,6.32,18.8,.336,13.5,19.3,.696,11.5,36.0,12.8,6.00,3.55,14.5,19.1
157,Louisiana Tech,33,23,10,.697,5.20,-4.35,,14,4,,15,2,,6,7,,77.5,66.8,,40.2,27.6,59.2,.467,7.79,21.5,.361,14.5,20.4,.709,10.2,37.7,16.5,6.76,5.33,12.3,15.7
158,Louisville NCAA,34,25,9,.735,22.47,11.15,,12,6,,16,1,,5,5,,77.3,66.0,,40.3,28.0,61.3,.457,7.00,19.7,.355,14.3,20.8,.686,13.4,39.5,13.6,6.68,5.47,11.0,19.2
159,Loyola (IL),32,18,14,.563,5.15,1.02,,8,10,,13,3,,3,9,,73.4,66.8,,40.6,26.6,54.8,.486,8.09,20.8,.389,12.0,17.0,.709,6.81,31.3,14.8,6.81,2.38,11.8,17.0
160,Loyola Marymount,30,15,15,.500,-0.47,1.60,,8,10,,10,7,,5,7,,70.4,70.8,,40.2,26.0,58.5,.444,7.23,20.5,.353,11.3,18.2,.620,11.1,34.1,14.8,7.60,4.00,13.2,20.3
161,Loyola (MD),33,16,17,.485,-6.32,-3.60,,8,10,,10,4,,6,11,,65.9,68.2,,40.3,22.8,54.3,.420,5.36,16.3,.329,14.9,21.5,.692,11.6,33.7,11.7,7.27,3.42,15.0,19.3
162,Maine,32,7,25,.219,-16.33,-4.01,,3,13,,4,9,,3,14,,64.7,75.0,,40.0,23.3,57.9,.403,6.63,20.8,.319,11.4,17.4,.654,10.2,35.1,11.8,5.16,1.97,13.1,17.6
163,Manhattan,32,10,22,.313,-9.67,-2.61,,5,15,,7,7,,3,13,,70.6,77.7,,40.8,23.6,56.7,.416,6.53,19.9,.329,16.9,23.2,.729,11.1,34.9,10.9,7.00,3.22,16.6,24.7
164,Marist,32,8,24,.250,-12.33,-2.74,,5,15,,5,8,,2,14,,69.5,79.1,,40.3,23.4,54.6,.429,7.66,23.0,.333,15.0,20.7,.725,7.34,31.2,11.0,4.56,2.59,12.8,19.6
165,Marquette NCAA,32,19,13,.594,15.26,8.60,,10,8,,14,3,,4,6,,82.2,75.6,,40.2,28.7,59.0,.487,10.5,24.5,.429,14.3,18.3,.781,8.75,33.1,16.4,7.22,3.59,12.4,19.4
166,Marshall,35,20,15,.571,0.18,-1.05,,10,8,,13,3,,4,11,,85.6,84.0,,40.4,29.2,63.9,.456,10.2,27.5,.370,17.1,23.3,.734,9.29,36.9,16.5,6.03,4.00,12.4,18.4
167,Maryland-Baltimore County,34,21,13,.618,-3.84,-5.87,,9,7,,13,5,,8,8,,81.1,77.2,,40.9,28.1,60.0,.469,9.71,24.7,.393,15.1,20.3,.745,9.03,35.3,14.9,6.59,2.35,12.1,18.4
168,Maryland-Eastern Shore,34,14,20,.412,-13.77,-7.61,,9,7,,7,4,,5,14,,71.3,76.0,,40.6,25.1,59.2,.424,7.71,22.5,.342,13.4,19.6,.683,10.3,33.6,13.2,5.68,2.62,12.5,19.6
169,Maryland NCAA,33,24,9,.727,12.79,8.29,,12,6,,13,5,,8,2,,73.9,68.1,,40.2,25.1,55.8,.449,8.24,22.9,.359,15.5,22.2,.699,10.6,35.5,14.3,5.45,4.67,12.9,18.6
170,Massachusetts-Lowell,31,11,20,.355,-10.13,-6.40,,5,11,,8,6,,2,14,,78.4,81.2,,40.5,28.3,58.9,.481,8.32,21.4,.390,13.5,18.3,.735,9.03,33.5,16.0,5.52,2.06,15.3,20.1
171,Massachusetts,33,15,18,.455,1.63,1.66,,4,14,,11,7,,3,10,,71.8,71.9,,40.0,25.7,58.8,.437,7.09,23.9,.297,13.4,20.3,.660,10.1,35.9,16.0,7.58,5.12,14.8,21.9
172,McNeese State,29,7,22,.241,-14.28,-4.12,,4,14,,4,10,,3,12,,70.4,79.0,,40.2,24.7,58.5,.421,6.72,20.2,.332,14.4,21.0,.685,9.83,33.7,10.4,5.48,3.14,13.9,19.8
173,Memphis,32,19,13,.594,6.47,3.19,,9,9,,14,4,,4,7,,74.0,70.7,,40.3,26.6,60.2,.442,5.66,19.2,.295,15.1,22.1,.683,11.7,36.6,15.9,6.91,4.69,11.5,16.7
174,Mercer,32,15,17,.469,-1.12,-0.92,,9,9,,8,7,,6,7,,70.9,68.3,,40.5,24.6,55.4,.444,7.63,21.8,.350,14.0,17.9,.782,11.5,36.7,13.5,4.19,2.31,11.5,17.1
175,Miami (FL) NCAA,33,21,12,.636,14.48,9.57,,10,8,,14,2,,4,6,,69.0,64.1,,40.2,24.6,54.5,.452,6.33,17.8,.356,13.4,18.7,.718,11.0,35.6,11.8,6.45,3.79,12.6,15.5
176,Miami (OH),32,11,21,.344,-8.16,-2.10,,4,14,,10,8,,1,13,,70.3,74.5,,40.3,24.6,56.7,.434,6.22,20.2,.308,14.9,21.5,.691,9.31,34.1,11.4,7.44,3.91,14.6,20.1
177,Michigan State NCAA,35,20,15,.571,13.67,10.50,,10,8,,14,2,,2,7,,71.9,68.7,,40.1,25.9,55.1,.470,7.80,20.9,.373,12.3,18.5,.669,9.37,36.4,16.9,4.31,4.63,14.0,20.0
178,Michigan NCAA,38,26,12,.684,18.80,10.17,,10,8,,15,3,,3,8,,75.0,66.4,,40.4,26.4,54.6,.483,9.50,24.7,.385,12.8,16.4,.779,7.37,29.2,13.9,5.79,2.84,9.16,15.0
179,Middle Tennessee NCAA,36,31,5,.861,9.80,-0.48,,17,1,,13,2,,11,2,,74.9,63.9,,40.1,28.2,57.7,.488,6.33,17.3,.367,12.3,17.5,.699,9.86,35.4,15.3,6.72,2.78,10.4,18.2
180,Milwaukee,35,11,24,.314,-7.37,-2.17,,4,14,,5,8,,2,13,,67.1,71.3,,40.9,24.6,55.7,.441,7.77,22.3,.348,10.1,15.4,.660,8.37,31.6,13.3,4.69,1.51,11.7,18.3
181,Minnesota NCAA,34,24,10,.706,14.56,8.82,,11,7,,17,3,,5,5,,75.2,69.4,,40.9,26.1,59.9,.435,6.15,17.9,.343,16.9,23.7,.711,11.1,39.4,14.9,5.71,6.68,11.6,17.0
182,Mississippi State,32,16,16,.500,7.12,5.90,,6,12,,10,7,,2,8,,72.5,71.3,,40.2,25.7,57.8,.444,7.72,22.2,.347,13.5,19.6,.687,9.69,35.3,12.1,7.47,4.09,13.5,19.9
183,Mississippi Valley State,32,7,25,.219,-20.54,-7.11,,7,11,,5,4,,2,20,,69.8,83.3,,40.5,25.6,60.7,.421,5.44,15.9,.343,13.2,20.3,.650,12.0,34.6,11.7,6.81,1.88,14.4,19.5
184,Mississippi,36,22,14,.611,9.65,7.99,,10,8,,13,6,,6,6,,78.0,76.3,,40.3,25.4,60.1,.423,7.86,22.6,.347,19.3,25.7,.752,12.7,39.5,12.9,6.75,4.14,14.3,19.5
185,Missouri-Kansas City,35,18,17,.514,-4.97,-1.06,,8,6,,12,5,,4,10,,76.9,78.7,,40.1,26.0,59.3,.439,9.00,24.2,.371,15.8,22.2,.713,10.1,34.7,12.9,6.74,2.63,14.6,22.1
186,Missouri State,33,17,16,.515,2.84,1.18,,7,11,,11,6,,4,8,,72.8,69.0,,40.8,25.4,57.4,.442,8.18,22.5,.363,13.8,19.8,.701,11.4,36.7,12.2,5.33,3.85,12.3,17.7
187,Missouri,32,8,24,.250,2.98,6.73,,2,16,,6,11,,0,9,,69.2,72.9,,40.3,23.3,59.2,.393,7.03,23.1,.304,15.6,22.9,.683,11.2,36.5,12.1,6.25,2.13,12.0,20.2
188,Monmouth,34,27,7,.794,4.94,-2.62,,18,2,,13,2,,12,4,,81.2,73.6,,40.4,27.3,62.6,.437,8.91,23.9,.373,17.6,23.3,.757,11.2,38.5,12.7,6.91,4.56,12.5,20.5
189,Montana State,32,16,16,.500,-6.14,-5.88,,11,7,,12,5,,4,10,,80.0,79.1,,41.3,26.8,61.5,.435,10.0,26.7,.375,16.5,22.6,.730,10.5,36.5,13.2,5.66,2.31,12.3,22.9
190,Montana,32,16,16,.500,-2.67,-4.02,,11,7,,8,5,,7,8,,74.7,73.4,,40.3,26.3,58.7,.449,7.44,20.8,.357,14.6,19.4,.752,9.69,33.9,13.0,5.66,2.84,10.8,21.8
191,Morehead State,30,14,16,.467,-3.60,-1.85,,10,6,,10,4,,4,11,,79.0,77.0,,40.5,29.3,63.5,.461,7.30,18.9,.386,13.2,18.1,.726,13.2,37.6,16.1,6.73,3.17,13.5,21.1
192,Morgan State,30,14,16,.467,-15.03,-11.20,,11,5,,9,5,,5,10,,67.5,70.7,,40.3,23.0,59.8,.385,5.30,18.0,.294,16.1,22.7,.711,14.1,38.9,10.7,5.67,3.37,14.0,20.1
193,Mount St. Mary's NCAA,36,20,16,.556,-4.29,-3.51,,14,4,,11,4,,8,11,,67.9,68.7,,40.1,24.4,54.9,.444,7.25,20.3,.358,12.0,17.8,.673,7.67,30.1,11.2,6.17,3.94,13.1,17.8
194,Murray State,33,16,17,.485,-3.06,-4.41,,8,8,,10,4,,3,11,,80.0,77.1,,40.9,27.2,61.8,.441,8.76,24.3,.360,16.7,22.8,.735,12.1,37.7,13.9,6.00,2.27,12.2,20.0
195,Navy,32,16,16,.500,-4.11,-3.92,,10,8,,11,5,,5,9,,64.9,64.2,,40.2,23.0,54.4,.422,6.44,20.9,.307,12.5,19.5,.641,13.3,35.4,13.5,7.09,2.06,14.5,18.6
196,Omaha,32,18,14,.563,-2.24,-1.11,,9,7,,8,4,,8,9,,83.9,83.5,,40.5,28.0,61.6,.454,9.28,23.9,.388,18.7,25.0,.748,10.6,35.9,13.8,8.19,3.34,13.9,19.3
197,Nebraska,31,12,19,.387,6.47,10.74,,6,12,,8,8,,3,8,,69.9,73.0,,40.6,25.6,61.5,.416,5.77,18.1,.320,13.0,18.3,.710,13.3,38.3,11.4,6.81,3.74,13.3,18.6
198,Nevada-Las Vegas,32,11,21,.344,-3.75,2.59,,4,14,,9,10,,2,9,,68.8,75.2,,40.5,23.3,59.2,.395,6.66,20.8,.320,15.5,22.2,.696,11.4,37.8,12.9,5.91,2.66,12.8,16.8
199,Nevada NCAA,35,28,7,.800,10.49,2.03,,14,4,,13,1,,8,4,,79.8,71.3,,40.1,26.7,59.5,.448,9.14,23.9,.382,17.3,24.5,.705,11.0,38.6,16.0,5.40,4.34,11.0,16.6
200,New Hampshire,32,20,12,.625,-3.57,-4.46,,10,6,,11,4,,9,8,,71.2,66.2,,40.6,24.5,55.8,.438,8.00,22.7,.352,14.2,19.6,.725,10.1,38.3,12.4,4.03,1.84,12.5,15.8
201,New Mexico State NCAA,34,28,6,.824,4.66,-3.82,,11,3,,17,1,,8,4,,78.8,67.9,,40.1,26.9,57.6,.467,7.41,22.0,.337,17.6,24.8,.712,12.8,39.4,14.9,4.88,3.76,13.7,18.4
202,New Mexico,31,17,14,.548,3.04,2.07,,10,8,,11,4,,5,7,,73.6,72.7,,40.2,25.1,54.6,.460,4.68,14.3,.327,18.8,25.2,.746,8.84,34.5,13.5,6.10,3.52,13.0,19.7
203,New Orleans NCAA,32,20,12,.625,-4.10,-5.34,,13,5,,11,3,,7,8,,72.8,69.2,,40.6,25.9,54.8,.473,4.34,13.7,.317,16.6,23.4,.710,12.1,35.6,15.6,7.88,3.03,16.7,17.6
204,Niagara,33,10,23,.303,-8.34,-4.37,,6,14,,5,8,,3,13,,74.2,78.2,,40.5,25.6,61.7,.416,7.39,20.2,.366,15.5,20.7,.750,11.8,38.2,12.6,5.21,4.61,13.0,18.3
205,Nicholls State,31,14,17,.452,-14.57,-5.23,,7,11,,10,3,,4,14,,74.7,79.5,,40.5,24.9,58.2,.427,8.97,26.0,.345,16.0,21.6,.739,9.77,32.9,13.9,7.55,6.13,14.5,19.3
206,NJIT,31,11,20,.355,-10.12,-4.22,,3,11,,8,4,,2,15,,72.7,74.8,,40.2,25.4,59.9,.423,8.32,25.0,.333,13.6,19.3,.703,11.5,36.6,12.7,6.55,2.87,13.5,19.3
207,Norfolk State,34,17,17,.500,-12.07,-8.57,,12,4,,10,2,,5,12,,69.8,71.5,,40.6,24.3,57.3,.424,6.62,19.5,.339,14.6,21.4,.681,10.7,38.4,11.0,5.09,5.29,14.8,20.7
208,North Carolina-Asheville,33,23,10,.697,0.84,-5.61,,15,3,,13,1,,10,8,,77.1,68.5,,40.8,27.5,57.8,.476,8.00,20.3,.394,14.1,20.6,.681,8.52,33.2,15.5,9.27,1.94,11.6,16.8
209,North Carolina A&T,32,3,29,.094,-23.07,-9.61,,1,15,,3,10,,0,18,,64.3,76.1,,40.6,22.8,53.6,.424,6.25,19.1,.328,12.5,18.3,.681,10.9,34.4,11.0,4.50,2.16,14.6,19.7
210,North Carolina Central NCAA,34,25,9,.735,-3.18,-12.12,,13,3,,11,2,,11,6,,74.8,63.5,,40.0,26.8,59.0,.454,7.50,22.4,.335,13.7,20.1,.683,11.7,38.6,14.1,6.15,3.29,11.9,17.3
211,North Carolina-Greensboro,35,25,10,.714,-0.10,-2.63,,14,4,,13,4,,8,5,,75.1,69.3,,40.0,27.1,58.4,.464,8.80,23.1,.382,12.2,17.2,.706,11.6,35.5,15.0,7.00,3.80,13.5,18.2
212,North Carolina State,32,15,17,.469,6.09,8.09,,4,14,,11,7,,2,8,,77.6,79.6,,40.3,27.8,59.3,.468,7.06,19.8,.356,15.0,21.5,.700,10.3,36.3,14.3,5.06,4.38,13.4,18.2
213,North Carolina-Wilmington NCAA,35,29,6,.829,8.06,-0.55,,15,3,,13,1,,11,3,,84.8,75.0,,40.1,30.6,63.7,.480,9.60,26.2,.366,14.0,20.2,.691,12.1,36.0,16.1,6.69,3.29,10.4,20.0
214,North Carolina NCAA,40,33,7,.825,24.84,11.76,,14,4,,16,0,,6,5,,84.4,70.6,,40.1,30.6,65.8,.466,7.08,19.9,.355,16.1,22.9,.701,15.8,43.7,18.1,7.08,3.48,11.8,17.8
215,North Dakota State,30,19,11,.633,-1.31,-2.63,,11,5,,11,2,,7,7,,74.8,71.5,,40.5,25.8,56.4,.458,7.73,21.0,.368,15.4,21.7,.711,8.60,34.9,12.2,6.10,3.70,11.6,16.7
216,North Dakota NCAA,32,22,10,.688,-1.83,-5.45,,14,4,,11,2,,7,6,,80.6,73.7,,40.6,28.9,60.0,.483,7.13,18.3,.390,15.6,21.8,.713,9.28,35.8,15.2,7.84,2.91,13.1,21.0
217,North Florida,34,15,19,.441,-7.78,-1.65,,8,6,,10,5,,4,13,,77.6,78.6,,40.0,27.2,59.6,.457,8.68,24.7,.351,14.4,22.0,.655,12.4,38.9,13.1,5.44,4.21,15.9,18.8
218,North Texas,30,8,22,.267,-11.14,-3.32,,2,16,,7,11,,1,11,,69.2,75.3,,40.2,24.7,58.2,.424,6.20,19.4,.320,13.6,21.1,.646,10.0,35.8,11.3,6.63,3.17,13.7,18.9
219,Northeastern,31,15,16,.484,-0.78,-0.91,,8,10,,7,4,,7,10,,72.1,71.9,,40.5,24.7,54.3,.456,8.61,23.5,.367,14.0,20.5,.681,8.52,33.5,13.4,5.48,3.61,12.6,16.8
220,Northern Arizona,32,9,23,.281,-13.92,-5.95,,6,12,,5,7,,2,12,,69.3,76.1,,40.2,24.0,59.1,.406,7.47,23.3,.320,13.8,20.1,.683,12.0,38.1,13.8,4.44,1.97,14.5,18.4
221,Northern Colorado,29,11,18,.379,-9.27,-4.20,,7,11,,6,6,,4,11,,71.6,74.7,,40.3,25.2,57.4,.439,8.76,25.2,.347,12.3,20.3,.605,10.7,37.1,13.5,5.07,2.21,14.0,19.4
222,Northern Illinois,32,15,17,.469,-3.29,-2.05,,7,11,,9,8,,6,9,,72.2,70.7,,40.9,25.9,59.1,.438,5.03,16.1,.312,15.4,22.8,.677,12.5,37.8,10.8,7.06,2.50,13.4,19.3
223,Northern Iowa,30,14,16,.467,1.29,5.22,,9,9,,9,4,,3,9,,61.8,64.4,,40.5,20.7,52.0,.399,7.63,23.4,.326,12.7,17.3,.733,6.07,29.3,9.93,6.57,2.80,11.4,15.5
224,Northern Kentucky NCAA,35,24,11,.686,-0.17,-2.84,,12,6,,12,2,,8,7,,76.0,71.6,,40.0,26.5,58.2,.456,8.57,24.5,.349,14.4,21.1,.680,11.2,37.7,13.9,5.71,2.80,13.4,17.8
225,Northwestern State,29,13,16,.448,-12.03,-6.07,,7,11,,7,6,,5,10,,76.0,79.3,,40.3,25.9,58.6,.442,7.00,19.1,.366,17.2,24.9,.690,11.6,36.2,14.0,6.76,2.66,15.1,19.6
