,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
19,Ball State,32,20,12,.625,-0.81,-3.11,,11,7,,12,2,,6,7,,76.4,71.6,,40.2,26.3,55.8,.471,7.50,20.3,.369,16.3,23.7,.689,10.5,35.8,13.2,5.50,3.84,12.2,16.4
20,Baylor NCAA,32,22,10,.688,18.02,11.12,,11,7,,14,3,,5,5,,77.2,70.3,,40.2,25.7,57.6,.447,9.69,26.1,.372,16.0,21.4,.749,11.7,34.3,14.5,6.66,2.38,12.3,17.4
21,Bellarmine,33,15,18,.455,-7.32,-1.25,,9,9,,8,6,,6,12,,66.3,67.2,,40.3,24.2,52.7,.459,8.00,22.8,.351,9.97,13.2,.755,6.58,29.1,14.2,5.58,1.36,11.2,15.8
22,Belmont,32,21,11,.656,2.19,-1.62,,14,6,,12,2,,7,7,,76.5,71.8,,40.3,28.1,59.4,.472,9.59,24.7,.388,10.8,14.8,.726,8.34,33.0,15.3,7.03,3.16,11.4,15.6
23,Bethune-Cookman,33,13,20,.394,-16.46,-7.49,,9,10,,8,5,,4,13,,67.6,74.5,,40.2,24.0,58.4,.412,6.88,19.0,.362,12.7,18.2,.696,9.91,32.3,11.2,7.15,2.94,12.7,17.4
24,Binghamton,31,13,18,.419,-10.51,-5.58,,8,8,,8,7,,5,11,,68.8,71.5,,40.6,25.6,56.9,.450,5.55,17.2,.323,12.0,16.9,.713,9.71,35.0,11.6,4.65,3.16,13.0,18.0
25,Boise State NCAA,33,24,9,.727,13.55,6.52,,13,5,,15,1,,5,6,,72.2,64.3,,40.5,25.8,56.8,.455,7.85,21.5,.365,12.8,17.4,.735,8.70,35.6,11.2,5.12,2.94,11.2,16.3
26,Boston College,33,16,17,.485,1.10,4.74,,9,11,,9,7,,4,7,,66.6,70.2,,40.3,24.8,56.8,.437,5.70,17.9,.319,11.2,15.5,.725,9.33,33.1,12.5,6.36,3.58,12.3,15.8
27,Boston University,32,15,17,.469,-8.24,-6.66,,8,10,,9,4,,6,11,,67.1,67.2,,40.6,23.8,57.7,.412,7.44,22.6,.330,12.1,16.4,.739,10.3,35.5,10.5,6.41,2.47,12.0,17.5
28,Bowling Green State,31,11,20,.355,-8.14,-3.48,,5,13,,7,9,,4,11,,76.0,78.5,,40.0,27.1,60.0,.452,7.23,21.2,.340,14.5,20.1,.725,10.5,35.8,13.8,6.06,3.00,12.2,17.7
29,Bradley,35,25,10,.714,6.84,-0.34,,16,4,,15,1,,8,6,,70.7,62.7,,40.1,26.2,56.8,.461,7.89,22.2,.355,10.4,15.6,.665,9.74,35.4,13.3,6.80,3.89,11.7,16.1
30,Brigham Young,34,19,15,.559,9.85,5.82,,7,9,,12,4,,2,7,,75.5,69.9,,40.1,26.9,59.1,.455,8.12,23.9,.340,13.7,19.1,.717,11.0,37.4,14.7,7.38,3.97,14.1,19.4
31,Brown,27,14,13,.519,-2.75,-2.97,,7,7,,7,5,,7,8,,69.6,69.3,,40.2,25.3,57.7,.438,8.00,23.0,.347,11.0,17.2,.642,8.93,34.9,13.8,7.19,3.22,13.4,16.2
32,Bryant,30,17,13,.567,-3.66,-4.58,,8,8,,9,4,,7,8,,79.4,73.1,,40.2,28.3,60.7,.466,8.10,23.8,.340,14.7,20.1,.734,10.6,39.3,13.4,6.67,3.53,13.4,17.3
33,Bucknell,32,12,20,.375,-9.99,-7.02,,5,13,,7,7,,3,13,,67.5,68.5,,40.3,24.9,54.7,.456,7.34,20.6,.356,10.4,14.5,.717,8.13,33.9,13.4,5.50,3.78,13.3,15.6
34,Buffalo,32,15,17,.469,-2.72,0.91,,9,9,,11,4,,3,9,,77.5,77.7,,40.2,28.3,62.5,.453,7.00,21.8,.322,13.9,19.8,.704,11.8,37.8,14.7,7.94,3.19,14.1,18.8
35,Butler,32,14,18,.438,5.76,8.45,,6,14,,10,6,,3,10,,65.3,67.9,,40.0,24.1,55.2,.436,6.47,19.8,.327,10.6,14.3,.739,6.47,29.9,12.6,6.75,4.31,11.8,13.4
36,Cal Poly,33,8,25,.242,-7.06,-0.09,,1,18,,6,11,,1,13,,60.8,65.9,,40.3,21.7,52.5,.413,5.48,18.6,.294,12.0,16.1,.744,8.52,32.7,10.3,5.48,2.48,13.8,19.8
37,Cal State Bakersfield,33,11,22,.333,-7.92,-1.04,,6,14,,6,8,,3,12,,60.5,64.7,,40.6,22.2,53.6,.414,4.30,13.2,.325,11.8,15.5,.760,9.42,32.0,10.8,6.21,3.03,12.8,18.8
38,Cal State Fullerton,33,20,13,.606,2.18,0.18,,12,6,,11,2,,7,8,,69.2,65.1,,41.2,23.6,54.9,.430,7.67,20.8,.369,14.3,20.6,.693,9.18,33.6,10.3,6.48,2.58,11.8,17.9
39,Cal State Northridge,32,7,25,.219,-9.95,-1.29,,4,16,,7,8,,0,14,,63.4,68.6,,40.2,21.7,54.2,.401,5.75,18.0,.320,14.2,19.1,.742,9.78,33.3,9.81,6.28,3.09,12.5,18.9
40,California,32,3,29,.094,-3.01,8.77,,2,18,,3,14,,0,12,,58.3,70.1,,40.3,20.7,52.9,.391,4.88,16.4,.298,12.1,16.7,.723,8.69,31.5,9.63,4.72,3.13,13.0,17.1
41,California Baptist,33,17,16,.515,0.43,-0.47,,7,10,,12,5,,4,8,,69.4,65.3,,40.3,24.6,57.5,.427,8.36,25.4,.330,11.9,17.9,.664,11.0,37.2,14.3,4.42,3.12,11.5,17.2
42,Campbell,34,16,18,.471,-5.23,-4.89,,8,10,,8,6,,4,10,,69.8,68.5,,40.7,24.4,52.3,.467,6.71,20.1,.334,14.3,20.3,.703,7.85,31.4,12.2,6.24,2.85,11.9,16.3
43,Canisius,30,10,20,.333,-6.96,-3.38,,8,12,,7,7,,3,12,,70.4,72.3,,40.8,25.4,60.3,.422,8.50,24.5,.347,10.9,14.9,.732,10.4,33.6,14.4,5.60,2.63,11.9,15.6
44,Central Arkansas,31,9,22,.290,-13.57,-3.01,,4,14,,6,8,,2,13,,72.9,81.5,,40.5,26.4,64.1,.412,8.52,26.4,.323,11.6,15.5,.749,11.2,36.4,12.4,6.52,3.16,13.3,16.4
45,Central Connecticut State,32,10,22,.313,-14.10,-9.91,,7,9,,6,7,,4,14,,66.0,70.2,,40.5,24.7,58.6,.422,6.84,20.9,.327,9.69,13.7,.709,10.1,34.1,12.9,5.59,3.81,11.9,14.1
46,Central Florida,32,18,14,.563,11.24,4.99,,8,10,,11,6,,4,6,,72.2,66.0,,41.1,25.0,58.2,.429,8.88,24.7,.359,13.3,17.3,.771,11.7,35.0,14.2,7.41,3.88,13.2,16.7
47,Central Michigan,31,10,21,.323,-11.64,-2.29,,5,13,,6,8,,3,12,,65.7,73.0,,40.2,22.6,54.5,.416,6.16,20.5,.300,14.3,20.7,.690,11.1,35.4,10.7,5.84,3.81,15.9,19.8
48,Charleston Southern,31,10,21,.323,-9.40,-4.43,,5,13,,6,8,,3,12,,72.6,74.4,,40.2,26.4,59.7,.443,8.10,23.6,.343,11.7,16.1,.727,11.6,35.2,12.0,5.06,2.61,11.8,18.1
49,Charlotte,32,18,14,.563,3.72,-0.25,,9,11,,11,4,,5,8,,66.7,62.8,,40.8,24.6,52.3,.471,8.00,21.3,.376,9.47,12.7,.744,6.66,29.9,12.9,5.34,2.56,10.8,14.0
50,Chattanooga,35,18,17,.514,-2.20,-3.20,,7,11,,9,7,,6,9,,77.2,72.1,,40.1,26.4,58.3,.452,11.4,30.2,.377,13.0,18.3,.714,9.57,36.2,15.3,5.71,3.46,11.6,15.8
51,Chicago State,31,11,20,.355,-10.99,-3.21,,,,,8,0,,3,20,,70.3,73.0,,40.2,24.5,56.7,.433,8.26,24.4,.339,13.0,17.9,.728,11.8,35.2,12.2,5.65,2.68,13.6,18.1
52,Cincinnati,33,21,12,.636,11.95,5.04,,11,7,,15,3,,4,6,,77.2,69.2,,40.3,28.4,63.1,.450,9.03,25.3,.356,11.5,16.4,.697,10.9,36.9,15.8,6.27,3.97,10.6,15.8
53,Clemson,33,23,10,.697,11.22,4.07,,14,6,,15,1,,5,6,,75.0,67.9,,40.3,26.5,56.4,.469,8.36,22.6,.369,13.7,17.3,.790,7.39,35.0,14.3,5.15,3.09,11.2,17.5
54,Cleveland State,34,21,13,.618,-1.95,-4.99,,14,6,,13,3,,7,9,,71.7,68.1,,40.6,27.3,60.0,.455,5.12,16.5,.310,12.0,17.6,.679,12.6,35.7,13.4,6.97,3.35,11.6,16.7
55,Coastal Carolina,31,11,20,.355,-8.79,-1.62,,5,13,,8,8,,3,11,,73.3,74.0,,40.3,26.3,60.6,.434,7.19,22.7,.316,13.5,17.2,.784,11.3,37.2,12.4,6.06,3.19,12.2,16.0
56,Colgate NCAA,34,26,8,.765,2.19,-6.72,,17,1,,14,2,,11,4,,78.6,69.0,,40.0,29.9,58.2,.514,8.32,20.4,.408,10.4,15.9,.657,7.94,34.0,18.6,6.97,2.85,10.2,12.6
57,College of Charleston NCAA,34,31,3,.912,8.48,-4.49,,16,2,,17,1,,11,2,,80.8,67.4,,40.3,27.7,63.1,.438,10.1,30.2,.334,15.4,20.7,.741,13.6,40.5,13.8,7.35,3.15,12.0,16.8
58,Colorado,34,18,16,.529,11.92,8.71,,8,12,,13,4,,2,9,,69.9,66.7,,40.0,25.4,58.7,.433,6.62,20.4,.325,12.4,17.8,.696,11.1,37.4,13.0,7.38,3.62,13.3,16.3
59,Colorado State,33,15,18,.455,6.18,6.40,,6,12,,9,7,,4,8,,72.5,71.4,,40.5,26.5,54.2,.488,7.61,20.9,.364,11.9,16.0,.745,5.97,30.7,16.5,5.67,2.45,11.2,16.3
60,Columbia,29,7,22,.241,-14.73,-2.73,,2,12,,6,9,,1,13,,67.8,75.8,,40.3,24.0,59.6,.403,7.79,24.6,.317,12.0,16.8,.715,10.2,34.4,11.7,6.76,2.00,13.8,16.7
61,Connecticut NCAA,32,24,8,.750,20.81,7.39,,13,7,,15,2,,6,5,,78.7,65.2,,40.0,27.7,60.2,.460,9.03,25.2,.359,14.3,19.0,.750,13.5,39.0,17.3,6.53,4.88,13.0,18.2
62,Coppin State,32,9,23,.281,-14.64,-3.48,,4,10,,4,6,,5,16,,72.0,83.2,,40.6,24.3,55.9,.435,8.38,24.8,.338,14.9,20.8,.719,6.44,30.4,11.3,7.69,2.53,14.9,19.7
63,Cornell,28,17,11,.607,0.28,-2.76,,7,7,,11,2,,6,8,,81.7,76.0,,40.2,29.1,62.1,.470,10.7,30.4,.353,12.7,17.5,.724,10.4,34.4,17.5,9.71,2.25,12.4,16.6
64,Creighton NCAA,33,21,12,.636,17.61,9.46,,14,6,,13,2,,5,6,,76.6,68.5,,40.3,27.5,58.9,.467,8.91,24.8,.360,12.7,16.5,.767,8.45,37.2,15.9,5.24,4.18,11.6,13.2
65,Dartmouth,28,10,18,.357,-8.20,-2.74,,6,8,,7,5,,3,11,,71.4,72.4,,40.5,25.7,58.1,.442,8.14,24.5,.333,11.9,17.0,.699,8.43,34.9,12.9,5.46,4.04,14.4,17.0
66,Davidson,32,16,16,.500,2.19,1.68,,8,10,,7,8,,6,6,,69.9,68.7,,40.5,24.5,55.4,.443,6.75,20.8,.325,14.1,18.8,.748,8.28,32.9,13.1,5.38,1.28,10.8,15.2
67,Dayton,34,22,12,.647,8.94,1.32,,12,6,,14,2,,5,6,,68.6,61.0,,40.3,24.5,52.5,.467,6.62,19.6,.338,13.0,18.6,.699,9.44,36.1,15.2,4.79,4.38,12.1,13.8
68,Delaware,33,17,16,.515,-5.56,-3.72,,8,10,,10,5,,4,10,,69.6,70.7,,40.3,24.7,56.3,.439,6.61,20.6,.321,13.6,18.7,.727,8.67,32.4,11.8,6.91,3.97,11.3,16.4
69,Delaware State,30,6,24,.200,-17.73,-4.98,,4,11,,4,8,,2,14,,64.6,75.5,,40.3,23.8,57.5,.414,5.70,18.1,.315,11.3,16.5,.688,11.2,34.9,12.4,6.97,2.63,16.0,18.4
70,Denver,32,15,17,.469,-9.12,-5.45,,6,12,,9,5,,4,11,,72.7,75.1,,40.6,26.1,53.6,.487,4.50,13.8,.326,16.0,22.3,.717,9.06,35.2,11.3,5.53,3.06,15.0,17.0
71,DePaul,33,10,23,.303,2.88,9.00,,3,17,,7,8,,2,12,,71.2,77.3,,40.6,25.4,59.4,.427,8.27,22.5,.368,12.1,16.4,.739,9.24,32.4,13.8,6.39,4.73,12.9,18.3
72,Detroit Mercy,33,14,19,.424,-3.06,-3.47,,9,11,,9,5,,5,13,,76.6,75.3,,40.3,26.5,61.3,.433,10.2,26.5,.386,13.2,17.2,.768,13.1,36.7,12.5,6.12,1.94,11.8,16.0
73,Drake NCAA,34,27,7,.794,8.20,-1.25,,15,5,,14,1,,6,6,,75.3,63.9,,40.9,27.4,58.1,.470,7.97,21.4,.373,12.6,16.4,.769,8.12,35.7,13.6,5.38,2.62,10.5,14.8
74,Drexel,32,17,15,.531,-2.25,-5.41,,10,8,,12,3,,3,9,,66.7,62.4,,40.8,24.2,56.1,.431,7.16,22.7,.316,11.3,16.5,.683,10.3,35.0,11.7,5.63,3.22,11.7,14.5
75,Duke NCAA,34,26,8,.765,15.61,7.02,,14,6,,16,0,,4,6,,72.5,63.9,,40.1,26.0,57.6,.451,6.85,20.4,.336,13.7,17.8,.770,12.1,38.7,14.8,5.71,4.50,12.0,15.2
76,Duquesne,32,20,12,.625,4.04,0.11,,10,8,,16,4,,3,7,,74.8,70.9,,40.1,27.2,62.2,.438,9.00,24.7,.365,11.4,16.5,.688,12.4,35.8,15.3,8.28,3.88,11.9,18.7
77,East Carolina,33,16,17,.485,0.02,1.72,,6,12,,10,6,,2,9,,68.8,70.5,,40.0,23.3,57.5,.406,7.55,23.9,.316,14.7,21.3,.688,12.2,37.1,13.1,6.48,2.64,13.2,17.7
78,East Tennessee State,32,12,20,.375,-5.90,-4.33,,8,10,,7,9,,4,9,,69.1,69.0,,40.2,25.7,56.7,.453,6.34,19.8,.321,11.4,17.1,.670,10.7,35.1,12.2,6.09,3.09,13.1,15.3
79,Eastern Illinois,31,9,22,.290,-13.86,-6.52,,5,13,,6,9,,3,12,,68.8,72.1,,40.2,25.7,58.1,.443,5.23,15.9,.329,12.2,19.1,.637,9.29,33.9,14.5,8.39,3.39,13.5,18.0
80,Eastern Kentucky,33,20,13,.606,-2.41,-2.05,,12,6,,14,2,,5,10,,77.4,72.1,,40.2,29.0,66.7,.435,8.58,25.4,.337,10.7,16.3,.658,13.7,40.3,15.2,8.09,4.85,12.2,16.1
81,Eastern Michigan,31,8,23,.258,-10.75,-1.58,,5,13,,6,7,,2,13,,72.2,80.8,,40.3,25.9,58.9,.440,6.19,19.6,.316,14.2,18.5,.767,8.71,31.4,9.65,6.26,2.16,11.8,18.9
82,Eastern Washington,33,23,10,.697,1.80,-1.74,,16,2,,11,2,,10,6,,77.2,71.5,,40.0,27.5,55.9,.493,8.82,24.4,.361,13.3,17.5,.758,9.00,36.1,15.5,5.03,3.21,13.6,17.5
83,Elon,32,8,24,.250,-12.76,-4.29,,6,12,,5,9,,3,12,,65.4,71.6,,40.0,23.8,56.0,.425,6.81,22.6,.302,11.0,15.5,.708,8.78,33.7,12.2,6.13,2.16,12.3,16.1
84,Evansville,32,5,27,.156,-14.81,-1.21,,1,19,,3,10,,1,14,,62.4,76.0,,40.0,22.8,57.5,.396,6.22,19.3,.322,10.6,16.9,.630,7.88,31.4,10.3,7.00,1.94,12.3,16.3
85,Fairfield,31,13,18,.419,-6.95,-4.49,,9,11,,7,6,,4,10,,64.9,66.0,,40.5,22.3,54.2,.410,5.74,20.0,.287,14.6,20.2,.724,9.84,33.7,9.55,5.48,3.68,11.8,15.2
86,Fairleigh Dickinson NCAA,34,19,15,.559,-11.43,-11.75,,10,6,,10,5,,8,9,,77.8,74.9,,40.4,28.6,62.7,.455,8.09,23.4,.346,12.6,16.9,.746,11.7,34.2,15.0,8.03,1.94,11.5,19.0
87,Florida,32,16,16,.500,11.83,8.55,,9,9,,10,5,,4,7,,71.9,68.7,,40.2,25.3,57.7,.440,6.75,21.2,.319,14.5,20.2,.717,8.28,34.8,12.4,6.72,5.28,11.0,16.4
88,Florida A&M,29,7,22,.241,-17.44,-4.63,,5,13,,4,7,,3,15,,58.6,70.0,,40.2,20.5,53.0,.387,5.76,18.4,.313,11.8,17.1,.692,10.2,32.9,9.66,6.59,3.62,16.0,19.0
89,Florida Atlantic NCAA,34,31,3,.912,13.52,0.65,,18,2,,17,0,,11,3,,78.8,65.0,,40.3,28.2,59.8,.472,9.76,26.3,.372,12.6,17.5,.716,10.5,38.7,14.6,6.79,2.47,11.8,15.9
90,Florida Gulf Coast,32,17,15,.531,-2.51,-2.96,,7,11,,8,5,,6,9,,71.3,69.4,,40.3,25.2,57.6,.437,9.22,26.0,.355,11.7,15.8,.740,9.41,34.6,12.8,6.84,3.25,11.4,15.5
91,Florida International,32,14,18,.438,-2.92,0.12,,8,12,,11,7,,3,10,,73.1,75.1,,40.6,27.1,58.2,.466,6.84,21.0,.326,12.1,16.9,.713,8.59,31.5,12.4,9.06,4.00,14.8,17.1
92,Florida State,32,9,23,.281,-0.33,6.54,,7,13,,5,11,,4,7,,69.3,76.2,,40.0,25.1,57.5,.436,6.53,19.8,.330,12.7,17.5,.726,8.69,31.4,13.4,6.16,3.91,12.1,16.2
93,Fordham,33,25,8,.758,2.36,-2.04,,12,6,,18,2,,6,5,,72.0,67.6,,40.3,24.2,57.6,.419,7.64,24.0,.318,16.1,21.7,.741,10.8,36.9,12.7,7.21,4.85,13.5,19.6
94,Fresno State,31,11,20,.355,3.20,5.70,,6,12,,7,7,,4,9,,63.7,65.7,,40.0,23.2,54.0,.430,6.77,22.0,.308,10.5,13.5,.771,8.00,30.3,12.3,6.32,3.32,11.6,16.1
95,Furman NCAA,34,27,7,.794,5.08,-3.92,,15,3,,14,2,,8,3,,82.1,71.2,,40.4,28.8,59.5,.483,9.53,27.5,.347,15.0,20.3,.741,9.91,35.5,17.1,6.79,3.21,11.1,16.8
96,Gardner-Webb,31,15,16,.484,-3.83,-4.62,,10,8,,8,5,,6,10,,70.7,65.5,,40.6,26.2,56.2,.467,6.32,18.8,.336,11.9,19.1,.625,10.0,35.4,12.9,7.16,4.71,13.0,19.2
97,George Mason,33,20,13,.606,1.92,0.46,,11,7,,14,2,,4,7,,68.7,67.3,,40.3,24.2,53.8,.451,7.27,20.8,.350,13.0,19.9,.651,9.15,35.8,13.7,4.61,3.12,13.7,17.2
98,George Washington,32,16,16,.500,-1.77,-0.44,,10,8,,11,6,,5,6,,76.3,76.7,,40.8,27.2,57.8,.470,7.13,22.2,.321,14.8,20.1,.738,8.88,34.9,12.7,5.69,3.41,12.6,16.4
99,Georgetown,32,7,25,.219,-1.17,7.42,,2,18,,5,12,,1,11,,69.5,78.1,,40.3,25.6,60.4,.423,5.78,18.7,.309,12.6,17.6,.718,10.8,36.0,11.9,6.16,4.56,12.3,14.4
100,Georgia,32,16,16,.500,2.20,5.20,,6,12,,13,4,,1,10,,68.5,71.5,,40.2,22.8,55.4,.410,6.72,21.2,.317,16.3,22.4,.727,10.8,35.8,11.2,6.31,2.66,13.2,16.0
101,Georgia Southern,33,17,16,.515,-3.15,-1.91,,9,9,,12,4,,3,11,,68.4,66.7,,40.2,25.5,58.4,.436,6.27,20.0,.314,11.2,16.3,.686,9.85,35.3,10.4,7.03,2.85,11.5,16.7
102,Georgia State,31,10,21,.323,-6.70,-0.84,,3,15,,10,9,,0,11,,66.7,69.4,,40.2,24.0,57.7,.416,5.29,17.9,.295,13.4,18.7,.713,11.1,34.5,11.0,5.77,3.58,12.9,17.0
103,Georgia Tech,33,15,18,.455,2.14,4.95,,6,14,,11,6,,3,9,,69.7,70.8,,40.2,25.9,61.2,.423,7.85,23.4,.335,10.1,14.5,.696,10.6,35.0,14.0,5.97,4.06,10.6,15.9
104,Gonzaga NCAA,33,28,5,.848,20.13,7.50,,14,2,,15,1,,7,2,,87.5,72.9,,40.2,32.6,61.7,.529,7.76,20.0,.387,14.5,20.8,.701,10.2,36.5,16.6,7.64,3.33,10.6,16.8
105,Grambling,33,24,9,.727,-3.64,-8.09,,15,3,,11,1,,9,6,,69.0,62.2,,40.2,24.6,54.1,.454,5.27,14.8,.356,14.5,22.6,.644,11.0,36.2,12.3,7.33,4.12,14.4,18.9
106,Grand Canyon NCAA,35,24,11,.686,4.61,0.98,,10,7,,14,4,,5,5,,75.3,66.8,,40.3,25.9,55.8,.463,8.97,23.4,.383,14.6,20.4,.716,10.2,36.9,12.6,4.91,3.29,12.1,18.1
107,Green Bay,32,3,29,.094,-20.14,-2.98,,2,18,,2,10,,1,17,,59.3,76.5,,40.2,20.5,52.0,.394,6.81,22.6,.301,11.5,16.4,.702,7.34,28.3,10.9,5.06,2.38,14.0,16.9
108,Hampton,32,8,24,.250,-15.07,-4.53,,5,13,,7,6,,1,13,,68.2,77.5,,40.2,23.7,60.4,.392,7.13,22.2,.322,13.7,19.9,.687,10.5,34.3,11.0,4.31,3.16,11.1,18.3
109,Hartford,28,5,23,.179,-23.39,-8.23,,,,,5,10,,0,11,,62.8,71.1,,40.0,23.5,55.1,.427,7.36,22.1,.332,8.32,12.9,.644,9.11,31.6,13.0,6.39,3.75,14.4,14.1
110,Harvard,28,14,14,.500,-0.90,-2.21,,5,9,,5,7,,8,6,,68.4,66.4,,40.4,25.0,56.9,.439,6.57,21.3,.309,11.8,17.6,.669,10.7,36.3,13.2,7.54,3.82,13.6,14.6
111,Hawaii,33,22,11,.667,2.75,-1.78,,13,7,,13,5,,6,4,,66.9,61.8,,40.5,23.4,54.5,.429,6.67,20.2,.330,13.5,18.0,.747,9.70,35.3,11.1,4.58,3.79,12.2,16.0
112,High Point,31,14,17,.452,-9.85,-5.19,,6,12,,10,5,,2,11,,74.6,77.2,,40.0,26.2,59.2,.443,7.55,23.2,.325,14.6,23.3,.626,11.7,38.0,12.4,6.55,4.90,14.1,18.5
113,Hofstra,34,25,9,.735,5.27,-2.64,,16,2,,11,1,,11,5,,75.1,66.0,,40.4,28.7,59.4,.484,8.71,23.7,.368,8.94,12.1,.738,7.65,33.9,14.3,6.26,4.29,10.7,14.4
114,Holy Cross,32,10,22,.313,-14.37,-6.50,,7,11,,6,9,,4,11,,66.8,72.6,,40.2,25.4,58.2,.436,6.84,18.7,.366,9.16,14.7,.622,7.97,32.5,12.4,6.34,2.78,12.1,16.1
115,Houston NCAA,34,31,3,.912,23.29,4.76,,17,1,,16,2,,11,0,,75.0,56.5,,40.0,27.5,59.6,.462,7.76,22.5,.345,12.2,17.0,.719,12.8,38.8,14.8,8.32,4.76,9.94,16.6
116,Houston Christian,32,10,22,.313,-16.90,-6.66,,7,11,,8,8,,2,13,,77.6,83.1,,40.2,26.6,58.2,.457,8.28,22.7,.365,16.1,22.4,.718,10.3,34.3,14.8,5.75,2.75,15.3,18.0
