,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,13,17,.433,-2.56,1.13,,5,11,,9,5,,4,8,,75.0,71.1,,40.3,27.1,60.0,.451,7.03,20.4,.344,13.8,19.1,.723,10.2,32.4,15.7,8.80,2.37,12.6,20.6
2,Air Force,32,14,18,.438,2.54,2.67,,5,13,,10,9,,4,9,,66.9,67.1,,40.5,23.6,51.1,.462,8.16,22.9,.356,11.5,16.0,.722,6.66,29.6,15.3,5.75,3.97,12.2,17.0
3,Akron,33,22,11,.667,4.56,-1.28,,13,5,,15,1,,5,6,,74.6,66.9,,40.3,25.6,57.5,.445,9.09,25.6,.355,14.4,19.5,.739,10.2,35.7,13.4,6.03,2.64,11.2,16.0
4,Alabama NCAA,34,29,5,.853,23.81,10.14,,16,2,,15,0,,9,3,,82.2,68.5,,40.9,27.8,62.2,.446,10.1,29.8,.338,16.6,22.9,.726,12.8,44.4,15.2,6.06,5.06,14.1,18.6
5,Alabama A&M,33,15,18,.455,-10.38,-7.31,,10,8,,9,8,,5,8,,69.6,70.9,,40.5,24.9,56.6,.441,6.85,18.5,.370,12.9,19.7,.655,10.1,32.7,12.7,8.00,4.03,15.1,18.9
6,Alabama State,31,8,23,.258,-15.95,-5.92,,6,12,,5,5,,2,18,,63.3,72.6,,40.2,22.0,58.7,.375,5.97,19.5,.306,13.3,18.8,.705,12.5,36.0,9.97,5.87,3.55,13.4,18.0
7,Albany (NY),31,8,23,.258,-14.39,-4.56,,3,13,,5,6,,2,16,,67.3,75.2,,40.2,23.4,56.6,.414,7.65,23.4,.327,12.8,17.7,.722,10.2,33.3,11.7,5.74,1.65,13.4,18.6
8,Alcorn State,31,18,13,.581,-8.44,-5.92,,15,3,,7,2,,10,9,,68.1,70.6,,40.7,24.1,58.5,.411,5.13,17.4,.296,14.9,20.5,.724,11.9,33.9,10.0,8.03,2.55,12.7,19.0
9,American,32,17,15,.531,-8.33,-7.80,,7,11,,8,6,,9,9,,65.4,65.9,,40.6,24.5,50.9,.482,6.38,18.4,.346,9.97,14.2,.701,8.09,30.3,13.6,7.44,3.94,14.0,15.1
10,Appalachian State,32,16,16,.500,-1.39,-0.87,,9,9,,10,7,,6,7,,70.3,64.6,,40.3,25.6,57.9,.442,7.59,22.7,.335,11.5,17.0,.676,9.00,35.7,13.0,6.38,4.56,11.0,13.8
11,Arizona NCAA,34,28,6,.824,19.87,8.69,,14,6,,15,2,,6,4,,82.7,71.5,,40.0,29.4,59.3,.496,8.59,22.5,.382,15.3,21.6,.709,10.3,39.4,19.2,6.12,3.21,13.4,17.0
12,Arizona State NCAA,34,22,12,.647,10.91,8.29,,11,9,,10,5,,7,6,,70.3,67.7,,40.4,25.0,60.5,.413,7.50,23.9,.314,12.8,18.6,.689,11.3,36.9,14.2,7.26,4.68,11.8,18.5
13,Arkansas NCAA,33,20,13,.606,16.59,9.56,,8,10,,14,3,,2,8,,74.4,67.4,,40.2,27.1,56.9,.475,5.09,16.1,.317,15.2,22.1,.690,10.0,35.2,13.4,8.39,5.24,12.9,19.1
14,Arkansas State,33,13,20,.394,-7.91,-3.15,,4,14,,10,8,,2,11,,65.7,67.6,,40.2,23.5,54.5,.432,6.33,18.0,.352,12.3,18.2,.677,9.85,33.6,13.1,6.67,3.27,11.7,16.8
15,Arkansas-Pine Bluff,31,10,21,.323,-12.52,-4.89,,6,12,,8,5,,2,16,,66.9,69.7,,40.3,22.6,57.8,.391,7.90,25.0,.316,13.8,18.9,.727,10.1,34.5,12.8,8.06,2.77,15.3,19.7
16,Army,33,17,16,.515,-7.29,-7.75,,10,8,,10,5,,7,8,,73.1,70.4,,40.3,26.8,56.2,.478,7.64,21.8,.351,11.8,17.3,.684,8.48,34.3,13.1,5.09,2.12,12.9,16.1
17,Auburn NCAA,32,20,12,.625,14.91,9.26,,10,8,,14,2,,4,8,,72.7,67.1,,40.2,25.8,58.6,.441,6.50,20.7,.314,14.6,20.8,.702,11.7,36.2,14.2,8.00,5.13,12.5,19.2
18,Austin Peay,31,9,22,.290,-12.02,-2.45,,3,15,,7,8,,1,13,,66.7,72.3,,40.2,24.0,57.7,.415,7.16,22.3,.322,11.6,16.0,.725,10.1,31.4,12.5,7.10,3.03,11.7,16.9
