16  29
32	27	5	8.74	15	3	16	0	8	3	78.7	67	40.6	27.9	63.6	0.44	8.13	25.4	0.32	14.7	20.1	0.733	12.5	39.9	14.6	8.78	7.94	12.1	18.5
32	26	6	9.02	14	4	15	2	8	3	76.5	63.6	40.2	28.2	60.9	0.464	7.94	23	0.346	12.1	17.4	0.698	12.8	37.1	15.8	8.81	3.41	12.5	15.8
30	25	5	4.99	14	4	14	1	6	3	73.7	65.7	40.3	26.6	54.8	0.485	7.63	21.3	0.358	12.9	16.7	0.774	6.63	31.9	14.2	6.27	3.17	10.1	14.9
32	23	9	7.25	13	6	14	2	5	5	75.2	65.2	40.8	26.8	61.6	0.436	7.44	21.1	0.353	14.1	18.8	0.75	14	40.9	14	5.97	6.5	11.9	16.8
34	28	6	6.14	16	4	15	3	9	2	80.2	67.1	40.1	29.7	60.7	0.489	8.18	22.2	0.368	12.6	17.4	0.729	10.7	38.3	16.9	6.47	5.53	10.2	13.6
29	26	3	4.3	13	1	16	0	5	1	87.8	65.3	40	32.9	62.4	0.527	8.38	22.1	0.379	13.6	18.6	0.73	9.38	41.5	18.2	6.66	5.86	11.8	15.4
33	28	5	5.1	15	3	16	1	7	3	76	59.1	40.5	28.2	60.1	0.47	8	23.5	0.341	11.5	17.2	0.668	13.4	39.4	16.6	8.18	5.27	11.4	17.4
34	25	9	6.99	12	8	15	3	6	6	84	71.4	40.3	30	64.6	0.465	9.32	25.1	0.371	14.6	19.5	0.752	11.9	37.5	16.1	7.24	4.41	9.26	16.1
34	28	6	11.39	14	4	16	1	6	4	78.6	68.1	40.4	28.6	59.6	0.481	7.15	20.1	0.355	14.1	19.5	0.724	11.1	37.4	15.4	6.41	4.15	12.5	15.9
33	26	7	8.4	14	4	18	0	6	5	79.5	66	40.2	30.4	62.8	0.485	6.15	17.6	0.349	12.5	17.1	0.73	12.9	40.3	16.1	6.82	4.18	11.5	14.2
33	22	11	8.52	9	9	15	2	3	8	73.1	63.5	40.3	26.1	59.4	0.44	6.55	20.5	0.319	14.3	19.6	0.732	12.1	36.9	12.7	11.1	4.36	14.5	19.3
33	27	6	8.4	14	6	16	1	5	5	80.2	68.6	40.5	28.3	57.2	0.495	8.85	22.4	0.395	14.7	20.9	0.704	11	38.3	16.7	4.64	3.55	11.5	14.1
32	25	7	6.48	12	3	16	0	6	4	69.8	60.5	40	26.2	56.4	0.463	7.16	20.4	0.35	10.3	13.5	0.762	8.59	33.8	13.4	7	2.56	11.3	15.6
31	21	10	8.68	11	8	13	3	6	5	72.9	66.3	40.2	25.6	60.4	0.423	7.35	21.6	0.34	14.4	19	0.757	12.2	38.9	10.4	7.03	5.45	12	15.6
34	25	9	8.55	12	6	18	0	3	7	71.7	60.3	40.4	25.9	55.2	0.47	5.97	19	0.314	13.9	19.9	0.699	10.6	36.5	13.6	8.18	3.47	13.9	16.2
33	26	7	9.99	16	4	12	1	8	5	72.6	63.1	40.2	24.6	56.3	0.437	9.3	25.9	0.359	14.1	17.2	0.823	10.2	34.9	12.1	6.24	2.24	10	15.2
