32  29
34	29	5	10.14	16	2	15	0	9	3	82.2	68.5	40.9	27.8	62.2	0.446	10.1	29.8	0.338	16.6	22.9	0.726	12.8	44.4	15.2	6.06	5.06	14.1	18.6
34	28	6	8.69	14	6	15	2	6	4	82.7	71.5	40	29.4	59.3	0.496	8.59	22.5	0.382	15.3	21.6	0.709	10.3	39.4	19.2	6.12	3.21	13.4	17
33	20	13	9.56	8	10	14	3	2	8	74.4	67.4	40.2	27.1	56.9	0.475	5.09	16.1	0.317	15.2	22.1	0.69	10	35.2	13.4	8.39	5.24	12.9	19.1
32	20	12	9.26	10	8	14	2	4	8	72.7	67.1	40.2	25.8	58.6	0.441	6.5	20.7	0.314	14.6	20.8	0.702	11.7	36.2	14.2	8	5.13	12.5	19.2
32	22	10	11.12	11	7	14	3	5	5	77.2	70.3	40.2	25.7	57.6	0.447	9.69	26.1	0.372	16	21.4	0.749	11.7	34.3	14.5	6.66	2.38	12.3	17.4
32	24	8	7.39	13	7	15	2	6	5	78.7	65.2	40	27.7	60.2	0.46	9.03	25.2	0.359	14.3	19	0.75	13.5	39	17.3	6.53	4.88	13	18.2
33	21	12	9.46	14	6	13	2	5	6	76.6	68.5	40.3	27.5	58.9	0.467	8.91	24.8	0.36	12.7	16.5	0.767	8.45	37.2	15.9	5.24	4.18	11.6	13.2
34	26	8	7.02	14	6	16	0	4	6	72.5	63.9	40.1	26	57.6	0.451	6.85	20.4	0.336	13.7	17.8	0.77	12.1	38.7	14.8	5.71	4.5	12	15.2
33	28	5	7.5	14	2	15	1	7	2	87.5	72.9	40.2	32.6	61.7	0.529	7.76	20	0.387	14.5	20.8	0.701	10.2	36.5	16.6	7.64	3.33	10.6	16.8
34	31	3	4.76	17	1	16	2	11	0	75	56.5	40	27.5	59.6	0.462	7.76	22.5	0.345	12.2	17	0.719	12.8	38.8	14.8	8.32	4.76	9.94	16.6
33	22	11	9.07	12	8	15	2	5	7	75	68.5	40.2	28.5	58.2	0.489	5.67	15.3	0.37	12.5	17.5	0.712	9.06	35.8	15.4	5.76	4.94	11.6	17.3
32	19	13	10.8	9	9	13	3	3	8	68.4	62.8	40.3	25.6	56.9	0.45	6.53	19.3	0.339	10.7	15.8	0.674	11.4	33.6	14.1	8.81	2.91	13.1	19.1
34	27	7	12.8	13	5	15	1	7	4	74.9	67.9	40.3	27.6	59.4	0.466	6.97	20.3	0.344	12.7	17.7	0.717	9.74	35.9	16.4	8.79	3.76	12.4	16.6
32	23	9	9.81	11	7	16	1	4	7	75.5	69	40.6	26.2	57.8	0.453	7.13	20.9	0.34	16	21.3	0.75	10.4	35.6	16.8	7.69	2.78	14.3	17.7
32	21	11	8.2	12	6	14	4	6	4	75.1	68	40.3	27.5	60	0.459	6.38	18	0.354	13.7	19.5	0.703	13.6	39	15.3	6.47	3.75	11.7	16.1
34	28	6	7.87	17	3	17	1	8	4	79.9	70.6	40.6	29.6	60.8	0.487	8.85	25.4	0.348	11.9	16.4	0.721	8.91	31.9	17.6	9.41	3.15	10.7	16.3
34	26	8	7.1	13	5	13	2	7	5	79.8	71.9	40.4	28.8	59.9	0.48	6.15	17.3	0.356	16.1	21.5	0.747	10.3	35.9	15.7	8.68	4.56	13.5	18.4
32	25	7	5.14	15	5	16	1	7	4	79.4	72.1	40.2	29	59.6	0.486	7.59	20.7	0.368	13.9	17.9	0.776	10.3	34.6	14.9	7.34	3.28	11.3	14.4
33	24	9	7.26	11	7	16	3	5	5	79.5	74.6	40.3	28.4	59.9	0.473	9.36	26	0.361	13.4	17.7	0.758	9.06	30.3	16.1	10.3	2.7	11.3	18.1
