16  29
30	24	6	10.36	16	2	12	1	7	3	79.6	69.8	40	27.8	64.6	0.431	10.7	30.4	0.351	13.3	18.5	0.72	12.4	40.5	14.2	8.63	4.37	14	18.5	0
28	22	6	6.34	13	4	16	1	5	4	82.4	70.7	40.2	29.5	64.8	0.455	7.86	23.2	0.339	15.6	21.2	0.737	11.9	40	15	8.07	5.18	13.1	16.9	0
28	20	8	8.91	14	6	11	3	7	4	77	68.3	40.4	28.5	59.8	0.476	9.71	26.5	0.367	10.3	16.1	0.642	8.46	36.1	15.9	7.07	3.54	11.1	15.5	0
26	26	0	3.43	15	0	12	0	7	0	92.1	69.1	40	34.2	62	0.551	7.31	20	0.365	16.5	22.7	0.727	9.58	37.9	18.3	8.31	2.85	12.1	16.7	0
29	21	8	11.38	14	6	14	2	6	4	83.8	71.9	40.2	29.8	63.4	0.469	9.76	25.3	0.386	14.5	20.3	0.713	11.3	40.1	19.1	5.59	4.52	9.52	14.9	0
27	18	9	8.88	11	6	11	2	4	6	82.1	75.3	40.2	29	62.7	0.463	8.15	23.3	0.35	15.9	21.3	0.746	11.5	38.3	12.3	8.07	2.78	11.7	17.3	0
28	24	4	-0.09	16	2	13	0	8	3	71.5	55.5	40.4	26.3	52	0.505	7.18	19.5	0.368	11.8	16.4	0.723	7.18	32.6	15.8	6.93	2.39	11.9	14.3	0
27	15	12	12.54	9	11	12	3	3	8	69	70.6	40	24.7	58.3	0.424	6.37	19.9	0.32	13.2	18.3	0.721	10.9	37.6	15.9	4.56	4.67	13	19.8	0
29	21	8	-2.29	13	5	7	3	10	3	73.6	67.4	40.2	27.7	65.3	0.424	7.62	25.4	0.3	10.6	15.6	0.683	12.8	39.4	12.3	7.48	3.93	11	18.1	0
28	18	10	10.01	10	6	10	1	3	7	75.7	69.4	40	27.7	62.9	0.441	5.61	17.7	0.317	14.6	21.9	0.668	15.9	43.1	15.5	7.21	4.71	14.8	16.9	0
30	21	9	13.58	12	8	10	4	7	4	77.3	71	40.3	26.3	57.3	0.46	8.23	22.6	0.365	16.4	21.5	0.763	9.73	36.2	13	4.6	3.43	10.4	18.5	0
28	20	8	9.97	11	7	10	3	8	4	77.1	72.9	40.9	27.7	59.2	0.467	6.39	18.9	0.338	15.3	21.5	0.713	11	38.6	13.2	7.29	4.39	15.9	16.8	0
27	18	9	12.47	13	6	11	1	5	6	71.1	66.3	40.2	25.5	56.6	0.451	7.11	21.2	0.335	13	18.2	0.711	10.9	37.6	14.3	5.19	3.41	12.6	17.5	0
26	15	11	13.45	10	10	10	4	4	6	70	68.2	40.2	26.8	59.4	0.451	6.04	19.4	0.311	10.4	16.4	0.632	9.77	35.3	13.8	7.81	5.23	11.3	17.7	0
29	22	7	7.61	15	5	13	2	7	3	74.8	65.1	40.7	27.2	58.2	0.467	6.31	18.1	0.348	14.1	21.8	0.647	12.2	39.5	13.7	4.79	5.28	12.4	15.5	0
25	16	9	8.63	9	7	13	1	2	7	75.8	70.7	40.2	27	61.4	0.441	8.12	24	0.338	13.6	17.4	0.784	10.9	35.9	15.3	8.72	4.92	11.2	14.5	0
