68  29
27	23	4	-8.46	13	2	13	0	5	4	77.6	60.5	40	27.7	60.3	0.46	7.93	22.4	0.353	14.2	21.1	0.673	11.4	36.3	18.2	9.93	3.11	13.9	19.4	0
30	24	6	10.36	16	2	12	1	7	3	79.6	69.8	40	27.8	64.6	0.431	10.7	30.4	0.351	13.3	18.5	0.72	12.4	40.5	14.2	8.63	4.37	14	18.5	0
28	17	11	-5.24	7	8	9	4	4	7	70.9	64.5	40.9	24.1	58.1	0.415	8.11	25	0.324	14.7	19.9	0.737	11	36	11.9	8.04	3.46	11.8	13.8	0
28	22	6	6.34	13	4	16	1	5	4	82.4	70.7	40.2	29.5	64.8	0.455	7.86	23.2	0.339	15.6	21.2	0.737	11.9	40	15	8.07	5.18	13.1	16.9	0
24	22	2	5.36	13	1	11	0	7	1	84.4	66.4	40.2	31.1	63	0.493	10.3	24.7	0.418	11.9	17	0.697	12.9	36.5	17	8.96	3.75	12.4	17.2	0
26	20	6	5.86	10	3	11	2	7	2	78.7	68.5	40.6	28.9	59.9	0.482	8.96	23.7	0.378	12	16.4	0.731	9.5	39.4	16.6	4.73	2.81	13.3	18	0
26	22	4	-4.31	15	3	11	0	8	4	76.5	62.8	40.4	27.6	56.8	0.485	6.77	19.3	0.351	14.6	19.4	0.75	9.27	35.2	16.3	7.58	2.77	11	15.9	0
23	16	7	10.19	10	6	11	1	2	5	65.3	62	40.2	23.5	55	0.428	8.35	24.1	0.346	9.91	13	0.765	8.61	32.7	13.3	6.09	2.87	12.7	15.7	0
26	19	7	-4.97	16	4	9	2	8	5	71.5	70.6	41	26.3	58.2	0.452	6.38	20	0.319	12.5	18.6	0.669	10.7	35	14	7	2.5	12.8	19.2	0
15	14	1	1.43	11	1	8	1	6	0	86.3	68.6	40.3	31.5	63.1	0.499	9.07	22.5	0.402	14.3	19.6	0.731	9.6	39.7	17.5	7.2	3.47	10.1	15.7	0
30	22	8	6.99	14	6	11	1	6	6	73	63.3	40	25.8	56.8	0.454	7.47	20.4	0.367	14	17	0.822	9.87	35	13.2	5.3	2.77	11.1	16.2	0
22	15	7	9.22	11	6	7	3	6	3	72.5	64.6	40.2	26.4	60.1	0.439	6.73	20	0.336	13	17.8	0.731	13.2	38.1	13	6.18	5.27	11.7	18.9	0
28	20	8	8.91	14	6	11	3	7	4	77	68.3	40.4	28.5	59.8	0.476	9.71	26.5	0.367	10.3	16.1	0.642	8.46	36.1	15.9	7.07	3.54	11.1	15.5	0
29	25	4	-1.63	15	3	14	1	9	2	77.4	64.7	40.3	29.9	60.6	0.494	7.03	19	0.37	10.5	14.8	0.713	10.3	36	13.8	7.14	2.97	10.3	15.7	0
19	12	7	-4.41	4	5	3	2	4	5	71.5	66.8	40	26.1	54.6	0.477	7.26	19.5	0.372	12.1	15.6	0.777	8.84	33.9	15.2	4.68	2.37	12.9	15.2	0
23	16	7	-5.45	12	3	7	2	6	5	78	69.4	40	27.7	59.4	0.467	8.43	23.8	0.354	14.1	18	0.787	7.61	35.4	15.1	4.91	2.87	11.5	17	0
22	16	6	9.39	11	4	12	1	3	4	78.9	70.3	40.5	28.2	59.4	0.474	8.23	21.1	0.39	14.3	19.4	0.738	11.6	37.4	14.6	7.41	5.14	14.3	18.5	0
23	14	9	10.76	9	7	6	3	5	5	74	69.8	40	26.3	56.7	0.464	6.83	19.1	0.357	14.5	19.2	0.757	10	35.2	11.8	7.3	5.43	14.7	18.5	0
25	13	12	11.05	7	9	7	6	2	6	71.4	70.7	40.2	24.8	58.5	0.424	8.32	22.7	0.366	13.4	17.7	0.754	11.7	40.2	12.8	5.92	3.88	15.3	15.9	0
25	17	8	8.54	11	6	11	3	4	5	75.5	70	41	27.8	58.7	0.474	7.56	21.7	0.349	12.4	17	0.727	8.16	30.8	16	9.2	3.4	11.1	15.6	0
26	26	0	3.43	15	0	12	0	7	0	92.1	69.1	40	34.2	62	0.551	7.31	20	0.365	16.5	22.7	0.727	9.58	37.9	18.3	8.31	2.85	12.1	16.7	0
23	17	6	-5.78	9	3	10	3	5	1	75.6	61.1	40	28.1	57.1	0.492	6.78	20.4	0.332	12.6	18.4	0.686	10.4	40	16.1	4.87	2.96	13.1	17	0
23	15	8	-5.37	8	6	10	1	5	6	65.9	63.3	40	23.6	54.4	0.434	7.57	23.1	0.327	11.1	15.6	0.712	8.13	33.2	11	7	2.04	12.7	16.1	0
