,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian NCAA,27,23,4,.852,6.10,-8.46,,13,2,,13,0,,5,4,,77.6,60.5,,40.0,27.7,60.3,.460,7.93,22.4,.353,14.2,21.1,.673,11.4,36.3,18.2,9.93,3.11,13.9,19.4
2,Air Force,25,5,20,.200,-13.04,0.17,,3,17,,3,8,,1,10,,58.7,71.9,,40.0,20.9,46.8,.446,6.96,21.1,.330,10.0,14.4,.693,4.40,23.2,12.3,7.08,2.48,14.4,16.6
3,Akron,23,15,8,.652,2.79,-1.02,,12,6,,9,1,,5,5,,78.2,72.2,,40.4,27.3,61.5,.444,9.43,28.3,.333,14.1,18.7,.758,11.4,38.9,13.3,4.91,3.65,11.8,18.0
4,Alabama A&M,15,6,9,.400,-19.25,-15.39,,4,9,,5,2,,1,7,,63.3,67.2,,40.7,23.1,57.9,.400,5.53,19.1,.290,11.5,18.4,.627,10.7,38.5,11.0,5.47,3.60,15.3,18.2
5,Alabama-Birmingham,29,22,7,.759,5.84,-3.79,,13,5,,15,2,,6,4,,72.6,60.3,,40.0,27.2,60.2,.451,5.07,16.4,.309,13.2,18.9,.696,10.7,36.7,10.6,7.97,4.17,10.5,15.2
6,Alabama State,18,4,14,.222,-24.74,-17.41,,4,14,,3,6,,1,8,,64.2,71.6,,40.0,21.3,56.1,.380,6.17,19.4,.317,15.5,23.9,.647,11.4,36.3,9.72,6.11,2.39,16.2,19.1
7,Alabama NCAA,30,24,6,.800,20.16,10.36,,16,2,,12,1,,7,3,,79.6,69.8,,40.0,27.8,64.6,.431,10.7,30.4,.351,13.3,18.5,.720,12.4,40.5,14.2,8.63,4.37,14.0,18.5
8,Albany (NY),16,7,9,.438,-3.72,-4.41,,6,6,,4,5,,2,4,,69.4,68.7,,40.0,24.7,55.2,.447,6.38,18.9,.337,13.6,18.8,.724,6.88,30.0,11.7,6.13,1.81,12.6,17.8
9,Alcorn State,19,6,13,.316,-19.97,-10.45,,6,7,,4,3,,2,9,,66.1,75.6,,40.0,22.9,58.3,.393,5.95,19.8,.301,14.4,19.8,.726,10.8,32.0,9.32,7.58,1.58,14.5,20.7
