,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
10,American,10,4,6,.400,-2.46,2.04,,4,5,,2,2,,2,4,,69.1,73.6,,42.0,24.8,55.7,.445,9.00,23.8,.378,10.5,14.9,.705,7.80,32.6,12.8,7.30,4.70,15.8,19.3
11,Appalachian State NCAA,28,17,11,.607,-5.33,-5.24,,7,8,,9,4,,4,7,,70.9,64.5,,40.9,24.1,58.1,.415,8.11,25.0,.324,14.7,19.9,.737,11.0,36.0,11.9,8.04,3.46,11.8,13.8
12,Arizona State,25,11,14,.440,5.37,8.13,,7,10,,7,6,,2,6,,74.3,77.1,,40.4,26.2,60.6,.433,7.16,21.5,.333,14.7,20.2,.728,7.84,31.9,13.1,7.28,3.28,11.0,19.1
13,Arizona,26,17,9,.654,12.69,5.85,,11,9,,12,4,,5,5,,75.4,68.6,,40.4,25.7,57.4,.447,6.69,18.0,.372,17.4,24.0,.727,11.7,38.3,15.5,5.85,4.00,11.9,17.8
14,Little Rock,26,11,15,.423,-6.31,-5.35,,7,11,,7,4,,2,8,,68.7,68.5,,40.4,24.5,53.9,.455,5.65,18.2,.311,14.0,19.9,.702,10.0,34.5,13.6,6.35,3.31,15.1,16.0
15,Arkansas-Pine Bluff,25,4,21,.160,-22.90,-8.02,,3,12,,2,3,,2,17,,62.0,76.8,,40.4,21.0,54.2,.386,4.92,16.0,.308,15.1,20.9,.723,9.60,32.3,9.60,6.40,3.80,15.8,18.2
16,Arkansas State,24,11,13,.458,-7.96,-5.86,,7,8,,9,3,,1,9,,72.5,69.5,,40.2,25.9,57.9,.447,6.42,16.8,.383,14.4,19.9,.722,11.0,37.2,14.5,6.58,2.83,13.0,16.0
17,Arkansas NCAA,28,22,6,.786,18.06,6.34,,13,4,,16,1,,5,4,,82.4,70.7,,40.2,29.5,64.8,.455,7.86,23.2,.339,15.6,21.2,.737,11.9,40.0,15.0,8.07,5.18,13.1,16.9
18,Army,21,12,9,.571,4.67,4.77,,7,7,,5,5,,5,3,,72.0,69.1,,40.2,26.8,58.3,.460,7.90,23.9,.331,10.4,16.4,.635,8.05,34.7,14.5,6.33,1.43,12.5,15.5
19,Auburn,27,13,14,.481,10.27,9.53,,7,11,,8,5,,3,8,,77.2,76.4,,40.4,26.3,60.3,.437,9.07,27.8,.326,15.4,21.8,.708,12.9,39.4,14.8,6.22,6.04,16.2,17.9
20,Austin Peay,27,14,13,.519,-6.29,-7.85,,10,10,,8,5,,4,6,,74.3,70.0,,40.4,27.1,59.9,.453,7.19,21.2,.339,12.9,17.1,.751,12.6,34.5,13.2,6.78,2.00,14.7,17.5
21,Ball State,23,10,13,.435,-1.11,-0.37,,8,9,,7,4,,3,8,,74.7,75.5,,40.4,26.7,60.2,.443,8.48,24.8,.342,13.0,17.3,.751,9.96,36.9,13.8,5.48,2.35,14.3,19.2
22,Baylor NCAA,24,22,2,.917,23.32,5.36,,13,1,,11,0,,7,1,,84.4,66.4,,40.2,31.1,63.0,.493,10.3,24.7,.418,11.9,17.0,.697,12.9,36.5,17.0,8.96,3.75,12.4,17.2
23,Bellarmine,20,13,7,.650,-1.96,-6.24,,10,3,,6,4,,7,2,,74.3,65.3,,40.0,28.1,54.5,.515,6.40,17.1,.375,11.7,15.7,.745,7.95,30.4,15.8,7.15,2.10,11.1,15.3
24,Belmont,30,26,4,.867,3.88,-8.29,,18,2,,11,1,,10,2,,81.3,69.1,,40.2,29.8,61.0,.489,9.03,26.2,.344,12.7,17.2,.738,8.80,35.7,18.2,7.73,2.90,12.0,14.6
25,Binghamton,18,4,14,.222,-11.45,-4.56,,4,10,,1,9,,3,5,,65.4,72.3,,40.8,23.9,57.7,.414,8.67,26.2,.331,9.00,13.4,.672,10.6,35.7,11.1,5.00,3.06,13.9,17.1
26,Boise State,26,18,8,.692,9.61,0.85,,14,6,,11,1,,6,6,,76.2,66.3,,40.2,26.7,58.5,.455,7.65,22.4,.342,15.2,20.5,.744,9.19,35.7,13.4,6.62,2.92,11.5,17.0
27,Boston College,20,4,16,.200,1.69,9.84,,2,11,,3,5,,0,7,,71.3,79.5,,40.3,25.0,59.3,.422,9.00,27.3,.330,12.3,17.6,.702,9.15,33.3,11.5,7.15,3.85,13.7,16.2
28,Boston University,18,7,11,.389,1.11,5.67,,6,10,,2,6,,5,5,,69.4,73.9,,40.0,25.1,57.4,.436,6.94,21.8,.318,12.3,16.4,.750,10.1,35.2,10.5,5.39,2.94,12.5,16.9
29,Bowling Green State,25,14,11,.560,1.03,-1.31,,10,8,,4,7,,10,3,,78.5,75.4,,40.4,28.1,66.5,.422,8.28,25.8,.321,14.1,19.1,.738,12.5,38.3,12.6,7.24,2.04,10.0,17.2
30,Bradley,28,12,16,.429,0.50,1.34,,6,12,,8,6,,2,9,,69.6,66.6,,40.4,26.3,58.4,.450,6.86,21.5,.318,10.1,14.0,.723,10.1,36.9,13.6,5.14,3.50,12.4,16.3
31,Brigham Young NCAA,26,20,6,.769,14.58,5.86,,10,3,,11,2,,7,2,,78.7,68.5,,40.6,28.9,59.9,.482,8.96,23.7,.378,12.0,16.4,.731,9.50,39.4,16.6,4.73,2.81,13.3,18.0
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
33,Bryant,21,15,6,.714,0.99,-5.76,,10,4,,10,1,,5,5,,83.9,74.8,,40.0,29.0,61.9,.468,9.43,24.5,.384,16.4,21.7,.757,10.5,40.2,15.6,6.81,3.57,15.2,16.5
34,Bucknell,12,5,7,.417,-3.71,-1.29,,4,6,,2,3,,3,4,,74.9,77.3,,40.0,25.9,56.9,.455,7.33,22.3,.330,15.8,20.7,.762,6.50,33.5,12.0,5.83,3.50,12.7,17.4
35,Buffalo,24,16,8,.667,7.50,-1.02,,12,5,,8,3,,5,3,,81.7,72.8,,40.4,30.7,66.6,.460,7.00,20.7,.338,13.4,19.9,.673,14.9,44.0,16.0,8.00,4.08,13.9,18.0
36,Butler,25,10,15,.400,5.74,10.90,,8,12,,8,4,,1,9,,63.5,68.7,,40.6,22.9,55.7,.411,7.16,22.2,.323,10.6,16.4,.646,9.20,32.3,12.3,5.56,2.04,11.4,16.2
37,Cal Poly,24,4,20,.167,-14.98,-2.94,,1,15,,3,8,,0,11,,61.5,70.8,,40.2,21.7,54.8,.395,6.54,20.5,.320,11.7,16.2,.722,7.79,32.4,12.5,6.21,3.50,13.8,18.6
38,Cal State Bakersfield,26,15,11,.577,-1.70,-3.95,,11,7,,9,2,,6,8,,69.7,64.0,,40.2,26.3,58.9,.447,5.62,15.9,.353,11.4,16.0,.714,13.4,36.9,14.0,6.42,3.00,13.0,19.2
39,Cal State Fullerton,16,6,10,.375,-7.84,-4.57,,5,9,,5,4,,1,5,,77.0,78.6,,40.3,26.9,59.4,.452,8.19,21.3,.384,15.1,20.4,.739,8.75,32.9,13.6,6.69,2.00,12.8,16.9
40,Cal State Northridge,22,9,13,.409,-10.20,-3.48,,5,9,,4,7,,4,4,,72.1,77.7,,40.2,25.5,60.1,.423,7.73,22.9,.338,13.5,18.5,.727,9.45,33.2,13.3,6.36,2.14,11.9,17.4
41,California Baptist,23,13,10,.565,-6.42,-6.21,,6,6,,11,4,,2,5,,79.1,72.8,,40.2,27.6,58.0,.475,9.35,23.8,.393,14.7,19.9,.737,9.61,37.1,17.5,5.04,2.48,13.5,19.7
42,UC-Davis,18,10,8,.556,-7.27,-5.68,,7,5,,4,3,,4,3,,71.9,71.6,,40.8,24.9,56.7,.440,5.67,17.5,.324,16.4,20.9,.785,8.89,31.7,10.8,7.50,2.78,14.5,19.9
43,UC-Irvine,27,18,9,.667,1.96,-2.36,,13,4,,10,1,,6,6,,72.2,63.4,,40.4,27.0,59.8,.451,4.89,14.4,.338,13.3,17.6,.759,11.2,39.6,11.8,7.56,4.00,13.0,16.7
44,UC-Riverside,22,14,8,.636,2.55,-4.00,,10,5,,5,4,,7,3,,70.2,63.6,,40.5,26.0,58.2,.447,9.14,24.6,.371,9.05,12.8,.706,8.59,36.3,14.0,5.27,2.32,12.0,17.5
45,UC-San Diego,17,7,10,.412,-8.51,-0.58,,4,10,,7,3,,0,7,,71.4,72.1,,40.3,26.3,57.2,.459,11.1,29.4,.376,7.76,12.2,.638,5.82,29.5,17.3,6.82,2.18,13.2,13.6
46,UC-Santa Barbara NCAA,26,22,4,.846,6.02,-4.31,,15,3,,11,0,,8,4,,76.5,62.8,,40.4,27.6,56.8,.485,6.77,19.3,.351,14.6,19.4,.750,9.27,35.2,16.3,7.58,2.77,11.0,15.9
47,University of California,29,9,20,.310,2.48,7.34,,3,17,,6,8,,1,11,,65.4,69.2,,40.0,22.8,53.0,.430,7.03,21.4,.328,12.8,18.3,.697,8.10,31.6,11.9,4.34,2.24,12.8,17.8
48,Campbell,27,17,10,.630,-6.29,-6.81,,11,6,,9,3,,6,7,,71.0,68.1,,40.6,25.9,52.2,.496,7.22,19.3,.375,12.0,17.7,.678,6.11,28.4,14.3,6.11,2.26,12.1,17.0
49,Canisius,13,7,6,.538,-7.87,-7.10,,7,5,,3,1,,4,4,,70.4,71.2,,40.0,24.7,60.5,.408,7.46,25.2,.297,13.5,19.1,.710,10.0,34.6,12.7,5.62,3.54,12.0,18.0
50,Central Arkansas,24,5,19,.208,-15.04,-2.17,,4,12,,4,5,,1,14,,70.9,80.5,,40.0,25.3,57.8,.437,7.08,19.5,.363,13.3,18.5,.717,10.3,37.0,13.4,5.04,2.67,17.5,18.0
51,Central Connecticut State,21,5,16,.238,-13.08,-4.22,,5,13,,3,6,,2,9,,68.5,77.4,,40.0,24.9,58.6,.424,7.14,22.0,.324,11.7,16.6,.702,8.52,31.6,12.9,6.90,2.57,14.2,17.1
52,Central Florida,23,11,12,.478,6.02,8.24,,8,10,,6,3,,4,8,,67.2,69.4,,40.2,23.6,54.9,.429,7.83,22.0,.355,12.3,16.8,.729,9.39,33.3,12.4,6.83,3.43,14.8,16.9
53,Central Michigan,23,7,16,.304,-11.56,-3.41,,3,13,,5,7,,2,9,,76.8,79.8,,40.0,27.4,61.6,.445,6.61,20.1,.329,15.3,22.7,.673,10.5,36.2,10.7,8.17,2.91,13.3,17.2
54,Charleston Southern,21,3,18,.143,-16.18,-5.68,,2,15,,1,9,,2,8,,65.5,73.8,,40.2,22.9,56.3,.406,7.62,24.1,.316,12.1,17.0,.714,10.2,37.0,10.3,6.14,3.81,16.5,18.3
55,Charlotte,25,9,16,.360,-5.38,-2.13,,5,11,,6,7,,3,8,,63.5,66.7,,41.0,21.8,50.4,.432,5.72,17.6,.324,14.2,19.4,.731,6.88,31.1,11.3,5.44,2.92,13.4,14.6
56,Chattanooga,26,18,8,.692,-1.13,-2.50,,9,7,,9,3,,9,4,,72.6,69.3,,40.4,25.7,58.5,.438,8.38,23.3,.359,12.9,16.5,.783,8.35,33.9,12.3,6.85,1.85,11.1,14.2
57,Chicago State,9,0,9,.000,-31.29,1.94,,0,0,,0,0,,0,7,,55.4,88.7,,40.0,20.0,55.2,.362,5.67,22.6,.251,9.78,14.0,.698,6.00,26.0,9.89,5.44,1.44,15.6,19.8
58,Cincinnati,23,12,11,.522,4.21,7.42,,8,6,,5,5,,5,5,,68.9,72.1,,40.0,24.6,58.2,.423,7.09,22.8,.311,12.6,19.2,.656,10.7,36.2,15.0,6.74,3.78,14.6,18.9
59,Citadel,25,13,12,.520,-5.61,-0.99,,5,11,,11,3,,1,8,,80.8,78.4,,40.0,28.3,62.6,.452,10.2,28.8,.356,13.9,19.8,.701,9.48,37.8,15.6,5.44,4.32,12.1,16.2
60,Clemson NCAA,23,16,7,.696,13.50,10.19,,10,6,,11,1,,2,5,,65.3,62.0,,40.2,23.5,55.0,.428,8.35,24.1,.346,9.91,13.0,.765,8.61,32.7,13.3,6.09,2.87,12.7,15.7
61,Cleveland State NCAA,26,19,7,.731,-4.09,-4.97,,16,4,,9,2,,8,5,,71.5,70.6,,41.0,26.3,58.2,.452,6.38,20.0,.319,12.5,18.6,.669,10.7,35.0,14.0,7.00,2.50,12.8,19.2
62,Coastal Carolina,23,16,7,.696,-2.17,-8.17,,9,5,,12,1,,3,5,,79.8,66.7,,40.2,28.3,61.7,.459,8.78,24.3,.361,14.3,19.7,.730,13.7,43.7,15.5,8.48,4.17,15.0,16.5
63,Colgate NCAA,15,14,1,.933,19.16,1.43,,11,1,,8,1,,6,0,,86.3,68.6,,40.3,31.5,63.1,.499,9.07,22.5,.402,14.3,19.6,.731,9.60,39.7,17.5,7.20,3.47,10.1,15.7
64,College of Charleston,19,9,10,.474,-4.12,-2.30,,6,4,,8,6,,1,3,,70.6,69.9,,41.1,25.3,56.1,.451,8.32,22.2,.374,11.6,16.4,.711,8.21,32.8,10.6,5.26,2.79,10.4,17.1
65,Colorado State,24,18,6,.750,8.59,-0.45,,14,4,,10,1,,6,4,,74.6,65.5,,40.0,25.6,54.3,.472,8.54,23.7,.360,14.8,18.8,.789,7.58,35.1,14.5,5.50,2.54,13.6,17.3
66,Colorado NCAA,30,22,8,.733,16.76,6.99,,14,6,,11,1,,6,6,,73.0,63.3,,40.0,25.8,56.8,.454,7.47,20.4,.367,14.0,17.0,.822,9.87,35.0,13.2,5.30,2.77,11.1,16.2
67,Columbia,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
68,Connecticut NCAA,22,15,7,.682,17.13,9.22,,11,6,,7,3,,6,3,,72.5,64.6,,40.2,26.4,60.1,.439,6.73,20.0,.336,13.0,17.8,.731,13.2,38.1,13.0,6.18,5.27,11.7,18.9
69,Coppin State,22,9,13,.409,-11.30,-4.99,,8,4,,5,3,,4,9,,72.8,79.1,,40.0,24.0,58.5,.411,8.77,28.9,.303,16.0,25.6,.622,7.45,36.2,13.0,8.55,3.23,15.8,17.9
70,Cornell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
71,Creighton NCAA,28,20,8,.714,17.59,8.91,,14,6,,11,3,,7,4,,77.0,68.3,,40.4,28.5,59.8,.476,9.71,26.5,.367,10.3,16.1,.642,8.46,36.1,15.9,7.07,3.54,11.1,15.5
72,Dartmouth,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,.619,10.59,3.99,,7,4,,7,4,,4,2,,72.3,63.6,,40.2,26.2,55.3,.473,9.95,27.1,.367,9.95,14.5,.685,9.05,35.0,15.1,5.14,2.57,10.8,14.9
74,Dayton,23,14,9,.609,7.40,4.88,,9,7,,8,3,,4,6,,70.2,67.7,,41.1,24.7,51.7,.477,8.04,21.5,.374,12.8,17.8,.720,6.91,33.3,13.7,4.48,1.96,14.6,15.5
75,Delaware State,19,3,16,.158,-23.02,-5.25,,1,11,,3,6,,0,10,,70.8,85.7,,40.3,24.6,62.3,.396,8.00,25.9,.309,13.5,18.8,.720,10.8,35.7,11.4,6.47,3.63,16.9,21.3
76,Delaware,15,7,8,.467,-4.27,-4.12,,5,4,,6,3,,1,4,,67.5,67.5,,40.0,23.1,52.9,.438,7.13,21.4,.333,14.1,19.8,.714,8.73,35.1,12.5,4.60,3.60,14.3,17.5
77,Denver,21,2,19,.095,-17.21,-6.61,,1,13,,2,10,,0,9,,69.8,79.1,,40.5,24.7,55.8,.443,6.71,19.2,.350,13.7,19.0,.721,7.43,30.3,12.0,5.71,2.57,14.8,20.5
78,DePaul,19,5,14,.263,3.63,9.79,,2,13,,2,8,,2,5,,65.8,71.9,,40.5,25.3,60.7,.417,5.42,17.2,.315,9.74,14.4,.678,12.1,37.7,11.4,6.84,3.89,15.8,19.7
79,Detroit Mercy,22,12,10,.545,-2.77,-5.31,,10,6,,7,5,,5,5,,76.5,74.0,,40.2,27.2,58.6,.464,10.2,26.1,.391,11.9,14.8,.804,8.95,32.7,14.3,6.82,2.45,11.5,14.2
80,Dixie State,21,8,13,.381,-14.97,-4.40,,4,10,,5,7,,3,6,,69.6,76.3,,40.0,24.5,58.4,.419,6.10,19.9,.306,14.5,20.3,.714,9.52,35.2,15.3,6.81,2.05,15.2,20.9
81,Drake NCAA,29,25,4,.862,9.55,-1.63,,15,3,,14,1,,9,2,,77.4,64.7,,40.3,29.9,60.6,.494,7.03,19.0,.370,10.5,14.8,.713,10.3,36.0,13.8,7.14,2.97,10.3,15.7
82,Drexel NCAA,19,12,7,.632,0.23,-4.41,,4,5,,3,2,,4,5,,71.5,66.8,,40.0,26.1,54.6,.477,7.26,19.5,.372,12.1,15.6,.777,8.84,33.9,15.2,4.68,2.37,12.9,15.2
83,Duke,24,13,11,.542,14.04,9.33,,9,9,,8,5,,3,6,,76.0,71.3,,40.4,28.8,61.6,.468,8.38,23.8,.352,9.96,14.4,.691,11.2,35.5,16.1,8.21,4.54,12.8,17.1
84,Duquesne,18,9,9,.500,3.36,3.53,,7,7,,5,2,,2,5,,66.9,67.1,,40.0,24.3,57.8,.421,6.39,21.4,.299,11.9,18.3,.650,11.4,36.3,13.4,6.72,4.44,13.3,17.2
85,East Carolina,19,8,11,.421,1.12,3.95,,2,10,,7,6,,1,4,,66.8,67.9,,40.3,23.6,57.6,.410,5.74,18.9,.304,13.8,19.1,.724,9.95,34.4,15.9,6.16,3.11,12.6,17.1
86,East Tennessee State,25,13,12,.520,2.05,0.70,,8,7,,8,4,,3,5,,69.4,66.2,,40.2,24.8,56.6,.438,8.04,23.0,.350,11.8,16.9,.697,10.1,35.9,11.8,7.36,2.52,13.6,17.2
87,Eastern Illinois,27,9,18,.333,-12.27,-6.75,,6,14,,5,7,,4,11,,69.4,74.9,,40.6,26.2,60.1,.436,6.89,21.3,.324,10.1,15.4,.657,10.6,35.0,13.3,7.15,3.26,14.2,16.1
88,Eastern Kentucky,29,22,7,.759,-2.23,-7.79,,15,5,,10,2,,9,4,,81.8,73.7,,40.7,30.0,67.1,.448,9.62,26.8,.359,12.1,17.1,.706,10.6,35.6,15.9,10.3,3.55,12.8,18.4
89,Eastern Michigan,18,6,12,.333,-13.33,-0.33,,3,11,,5,4,,1,8,,70.4,75.7,,40.0,24.9,59.8,.416,7.11,22.8,.311,13.5,18.1,.745,9.39,33.0,11.0,8.89,2.33,12.3,15.2
90,Eastern Washington NCAA,23,16,7,.696,2.46,-5.45,,12,3,,7,2,,6,5,,78.0,69.4,,40.0,27.7,59.4,.467,8.43,23.8,.354,14.1,18.0,.787,7.61,35.4,15.1,4.91,2.87,11.5,17.0
91,Elon,19,10,9,.526,-4.50,-3.61,,4,7,,4,2,,3,6,,65.7,65.0,,40.0,23.6,57.1,.414,8.11,24.9,.326,10.4,14.0,.741,8.74,34.3,10.8,5.68,2.05,11.5,18.9
92,Evansville,25,9,16,.360,-4.70,0.14,,7,11,,8,4,,1,10,,64.8,69.6,,40.6,22.8,52.0,.440,9.60,25.5,.377,9.48,13.2,.718,5.96,26.8,11.6,4.88,2.24,11.0,15.1
93,Fairfield,27,10,17,.370,-10.73,-5.84,,7,11,,4,8,,3,8,,61.8,66.7,,40.4,21.5,53.9,.398,6.04,19.1,.315,12.8,18.4,.696,9.81,35.1,10.0,4.63,2.30,12.9,17.8
94,Fairleigh Dickinson,24,9,15,.375,-8.40,-4.69,,8,10,,4,6,,5,9,,75.0,78.8,,40.4,26.9,59.7,.450,8.08,21.5,.375,13.2,18.5,.712,10.2,33.9,12.0,7.58,3.88,14.2,18.3
95,Florida A&M,20,8,12,.400,-11.96,-9.16,,7,5,,4,1,,4,10,,65.7,68.5,,40.0,25.0,56.3,.444,4.75,15.2,.314,10.9,16.8,.652,10.3,35.3,13.3,6.50,2.50,16.9,18.2
96,Florida Atlantic,23,13,10,.565,-1.88,-4.77,,7,5,,7,1,,4,7,,78.1,66.8,,40.2,28.3,61.3,.463,9.70,25.5,.380,11.7,17.7,.661,12.5,40.4,14.6,7.61,2.74,13.8,18.0
97,Florida Gulf Coast,18,10,8,.556,-9.47,-6.97,,4,4,,7,4,,2,2,,71.8,69.0,,40.0,26.8,62.6,.429,8.11,27.7,.293,10.0,15.1,.664,11.4,38.9,13.7,7.44,4.28,14.7,15.6
98,Florida International,26,9,17,.346,-10.99,-3.04,,2,15,,7,8,,2,9,,73.6,76.3,,40.6,26.5,61.7,.430,10.5,31.4,.335,10.0,15.1,.666,9.69,32.6,14.9,8.42,4.04,14.6,17.8
99,Florida State NCAA,22,16,6,.727,17.98,9.39,,11,4,,12,1,,3,4,,78.9,70.3,,40.5,28.2,59.4,.474,8.23,21.1,.390,14.3,19.4,.738,11.6,37.4,14.6,7.41,5.14,14.3,18.5
100,Florida NCAA,23,14,9,.609,14.89,10.76,,9,7,,6,3,,5,5,,74.0,69.8,,40.0,26.3,56.7,.464,6.83,19.1,.357,14.5,19.2,.757,10.0,35.2,11.8,7.30,5.43,14.7,18.5
101,Fordham,14,2,12,.143,-10.52,4.26,,2,11,,2,5,,0,6,,51.8,66.6,,40.0,18.4,51.1,.359,5.64,21.0,.269,9.43,14.1,.670,6.79,29.6,10.9,6.21,2.00,13.4,15.8
102,Fresno State,24,12,12,.500,-3.50,0.14,,9,11,,7,5,,4,6,,66.3,67.4,,40.2,23.0,53.7,.428,6.83,20.8,.329,13.5,20.2,.666,10.7,35.5,10.4,6.58,2.92,14.3,17.8
103,Furman,25,16,9,.640,6.46,-1.22,,10,5,,11,1,,5,7,,79.6,68.9,,40.2,29.2,60.0,.487,9.68,28.3,.342,11.5,15.9,.724,8.92,35.2,16.6,8.20,3.36,12.5,17.1
104,Gardner-Webb,26,11,15,.423,-3.31,-5.58,,10,10,,7,4,,4,11,,70.7,68.4,,40.0,25.0,56.3,.444,8.92,24.7,.361,11.7,16.9,.690,9.19,34.4,13.0,5.88,4.81,11.7,18.9
105,George Mason,22,13,9,.591,2.93,1.50,,8,6,,7,3,,3,4,,71.3,69.9,,41.1,26.3,61.2,.429,7.27,22.1,.329,11.5,17.9,.642,11.5,37.9,13.0,7.23,4.27,12.8,16.0
106,George Washington,17,5,12,.294,-4.62,-0.44,,3,5,,3,6,,1,5,,68.1,72.3,,40.3,24.2,54.6,.443,6.00,18.5,.324,13.8,19.7,.699,8.00,34.2,11.4,6.29,2.71,13.7,14.5
107,Georgetown NCAA,25,13,12,.520,11.73,11.05,,7,9,,7,6,,2,6,,71.4,70.7,,40.2,24.8,58.5,.424,8.32,22.7,.366,13.4,17.7,.754,11.7,40.2,12.8,5.92,3.88,15.3,15.9
108,Georgia Southern,26,13,13,.500,-9.75,-5.79,,7,9,,9,4,,4,8,,71.5,67.8,,41.2,26.4,59.1,.447,7.46,23.4,.319,11.3,17.8,.635,11.8,37.1,12.4,8.08,3.88,14.4,17.1
109,Georgia State,22,16,6,.727,-1.23,-4.13,,8,4,,9,1,,5,4,,80.3,72.7,,40.9,29.5,63.0,.468,8.09,22.6,.358,13.2,19.3,.685,11.4,37.5,16.8,7.14,4.41,11.6,16.6
110,Georgia Tech NCAA,25,17,8,.680,14.06,8.54,,11,6,,11,3,,4,5,,75.5,70.0,,41.0,27.8,58.7,.474,7.56,21.7,.349,12.4,17.0,.727,8.16,30.8,16.0,9.20,3.40,11.1,15.6
111,Georgia,26,14,12,.538,7.02,8.42,,7,11,,12,5,,2,6,,77.5,78.0,,40.2,28.2,61.7,.458,6.35,19.6,.324,14.7,21.3,.689,12.2,37.4,15.0,8.46,2.46,16.7,18.6
112,Gonzaga NCAA,26,26,0,1.000,26.43,3.43,,15,0,,12,0,,7,0,,92.1,69.1,,40.0,34.2,62.0,.551,7.31,20.0,.365,16.5,22.7,.727,9.58,37.9,18.3,8.31,2.85,12.1,16.7
113,Grambling,24,12,12,.500,-14.78,-13.00,,9,6,,6,4,,5,7,,67.4,68.7,,40.2,23.4,54.7,.428,5.21,15.7,.332,15.3,23.0,.665,8.63,34.5,14.0,8.13,3.04,15.5,18.0
114,Grand Canyon NCAA,23,17,6,.739,3.83,-5.78,,9,3,,10,3,,5,1,,75.6,61.1,,40.0,28.1,57.1,.492,6.78,20.4,.332,12.6,18.4,.686,10.4,40.0,16.1,4.87,2.96,13.1,17.0
115,Green Bay,25,8,17,.320,-9.32,-4.40,,8,12,,6,6,,2,11,,71.6,76.5,,41.2,26.2,60.3,.435,6.80,20.4,.333,12.3,16.4,.749,9.12,32.7,14.1,5.52,3.60,10.8,16.2
116,Hampton,25,11,14,.440,-13.05,-8.65,,9,9,,5,7,,6,7,,68.8,73.2,,40.0,24.8,57.5,.431,7.40,22.3,.332,11.9,16.4,.725,7.84,33.8,11.7,6.08,5.96,12.7,17.0
117,Hartford NCAA,23,15,8,.652,-2.76,-5.37,,8,6,,10,1,,5,6,,65.9,63.3,,40.0,23.6,54.4,.434,7.57,23.1,.327,11.1,15.6,.712,8.13,33.2,11.0,7.00,2.04,12.7,16.1
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
