,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
291,Southern Utah,34,17,17,.500,-8.91,-6.22,,9,11,,11,4,,4,12,,75.7,75.5,,40.6,25.9,58.7,.441,8.00,23.5,.340,15.9,22.3,.712,8.29,36.8,12.5,5.85,3.35,13.7,20.5
292,Southern,32,7,25,.219,-16.79,-7.37,,6,12,,6,5,,1,18,,64.9,73.8,,40.2,23.5,53.4,.440,5.63,17.0,.331,12.3,18.4,.668,9.78,30.6,11.6,6.75,2.69,16.0,22.4
293,St. Bonaventure,34,18,16,.529,3.34,0.25,,12,6,,9,5,,6,7,,66.2,63.1,,40.7,24.1,56.3,.429,6.12,18.7,.328,11.8,15.9,.742,9.79,34.8,12.3,5.85,4.82,12.4,16.3
294,St. Francis (NY),33,17,16,.515,-10.19,-8.45,,9,9,,11,3,,6,12,,71.1,70.3,,40.2,25.5,60.3,.423,8.18,24.4,.335,11.9,17.6,.678,10.5,36.1,11.7,5.88,4.12,12.5,19.2
295,St. John's (NY) NCAA,34,21,13,.618,7.88,5.50,,8,10,,11,4,,4,7,,77.1,74.8,,40.4,27.8,61.8,.450,8.50,23.8,.357,13.1,18.2,.719,7.76,32.9,13.9,8.88,3.26,10.5,19.1
296,Stanford,31,15,16,.484,6.03,5.13,,8,10,,10,4,,4,9,,72.7,71.8,,40.2,26.1,57.5,.453,6.68,21.1,.317,13.9,20.7,.672,10.4,37.0,12.6,6.00,4.74,15.1,18.9
297,Stephen F. Austin,30,14,16,.467,-10.99,-5.92,,7,11,,10,6,,3,9,,70.2,72.0,,40.3,24.8,56.5,.439,6.70,19.6,.342,13.8,20.2,.682,10.4,33.6,11.6,6.40,3.77,14.7,19.3
298,Stetson,31,7,24,.226,-15.01,-3.46,,3,13,,7,8,,0,16,,69.4,78.4,,40.2,25.6,63.3,.405,6.94,22.1,.314,11.2,16.2,.692,11.6,35.8,13.5,6.77,3.03,12.7,17.3
299,Stony Brook,33,24,9,.727,-2.10,-6.48,,12,4,,10,4,,13,4,,71.6,66.3,,40.5,24.7,58.7,.421,7.06,21.7,.326,15.2,21.1,.721,12.4,40.8,11.3,6.33,4.30,14.5,19.1
300,Syracuse NCAA,34,20,14,.588,13.73,10.09,,10,8,,13,6,,6,4,,69.7,66.1,,40.1,23.8,56.1,.424,8.06,24.2,.333,14.1,20.6,.685,10.7,34.5,12.0,8.18,4.76,12.4,17.3
301,Temple NCAA,33,23,10,.697,8.17,4.93,,13,5,,13,2,,8,5,,74.7,71.5,,40.6,26.5,60.5,.437,7.48,22.7,.330,14.3,19.7,.727,9.58,34.4,14.4,8.61,2.21,11.2,17.6
302,Tennessee-Martin,31,12,19,.387,-10.94,-4.32,,6,12,,10,4,,1,14,,76.0,80.2,,40.3,27.5,61.8,.446,8.06,23.4,.344,12.8,17.0,.754,11.3,34.3,14.2,7.19,2.84,13.5,15.8
303,Tennessee State,30,9,21,.300,-11.62,-3.15,,6,12,,6,7,,3,14,,72.7,77.7,,40.3,25.0,58.0,.432,8.00,23.9,.335,14.7,20.9,.701,10.6,34.4,11.4,7.30,2.60,16.6,24.5
304,Tennessee Tech,31,8,23,.258,-14.76,-3.00,,4,14,,5,10,,3,13,,67.9,75.8,,40.3,23.9,57.5,.416,6.87,20.0,.344,13.1,20.8,.631,10.6,36.2,12.5,7.29,4.32,16.7,17.9
305,Tennessee NCAA,37,31,6,.838,21.55,10.16,,15,3,,18,0,,7,3,,82.0,69.7,,40.7,29.9,60.3,.496,7.08,19.3,.367,15.2,20.1,.754,10.2,37.6,17.8,5.97,5.38,11.1,17.7
306,Texas A&M-Corpus Christi,32,14,18,.438,-9.11,-5.68,,9,9,,9,7,,5,9,,66.4,66.4,,40.3,24.2,56.3,.429,6.31,19.4,.325,11.8,16.9,.695,10.9,36.2,13.2,6.16,2.81,14.3,19.1
307,Texas A&M,32,14,18,.438,7.21,8.59,,6,12,,9,8,,3,7,,70.4,71.8,,40.0,25.2,57.6,.438,6.38,20.7,.308,13.7,19.7,.693,11.6,37.3,11.8,6.72,4.44,13.9,16.3
308,Texas-Arlington,33,17,16,.515,-0.50,0.84,,12,6,,9,5,,7,10,,69.2,69.8,,40.8,23.7,57.8,.409,7.09,23.4,.303,14.8,20.0,.741,11.3,37.4,12.8,6.39,2.94,14.2,19.1
309,Texas Christian,37,23,14,.622,13.81,9.60,,7,11,,15,5,,3,7,,73.8,69.6,,40.5,26.8,58.6,.457,7.59,22.0,.346,12.7,18.6,.682,10.7,36.4,16.2,6.89,4.38,13.5,15.8
310,Texas-El Paso,29,8,21,.276,-8.23,-1.71,,3,15,,8,8,,0,13,,64.1,69.0,,40.3,22.0,54.9,.401,6.86,21.4,.321,13.2,19.9,.661,9.83,36.9,10.6,4.66,2.90,16.1,19.0
311,Texas-Rio Grande Valley,37,20,17,.541,-2.04,-1.61,,9,7,,11,9,,8,7,,71.2,70.9,,40.3,24.2,57.8,.418,5.49,17.2,.319,17.3,24.9,.694,9.68,32.8,13.6,9.32,2.84,12.7,20.6
312,Texas-San Antonio,32,17,15,.531,0.69,0.05,,11,7,,11,4,,5,7,,77.5,75.2,,40.5,28.0,64.6,.433,9.19,26.7,.344,12.3,16.8,.737,10.1,38.0,13.1,6.66,2.56,12.6,18.2
313,Texas Southern,38,24,14,.632,-5.55,-6.99,,14,4,,10,2,,13,11,,81.6,79.2,,40.8,28.5,62.6,.455,7.26,22.4,.324,17.4,26.0,.668,12.3,39.6,15.6,8.13,3.00,15.5,17.9
314,Texas State,34,24,10,.706,1.54,-3.00,,12,6,,11,4,,10,5,,72.6,64.8,,40.3,25.8,58.0,.444,7.18,21.9,.328,13.9,20.4,.683,12.0,38.0,14.5,6.88,2.47,13.4,19.6
315,Texas Tech NCAA,38,31,7,.816,22.79,9.53,,14,4,,17,1,,6,3,,72.8,59.5,,40.3,26.1,55.5,.469,7.29,20.0,.365,13.4,18.3,.732,8.29,34.1,13.6,7.32,4.89,12.0,17.4
316,Texas,37,21,16,.568,16.06,11.46,,8,10,,15,6,,2,8,,71.0,66.4,,40.4,25.1,58.0,.433,8.78,25.2,.348,12.0,17.2,.699,9.68,34.2,13.1,6.14,4.11,10.8,16.9
317,Toledo,33,25,8,.758,8.21,0.71,,13,5,,14,2,,8,5,,76.9,68.4,,40.3,27.3,60.3,.453,9.85,26.0,.378,12.4,16.1,.772,9.91,38.8,16.3,5.15,4.61,12.2,15.7
318,Towson,32,10,22,.313,-8.44,-3.57,,6,12,,5,8,,4,8,,67.8,71.7,,40.9,25.3,58.1,.435,5.63,17.2,.327,11.6,16.6,.695,12.2,37.0,9.97,4.81,2.94,12.2,17.5
319,Troy,30,12,18,.400,-6.12,-1.01,,5,13,,8,8,,4,10,,72.6,74.7,,40.3,25.8,57.3,.450,7.87,23.5,.335,13.2,18.3,.722,9.23,34.0,13.1,5.70,4.50,13.6,17.4
320,Tulane,31,4,27,.129,-6.72,3.63,,0,18,,3,12,,0,11,,67.2,77.5,,40.0,23.6,57.5,.411,6.87,21.6,.318,13.0,18.9,.689,9.61,36.5,14.3,4.74,3.52,15.1,17.3
321,Tulsa,32,18,14,.563,4.65,3.86,,8,10,,14,3,,3,8,,71.8,71.0,,40.3,24.3,54.1,.448,6.94,20.4,.340,16.3,23.5,.695,7.47,35.0,13.4,5.50,2.38,12.6,16.5
322,UCLA,33,17,16,.515,7.17,6.78,,9,9,,13,5,,3,7,,78.2,77.8,,40.5,27.8,61.0,.457,7.76,21.8,.355,14.7,23.3,.633,11.5,41.2,14.3,5.88,4.12,14.2,17.1
323,Utah State NCAA,35,28,7,.800,11.98,0.89,,15,3,,14,1,,9,4,,78.7,67.1,,40.3,27.4,58.2,.471,7.83,22.1,.355,16.0,21.3,.748,10.8,40.1,17.1,6.14,4.20,12.8,18.5
324,Utah Valley,35,25,10,.714,3.00,-2.30,,12,4,,14,1,,8,8,,77.1,70.7,,40.0,26.6,55.1,.482,8.09,21.1,.382,15.8,21.8,.725,9.09,36.3,13.8,5.74,2.54,13.9,17.5
325,Utah,31,17,14,.548,6.13,5.10,,11,7,,10,5,,6,5,,75.6,74.5,,40.2,26.0,56.0,.464,9.61,26.0,.370,14.0,19.9,.706,10.2,35.4,14.2,4.65,2.58,13.2,17.7
326,Valparaiso,33,15,18,.455,-3.38,-1.00,,7,11,,8,7,,5,8,,66.8,66.3,,40.5,24.3,54.0,.450,5.61,17.7,.316,12.6,18.0,.699,8.91,33.8,13.1,6.12,3.06,13.3,16.5
327,Vanderbilt,32,9,23,.281,3.57,7.79,,0,18,,8,10,,1,10,,68.1,72.3,,40.2,23.0,54.7,.421,7.19,23.1,.311,14.9,22.2,.673,10.2,35.6,11.6,4.81,3.94,14.2,17.8
328,Vermont NCAA,34,27,7,.794,4.88,-4.18,,14,2,,16,2,,11,4,,73.8,63.0,,40.3,25.4,55.5,.458,8.03,22.4,.359,14.9,19.9,.748,8.94,35.1,11.7,5.53,4.00,11.1,16.7
329,Villanova NCAA,36,26,10,.722,14.33,7.97,,13,5,,13,2,,5,6,,73.7,67.4,,40.4,24.6,56.1,.438,10.6,30.0,.352,14.1,19.3,.728,10.2,34.8,14.0,5.39,2.94,10.8,16.1
330,Virginia Commonwealth NCAA,33,25,8,.758,11.96,2.87,,16,2,,16,1,,8,4,,71.0,61.9,,40.3,24.8,56.7,.438,7.12,23.4,.305,14.2,20.3,.701,10.8,36.6,13.6,7.97,4.48,13.9,19.7
331,VMI,32,11,21,.344,-10.50,0.09,,4,14,,8,7,,2,13,,76.0,81.8,,40.3,26.3,61.7,.427,10.1,28.1,.359,13.3,18.2,.730,8.75,34.7,13.8,6.78,1.91,12.2,16.9
332,Virginia Tech NCAA,35,26,9,.743,19.28,7.79,,12,6,,14,2,,5,5,,73.5,62.1,,40.3,25.5,54.3,.470,9.34,23.7,.394,13.2,17.3,.761,8.86,32.6,15.2,6.74,2.23,11.2,15.2
