68  29
33	24	9	-4.29	14	6	12	3	8	4	71.2	62.8	40.2	24.4	52.9	0.462	7.91	22.2	0.357	14.4	21	0.687	9.88	35	11.9	5.85	3.27	11.5	15.8
32	19	13	11.97	9	9	13	3	3	7	80	76.4	40.2	27.7	62.8	0.441	9.28	30.1	0.308	15.4	21.1	0.73	13.5	39.9	14.6	7	4.72	14.6	18.6
34	31	3	6.97	18	2	17	0	9	3	84.6	67.5	40.1	30.4	61.4	0.496	7.76	21.9	0.354	15.9	21.6	0.738	11.4	41.4	19.9	6.71	5.71	13.2	16.5
33	25	8	8.14	13	5	17	1	5	4	76.9	68.5	40.3	26.6	60.6	0.44	6.36	20.8	0.307	17.3	23	0.753	11.2	38.2	14.1	7.73	4.18	12.6	16.8
32	27	5	8.74	15	3	16	0	8	3	78.7	67	40.6	27.9	63.6	0.44	8.13	25.4	0.32	14.7	20.1	0.733	12.5	39.9	14.6	8.78	7.94	12.1	18.5
32	26	6	9.02	14	4	15	2	8	3	76.5	63.6	40.2	28.2	60.9	0.464	7.94	23	0.346	12.1	17.4	0.698	12.8	37.1	15.8	8.81	3.41	12.5	15.8
34	27	7	5.47	15	3	13	3	9	3	68.7	60.8	40.4	24.5	54.6	0.448	7.38	21.2	0.348	12.4	19.1	0.649	10.2	35	11.5	5.91	3.5	12.1	15.1
31	22	9	-7.46	15	2	14	1	7	7	77.9	72.7	40.3	27.4	62.6	0.437	8.39	27.2	0.308	14.8	20.2	0.733	12.6	41.5	14.1	6.32	4.45	13.9	16.8
31	21	10	-2.51	12	5	11	2	7	7	70.3	66.2	40	24	53.8	0.445	5.16	16.1	0.321	14.8	19.4	0.765	9.68	33	10.8	7	2	11.8	15.5
34	27	7	-1.37	14	4	12	3	12	4	74.8	64.7	40.3	27.5	58.6	0.469	8	23.1	0.346	11.8	15.7	0.752	10.6	35.9	13	7.18	2.21	11	15.5
34	23	11	-6.93	16	2	15	1	8	10	76.1	67.1	40.1	27.7	58.1	0.476	9.91	24.6	0.403	10.7	15.4	0.695	8.76	36.2	17.2	6.24	3.68	11.3	14.5
30	25	5	4.99	14	4	14	1	6	3	73.7	65.7	40.3	26.6	54.8	0.485	7.63	21.3	0.358	12.9	16.7	0.774	6.63	31.9	14.2	6.27	3.17	10.1	14.9
32	23	9	7.25	13	6	14	2	5	5	75.2	65.2	40.8	26.8	61.6	0.436	7.44	21.1	0.353	14.1	18.8	0.75	14	40.9	14	5.97	6.5	11.9	16.8
33	22	11	8.4	12	7	11	4	6	5	69	65.9	40.3	25.8	57.2	0.45	6.7	21.8	0.307	10.8	14.8	0.729	9.64	38.3	13.2	5.36	4.42	14.1	13.4
32	27	5	1.51	15	3	13	1	9	3	76	65.8	40.2	26.9	55.6	0.484	8.81	22.7	0.388	13.4	17.8	0.754	7.47	34.4	14.8	4.69	2.59	9.88	14.7
34	22	12	-2.67	10	8	9	5	8	5	73.8	69.9	40.3	26.1	55.6	0.469	7.59	21.5	0.352	14	18.9	0.743	8.56	32.8	12.7	6.62	3.74	12.6	15.6
34	28	6	6.14	16	4	15	3	9	2	80.2	67.1	40.1	29.7	60.7	0.489	8.18	22.2	0.368	12.6	17.4	0.729	10.7	38.3	16.9	6.47	5.53	10.2	13.6
28	18	10	-2.2	9	5	8	4	6	5	70.6	64.8	40.5	25	62	0.403	7.68	23.4	0.329	13	18.1	0.717	13.3	37.3	13.5	8.93	4.46	11.9	15.8
29	26	3	4.3	13	1	16	0	5	1	87.8	65.3	40	32.9	62.4	0.527	8.38	22.1	0.379	13.6	18.6	0.73	9.38	41.5	18.2	6.66	5.86	11.8	15.4
33	28	5	5.1	15	3	16	1	7	3	76	59.1	40.5	28.2	60.1	0.47	8	23.5	0.341	11.5	17.2	0.668	13.4	39.4	16.6	8.18	5.27	11.4	17.4
31	22	9	9.65	15	5	13	3	7	4	75.8	67.6	40.3	26.7	58.9	0.453	9.23	25.1	0.367	13.2	18.6	0.708	11.6	38.6	15.4	5.16	3	12.2	16.4
33	20	13	8.24	9	11	14	4	3	8	71.5	65.9	40.5	26	56.8	0.459	6.12	18.1	0.339	13.3	19	0.699	9	36.3	14.9	5.73	4.97	11.9	17.2
34	25	9	6.99	12	8	15	3	6	6	84	71.4	40.3	30	64.6	0.465	9.32	25.1	0.371	14.6	19.5	0.752	11.9	37.5	16.1	7.24	4.41	9.26	16.1
32	20	12	8.94	7	11	14	5	4	6	66.5	63	40.3	24.5	55.8	0.439	6.72	20.9	0.321	10.8	15.7	0.684	9.44	32	14.7	8.41	3.06	13.8	18
31	21	10	-4.33	13	3	11	4	9	5	73.9	66.8	40.2	26.4	56	0.472	9.32	24	0.388	11.8	17.3	0.681	9.58	36.9	14.5	6.19	2.94	13.3	14.1
34	28	6	11.39	14	4	16	1	6	4	78.6	68.1	40.4	28.6	59.6	0.481	7.15	20.1	0.355	14.1	19.5	0.724	11.1	37.4	15.4	6.41	4.15	12.5	15.9
33	26	7	8.4	14	4	18	0	6	5	79.5	66	40.2	30.4	62.8	0.485	6.15	17.6	0.349	12.5	17.1	0.73	12.9	40.3	16.1	6.82	4.18	11.5	14.2
32	26	6	-7.06	15	1	16	1	7	5	76.3	65.1	40.3	26.7	58.8	0.454	8.19	21.6	0.38	14.8	20.5	0.724	12	37.3	14	7.75	2.44	12	15.4
33	22	11	8.52	9	9	15	2	3	8	73.1	63.5	40.3	26.1	59.4	0.44	6.55	20.5	0.319	14.3	19.6	0.732	12.1	36.9	12.7	11.1	4.36	14.5	19.3
32	25	7	3.03	13	5	12	2	8	3	73.8	61.7	40.6	26.3	54.3	0.483	8.91	23.3	0.383	12.4	17.3	0.719	7.69	34	15	6.88	2.44	12.2	17.2
31	19	12	9.08	11	8	13	3	4	7	74.4	70.9	40.3	26.9	59.4	0.453	8.61	24.8	0.347	11.9	15.9	0.747	7.68	34.7	16	7.87	5.1	12.5	17.5
30	21	9	6.87	13	5	13	2	5	6	76.2	68.3	40	27.1	57.4	0.472	6.5	17.9	0.364	15.5	22.3	0.695	12.6	38.9	16.1	8.83	5.73	16.4	18.7
33	23	10	6.33	14	6	10	5	10	2	74.8	71	40.2	27.6	57.7	0.478	7.3	20.7	0.353	12.4	16.6	0.743	7.52	30.5	14	8.73	2.94	9.61	14.9
31	17	14	10.93	11	9	10	5	5	7	73	69.9	40	27.1	57.9	0.468	6.35	18.7	0.34	12.5	16.7	0.746	10	35.5	14.2	4.77	3.1	11.5	15.5
34	22	12	10.14	11	9	12	3	5	6	72.1	68.4	40	26	56.9	0.457	7.18	19	0.378	12.9	17.3	0.747	10	37.1	15.8	5.82	5.06	13.1	16.9
34	27	7	-5.99	16	4	13	1	9	6	77	68.5	40.4	26.5	55.8	0.475	7.65	20.7	0.369	16.3	21.6	0.753	8.68	35.5	13.2	5.24	3.74	12.8	18.1
32	30	2	-3.52	18	0	15	0	11	1	79.3	62.3	40	29	60.6	0.479	8.06	22.8	0.353	13.2	19	0.694	12.5	39.2	14.7	7.91	3.13	11.4	15
32	26	6	0.6	13	4	13	2	9	3	73.3	65	40.2	25.9	56.6	0.457	7.84	24	0.326	13.7	19.7	0.698	11.1	38.5	13.9	5.06	4.16	14	15.9
