16 29
40	30	10	10.92	11	7	15	2	4	6	79.7	68.8	40.4	27.4	61	0.45	11.3	30.1	0.377	13.5	19	0.711	11.4	34.2	14.3	9.22	4.75	11.7	18.3	0
39	32	7	12.34	16	4	15	1	8	4	77.6	65	40.3	27.5	57.2	0.48	8.18	21.6	0.378	14.5	19.2	0.753	10.6	40.5	18.3	5.15	5.26	12.6	16.6	0
38	31	7	9.53	14	4	17	1	6	3	72.8	59.5	40.3	26.1	55.5	0.469	7.29	20	0.365	13.4	18.3	0.732	8.29	34.1	13.6	7.32	4.89	12	17.4	1
38	35	3	10.15	16	2	15	1	10	1	71.4	56.1	40.4	25.6	54.1	0.474	8.45	21.4	0.395	11.7	15.7	0.744	9	34.9	14.3	5.55	3.92	9	14.3	1
39	31	8	11.87	13	5	14	3	8	3	81.4	71.9	40.1	29.9	60.7	0.492	10	25	0.401	11.6	16.4	0.708	9.77	35.6	16.6	6.51	4.1	11.7	15.3	0
38	32	6	1.81	15	3	14	1	9	4	71.6	62.6	40	26.2	51.7	0.507	7.29	18.4	0.396	11.9	16.5	0.725	6.26	32.2	15.6	6.34	2.37	12.4	13.9	0
41	33	8	9.41	13	5	15	1	6	5	73.6	63.3	40.4	26.6	57	0.468	8.8	24.7	0.357	11.6	17.5	0.661	8.41	33.3	14.3	6.37	3.07	9.24	15.7	1
40	36	4	10.24	14	4	12	1	9	3	86.6	70.2	40.4	30.5	61	0.5	11.6	28.9	0.401	14	17.9	0.779	9.63	35.9	16.4	6.47	4.05	10.7	16.1	1
39	37	2	4.13	17	1	15	1	10	0	82.6	61.5	40	29.5	58.5	0.504	7.33	19.2	0.382	16.4	22.8	0.717	9.69	40.7	15.3	6.79	4.69	11.5	16.9	1
40	33	7	11.76	14	4	16	0	6	5	84.4	70.6	40.1	30.6	65.8	0.466	7.08	19.9	0.355	16.1	22.9	0.701	15.8	43.7	18.1	7.08	3.48	11.8	17.8	1
39	33	6	8.38	16	2	17	0	7	3	78.9	65.8	40.1	28	58.2	0.481	8.56	22.6	0.38	14.4	20.2	0.712	10.6	36.7	15.7	6.49	6.36	11.6	15.7	0
37	26	11	10.16	12	6	15	3	6	5	73.2	65.2	40.7	25	59.4	0.421	6.7	19.8	0.338	16.5	23.6	0.699	12.5	36.4	12.6	7.78	3.84	13	20.3	0
40	33	7	10.69	14	4	15	1	6	5	82.8	70	40	30.9	64	0.482	5.6	17.1	0.327	15.4	20.6	0.747	14.2	40.6	17.7	6.72	4.42	10.8	17.9	1
37	29	8	11.14	12	6	14	1	7	5	79.7	71.1	40.4	27.5	60.1	0.458	10.3	24.5	0.422	14.3	19.8	0.722	11	38.3	14.5	6.68	5.08	13.1	17	0
37	23	14	9.75	9	9	13	4	3	7	70	65.1	40.4	23.9	56.2	0.425	8.51	23.7	0.36	13.7	19.9	0.688	12	35.6	13.3	8.11	4.38	11.9	16.2	0
40	35	5	9.71	16	2	15	1	10	2	78	63.6	40.1	27.1	56.2	0.483	8.68	24	0.362	15	19.1	0.782	8.78	34.6	15.9	7.05	3.4	11	17	1
