224  29
40	30	10	10.92	11	7	15	2	4	6	79.7	68.8	40.4	27.4	61	0.45	11.3	30.1	0.377	13.5	19	0.711	11.4	34.2	14.3	9.22	4.75	11.7	18.3	1
34	20	14	9.26	10	8	13	5	5	6	71.8	67.7	40.1	25.6	57.8	0.442	8.06	23.6	0.341	12.6	18.7	0.677	13.2	37.7	13.9	6.15	4.68	13.1	18.7	0
36	32	4	2.62	16	2	14	0	12	3	84.4	70.8	40.1	30.1	65.1	0.462	9.56	28.4	0.337	14.6	21.3	0.687	12.6	40.8	16.6	7.31	3.89	12	18.3	0
33	24	9	5.58	13	5	15	2	5	5	72.3	64.5	40.2	24.8	53.4	0.465	6.94	19	0.365	15.7	24.2	0.649	9.55	36.8	13.3	5.73	4.55	11.9	16.8	0
38	32	6	11.98	14	4	15	2	7	2	82.7	67.8	40.1	30.4	63.6	0.478	7.32	23.8	0.308	14.5	21.1	0.686	13	41.2	15.9	9.11	6.76	12.8	15.7	1
36	20	16	11.22	9	9	9	6	5	6	67.8	63.6	40.4	23.8	56	0.425	8.08	24.2	0.334	12.1	16.8	0.721	10.4	33.4	12.1	7.14	3.64	11.7	17.1	0
37	29	8	10.26	13	5	15	1	6	4	74.9	67.2	40.5	25.9	58.7	0.442	7.35	22.1	0.332	15.6	21	0.744	11.3	37.6	12.8	7.19	4.35	13.3	19.1	1
37	33	4	5.01	16	0	17	0	9	1	87.6	64.9	40	31.8	60.5	0.526	7.76	21.4	0.363	16.3	21.4	0.761	9.57	39	18.1	7.51	5.51	10.6	16.3	1
37	33	4	4.61	16	2	19	1	10	1	75.3	61	40	26.5	59.5	0.446	9	25.4	0.355	13.2	18.8	0.703	12.1	40.6	14.8	6.49	4.35	11.1	19.1	1
35	23	12	9.84	10	10	14	4	4	6	78.3	73.9	40.4	26.1	57.3	0.456	8.14	22.3	0.364	17.9	24.3	0.739	10.2	35.6	15.5	6.03	3.2	12.2	16.1	0
36	26	10	12.79	12	6	16	0	3	8	75.7	70.1	40.4	27.5	59.1	0.465	7.22	20.6	0.35	13.5	19.2	0.705	10.4	38.2	13.3	6.75	3.86	13.1	16.9	0
37	30	7	10.29	15	3	17	1	8	2	75.8	64.7	40.3	26.4	55.4	0.477	5.81	16.4	0.354	17.2	23.2	0.739	11.5	38.6	13.5	5.95	4.76	12.6	16.2	1
36	29	7	-3.88	14	2	16	1	11	3	73.7	61.4	40	26.8	54.9	0.487	8.94	24.3	0.369	11.3	14.6	0.775	7.5	32.6	14.8	6.19	2.67	11	15.1	0
35	28	7	9.16	16	2	15	2	9	1	80.4	73.1	41	28.2	61.8	0.457	6.74	21.1	0.319	17.2	22.9	0.752	13.1	38.7	12.9	8.8	4.23	12.9	18.1	1
34	23	11	10.09	13	7	15	3	6	5	71.4	65.5	40	25.2	56.1	0.449	7.26	20.8	0.349	13.7	18.4	0.743	11.1	39.3	13.1	4.35	4.79	12.9	15.5	0
37	30	7	10.55	15	5	17	1	7	4	69.6	58.3	40	25.4	56.8	0.448	7.76	22.7	0.342	11	15.6	0.701	8.08	35.3	13.8	6.08	4.03	9.03	13.9	1
39	32	7	12.34	16	4	15	1	8	4	77.6	65	40.3	27.5	57.2	0.48	8.18	21.6	0.378	14.5	19.2	0.753	10.6	40.5	18.3	5.15	5.26	12.6	16.6	1
36	22	14	11.27	9	11	14	3	2	9	70.6	69.4	40.1	24.6	56.6	0.435	5.31	16.8	0.317	16.1	23.6	0.682	11.2	36.5	14.5	4.86	3.89	11.6	16.1	0
33	28	5	-3.11	16	2	15	1	10	3	82.6	68.3	40	29.9	60.8	0.492	7.82	22.2	0.353	14.9	20.4	0.733	10.6	37.8	17.9	7.55	4.52	12.2	16	0
36	29	7	11.35	16	2	14	2	11	1	85.8	73.2	40.1	31.1	66.9	0.464	8.67	23.9	0.362	15	20.2	0.743	13.3	44.1	18.8	7	3.33	13.1	17	1
35	20	15	11	8	12	12	6	4	7	69.1	66.2	40.1	24	55.2	0.434	7.54	22.1	0.341	13.6	18.6	0.734	9.37	34.7	14.1	5.89	2.43	12.5	17.8	0
34	20	14	12.21	7	11	11	4	5	7	71.3	68.2	40.1	26	58.1	0.447	6.65	19.2	0.346	12.7	18.2	0.697	8.97	37.1	12.6	5.97	3	11.8	15.5	0
38	25	13	6.13	10	8	13	4	5	7	70	62.2	40.3	25.2	55.9	0.451	7.76	22.1	0.351	11.8	16.4	0.721	9.5	34.4	13.2	7.63	4.26	11.6	17.5	1
36	26	10	11.99	16	4	15	0	6	6	76.7	67.3	40.6	26.9	59.6	0.451	10.1	27.1	0.374	12.8	17.8	0.719	11.7	37.3	14.4	6.11	3.97	10.6	17.4	1
37	31	6	10.16	15	3	18	0	7	3	82	69.7	40.7	29.9	60.3	0.496	7.08	19.3	0.367	15.2	20.1	0.754	10.2	37.6	17.8	5.97	5.38	11.1	17.7	1
38	31	7	9.53	14	4	17	1	6	3	72.8	59.5	40.3	26.1	55.5	0.469	7.29	20	0.365	13.4	18.3	0.732	8.29	34.1	13.6	7.32	4.89	12	17.4	1
37	31	6	-2.3	15	1	12	2	13	2	72.3	63.6	40.5	26.7	58.4	0.457	6.81	18.9	0.359	12.1	17.3	0.702	11.6	39.8	12.9	5.68	4.14	11.9	18.2	0
36	26	10	7.97	13	5	13	2	5	6	73.7	67.4	40.4	24.6	56.1	0.438	10.6	30	0.352	14.1	19.3	0.728	10.2	34.8	14	5.39	2.94	10.8	16.1	0
38	35	3	10.15	16	2	15	1	10	1	71.4	56.1	40.4	25.6	54.1	0.474	8.45	21.4	0.395	11.7	15.7	0.744	9	34.9	14.3	5.55	3.92	9	14.3	1
35	26	9	7.79	12	6	14	2	5	5	73.5	62.1	40.3	25.5	54.3	0.47	9.34	23.7	0.394	13.2	17.3	0.761	8.86	32.6	15.2	6.74	2.23	11.2	15.2	1
36	27	9	7.01	15	3	15	1	7	4	69.8	64.8	40.1	24.5	54.3	0.451	7.58	21.7	0.35	13.1	18.9	0.695	9.28	31.4	11.6	8.97	5.72	13.3	18.1	0
